Cal_V	ADC
10.0	278.04
20.0	286.73
30.0	295.50
40.0	304.33
50.0	313.22
60.0	322.18
70.0	331.21
80.0	340.30
90.0	349.46
100.0	358.68
200.0	454.52
300.0	530.73
400.0	597.49
500.0	651.05
600.0	695.55
700.0	730.85
800.0	761.17
900.0	786.86
1000.0	807.63
1200.0	844.60
1400.0	873.79
1600.0	898.44
1800.0	919.95
2000.0	938.11
4000.0	1055.81
6000.0	1126.44
8000.0	1178.73
10000.0	1222.95
12000.0	1260.32
14000.0	1295.73
16000.0	1327.75
18000.0	1357.26
20000.0	1385.20
22000.0	1411.80
24000.0	1437.33
26000.0	1461.29
28000.0	1485.96
30000.0	1509.18
32000.0	1530.92
34000.0	1553.92
36000.0	1575.28
38000.0	1596.03
40000.0	1617.84
42000.0	1638.96
44000.0	1658.23
46000.0	1679.06
48000.0	1698.46
50000.0	1718.49
52000.0	1738.74
54000.0	1757.34
56000.0	1776.41
58000.0	1794.99
60000.0	1814.66
62000.0	1832.36
64000.0	1850.46
