Cal_V	ADC
10.0	317.58
20.0	326.63
30.0	335.67
40.0	344.72
50.0	353.77
60.0	362.82
70.0	371.87
80.0	380.92
90.0	389.96
100.0	399.01
200.0	489.50
300.0	564.08
400.0	623.41
500.0	674.76
600.0	715.50
700.0	748.95
800.0	777.65
900.0	801.87
1000.0	823.54
1200.0	859.16
1400.0	888.09
1600.0	913.18
1800.0	933.77
2000.0	952.68
4000.0	1069.62
6000.0	1138.74
8000.0	1190.21
10000.0	1233.99
12000.0	1271.90
14000.0	1306.48
16000.0	1338.95
18000.0	1367.31
20000.0	1395.74
22000.0	1423.27
24000.0	1448.55
26000.0	1473.38
28000.0	1498.15
30000.0	1521.06
32000.0	1543.39
34000.0	1567.04
36000.0	1587.61
38000.0	1609.14
40000.0	1630.35
42000.0	1650.62
44000.0	1670.89
46000.0	1690.87
48000.0	1710.88
50000.0	1729.94
52000.0	1749.48
54000.0	1768.42
56000.0	1786.61
58000.0	1806.08
60000.0	1824.84
62000.0	1843.24
64000.0	1860.43
