Cal_V	ADC
10.0	299.49
20.0	308.32
30.0	317.14
40.0	325.96
50.0	334.79
60.0	343.62
70.0	352.45
80.0	361.28
90.0	370.11
100.0	378.94
200.0	467.37
300.0	538.92
400.0	597.57
500.0	647.23
600.0	686.35
700.0	719.82
800.0	747.15
900.0	771.57
1000.0	791.76
1200.0	827.94
1400.0	856.72
1600.0	881.30
1800.0	902.42
2000.0	921.15
4000.0	1038.13
6000.0	1107.01
8000.0	1159.26
10000.0	1202.96
12000.0	1239.93
14000.0	1273.39
16000.0	1306.49
18000.0	1334.84
20000.0	1363.05
22000.0	1390.34
24000.0	1415.71
26000.0	1441.26
28000.0	1464.09
30000.0	1488.64
32000.0	1510.23
34000.0	1532.77
36000.0	1555.20
38000.0	1576.46
40000.0	1596.16
42000.0	1618.44
44000.0	1637.77
46000.0	1657.33
48000.0	1677.91
50000.0	1697.80
52000.0	1716.95
54000.0	1735.60
56000.0	1754.70
58000.0	1774.27
60000.0	1792.51
62000.0	1811.59
64000.0	1829.29
