Cal_V	ADC
10.0	175.77
20.0	183.45
30.0	191.22
40.0	199.07
50.0	207.01
60.0	215.04
70.0	223.15
80.0	231.35
90.0	239.63
100.0	248.01
200.0	336.48
300.0	408.38
400.0	468.10
500.0	516.25
600.0	554.25
700.0	586.89
800.0	613.26
900.0	636.94
1000.0	657.55
1200.0	691.41
1400.0	718.56
1600.0	742.69
1800.0	763.72
2000.0	780.93
4000.0	892.83
6000.0	960.77
8000.0	1014.42
10000.0	1062.06
12000.0	1104.30
14000.0	1140.84
16000.0	1174.42
18000.0	1204.91
20000.0	1233.74
22000.0	1260.82
24000.0	1286.82
26000.0	1311.41
28000.0	1334.51
30000.0	1358.43
32000.0	1381.79
34000.0	1402.70
36000.0	1424.97
38000.0	1446.78
40000.0	1466.81
42000.0	1487.64
44000.0	1507.79
46000.0	1527.62
48000.0	1547.41
50000.0	1567.39
52000.0	1585.87
54000.0	1606.09
56000.0	1625.15
58000.0	1644.37
60000.0	1661.61
62000.0	1681.99
64000.0	1700.89
