Cal_V	ADC
10.0	311.96
20.0	320.34
30.0	328.77
40.0	337.26
50.0	345.79
60.0	354.37
70.0	363.00
80.0	371.68
90.0	380.41
100.0	389.18
200.0	479.66
300.0	553.43
400.0	615.04
500.0	665.39
600.0	706.06
700.0	739.22
800.0	767.63
900.0	790.91
1000.0	811.91
1200.0	847.27
1400.0	874.72
1600.0	899.24
1800.0	919.18
2000.0	937.38
4000.0	1053.10
6000.0	1122.33
8000.0	1174.07
10000.0	1217.93
12000.0	1255.18
14000.0	1288.92
16000.0	1320.09
18000.0	1348.76
20000.0	1376.70
22000.0	1402.72
24000.0	1427.88
26000.0	1452.14
28000.0	1476.13
30000.0	1498.51
32000.0	1520.11
34000.0	1543.65
36000.0	1565.10
38000.0	1585.04
40000.0	1606.05
42000.0	1626.67
44000.0	1645.96
46000.0	1665.73
48000.0	1686.27
50000.0	1705.59
52000.0	1723.14
54000.0	1742.81
56000.0	1762.01
58000.0	1780.17
60000.0	1798.68
62000.0	1817.35
64000.0	1835.06
