Cal_V	ADC
10.0	305.29
20.0	313.56
30.0	321.88
40.0	330.27
50.0	338.72
60.0	347.23
70.0	355.80
80.0	364.44
90.0	373.13
100.0	381.89
200.0	472.81
300.0	547.23
400.0	607.82
500.0	657.05
600.0	696.58
700.0	729.03
800.0	757.10
900.0	780.72
1000.0	801.72
1200.0	837.31
1400.0	863.75
1600.0	888.47
1800.0	908.47
2000.0	927.23
4000.0	1043.77
6000.0	1114.27
8000.0	1167.24
10000.0	1211.76
12000.0	1251.16
14000.0	1286.32
16000.0	1318.17
18000.0	1347.06
20000.0	1374.65
22000.0	1400.59
24000.0	1426.28
26000.0	1450.56
28000.0	1474.11
30000.0	1497.37
32000.0	1519.78
34000.0	1541.90
36000.0	1564.06
38000.0	1585.06
40000.0	1605.76
42000.0	1626.22
44000.0	1646.94
46000.0	1665.61
48000.0	1687.15
50000.0	1706.26
52000.0	1725.27
54000.0	1744.34
56000.0	1764.06
58000.0	1782.15
60000.0	1800.76
62000.0	1819.43
64000.0	1837.47
