Cal_V	ADC
10.0	327.48
20.0	335.39
30.0	343.36
40.0	351.39
50.0	359.49
60.0	367.65
70.0	375.87
80.0	384.15
90.0	392.49
100.0	400.90
200.0	488.35
300.0	558.06
400.0	615.88
500.0	662.26
600.0	700.12
700.0	731.57
800.0	758.15
900.0	781.08
1000.0	800.39
1200.0	833.62
1400.0	860.41
1600.0	883.27
1800.0	903.59
2000.0	921.43
4000.0	1033.38
6000.0	1101.54
8000.0	1152.59
10000.0	1195.93
12000.0	1232.81
14000.0	1266.32
16000.0	1297.45
18000.0	1325.64
20000.0	1353.35
22000.0	1378.86
24000.0	1403.68
26000.0	1428.33
28000.0	1451.59
30000.0	1473.88
32000.0	1496.52
34000.0	1517.70
36000.0	1538.91
38000.0	1560.66
40000.0	1580.58
42000.0	1600.35
44000.0	1620.87
46000.0	1640.97
48000.0	1659.55
50000.0	1679.43
52000.0	1699.18
54000.0	1717.46
56000.0	1735.06
58000.0	1753.85
60000.0	1772.52
62000.0	1790.34
64000.0	1808.95
