Cal_V	ADC
10.0	279.48
20.0	288.09
30.0	296.70
40.0	305.32
50.0	313.93
60.0	322.54
70.0	331.15
80.0	339.77
90.0	348.38
100.0	356.99
200.0	443.11
300.0	509.46
400.0	564.17
500.0	608.92
600.0	647.02
700.0	676.83
800.0	702.57
900.0	724.69
1000.0	743.09
1200.0	776.54
1400.0	802.06
1600.0	826.27
1800.0	845.66
2000.0	865.03
4000.0	975.18
6000.0	1043.51
8000.0	1094.95
10000.0	1137.69
12000.0	1174.88
14000.0	1208.36
16000.0	1238.94
18000.0	1269.18
20000.0	1296.00
22000.0	1321.22
24000.0	1344.89
26000.0	1370.65
28000.0	1395.37
30000.0	1417.42
32000.0	1440.96
34000.0	1461.17
36000.0	1482.62
38000.0	1503.52
40000.0	1522.94
42000.0	1544.96
44000.0	1563.03
46000.0	1583.82
48000.0	1602.73
50000.0	1623.16
52000.0	1641.38
54000.0	1661.12
56000.0	1679.71
58000.0	1698.08
60000.0	1716.13
62000.0	1736.08
64000.0	1754.53
