Cal_V	ADC
10.0	288.96
20.0	297.81
30.0	306.72
40.0	315.69
50.0	324.71
60.0	333.79
70.0	342.92
80.0	352.12
90.0	361.37
100.0	370.67
200.0	466.81
300.0	544.98
400.0	611.97
500.0	666.92
600.0	712.38
700.0	748.07
800.0	779.11
900.0	804.01
1000.0	826.32
1200.0	862.84
1400.0	892.09
1600.0	916.99
1800.0	938.34
2000.0	956.96
4000.0	1074.78
6000.0	1147.08
8000.0	1201.65
10000.0	1241.76
12000.0	1278.10
14000.0	1312.32
16000.0	1343.57
18000.0	1373.48
20000.0	1400.85
22000.0	1427.33
24000.0	1452.36
26000.0	1477.01
28000.0	1501.07
30000.0	1523.64
32000.0	1546.48
34000.0	1569.38
36000.0	1590.24
38000.0	1612.16
40000.0	1632.87
42000.0	1653.04
44000.0	1673.66
46000.0	1693.77
48000.0	1713.69
50000.0	1732.79
52000.0	1752.80
54000.0	1771.81
56000.0	1789.37
58000.0	1809.42
60000.0	1828.13
62000.0	1845.22
64000.0	1863.25
