Cal_V	ADC
10.0	312.28
20.0	320.16
30.0	328.13
40.0	336.20
50.0	344.36
60.0	352.62
70.0	360.97
80.0	369.41
90.0	377.95
100.0	386.58
200.0	478.02
300.0	548.60
400.0	608.09
500.0	656.16
600.0	696.34
700.0	727.73
800.0	754.70
900.0	780.09
1000.0	798.67
1200.0	833.28
1400.0	861.37
1600.0	883.83
1800.0	905.41
2000.0	922.22
4000.0	1038.46
6000.0	1107.36
8000.0	1161.15
10000.0	1204.63
12000.0	1242.18
14000.0	1276.91
16000.0	1290.83
18000.0	1325.18
20000.0	1361.30
22000.0	1394.73
24000.0	1425.89
26000.0	1449.80
28000.0	1475.74
30000.0	1499.01
32000.0	1521.13
34000.0	1543.15
36000.0	1563.49
38000.0	1584.21
40000.0	1604.84
42000.0	1625.75
44000.0	1644.86
46000.0	1663.57
48000.0	1684.72
50000.0	1702.62
52000.0	1721.24
54000.0	1740.11
56000.0	1758.54
58000.0	1774.42
60000.0	1792.83
62000.0	1810.59
64000.0	1828.43
