Cal_V	ADC
10.0	310.43
20.0	318.62
30.0	326.87
40.0	335.18
50.0	343.54
60.0	351.96
70.0	360.44
80.0	368.98
90.0	377.57
100.0	386.22
200.0	475.88
300.0	548.19
400.0	607.62
500.0	655.72
600.0	694.20
700.0	727.07
800.0	754.74
900.0	778.57
1000.0	798.53
1200.0	833.65
1400.0	860.94
1600.0	884.73
1800.0	905.70
2000.0	922.91
4000.0	1041.17
6000.0	1109.93
8000.0	1162.90
10000.0	1206.72
12000.0	1244.90
14000.0	1280.57
16000.0	1312.10
18000.0	1340.94
20000.0	1369.30
22000.0	1395.19
24000.0	1420.82
26000.0	1445.59
28000.0	1468.43
30000.0	1492.29
32000.0	1514.94
34000.0	1535.54
36000.0	1558.53
38000.0	1578.73
40000.0	1600.05
42000.0	1620.55
44000.0	1641.76
46000.0	1660.27
48000.0	1681.44
50000.0	1700.02
52000.0	1718.94
54000.0	1738.65
56000.0	1757.06
58000.0	1775.13
60000.0	1794.91
62000.0	1813.27
64000.0	1831.89
