Cal_V	ADC
10.0	188.67
20.0	196.34
30.0	204.07
40.0	211.86
50.0	219.70
60.0	227.60
70.0	235.55
80.0	243.56
90.0	251.63
100.0	259.75
200.0	344.07
300.0	414.03
400.0	471.24
500.0	517.45
600.0	554.27
700.0	585.54
800.0	611.22
900.0	634.57
1000.0	654.90
1200.0	688.40
1400.0	716.25
1600.0	739.91
1800.0	760.96
2000.0	779.64
4000.0	895.28
6000.0	965.12
8000.0	1019.15
10000.0	1064.29
12000.0	1105.83
14000.0	1141.48
16000.0	1175.27
18000.0	1204.57
20000.0	1233.80
22000.0	1260.36
24000.0	1287.04
26000.0	1311.67
28000.0	1334.53
30000.0	1359.40
32000.0	1381.04
34000.0	1402.84
36000.0	1425.84
38000.0	1447.39
40000.0	1467.11
42000.0	1489.27
44000.0	1508.43
46000.0	1528.30
48000.0	1548.55
50000.0	1569.32
52000.0	1587.44
54000.0	1607.74
56000.0	1626.39
58000.0	1646.44
60000.0	1664.91
62000.0	1684.18
64000.0	1702.70
