Cal_V	ADC
10.0	270.31
20.0	277.74
30.0	285.18
40.0	292.65
50.0	300.14
60.0	307.65
70.0	315.19
80.0	322.74
90.0	330.32
100.0	337.91
200.0	415.07
300.0	473.13
400.0	521.72
500.0	560.14
600.0	592.51
700.0	618.87
800.0	642.47
900.0	661.50
1000.0	679.26
1200.0	709.35
1400.0	733.42
1600.0	754.29
1800.0	773.68
2000.0	788.74
4000.0	895.33
6000.0	961.73
8000.0	1011.56
10000.0	1053.60
12000.0	1089.63
14000.0	1122.64
16000.0	1152.56
18000.0	1180.47
20000.0	1207.88
22000.0	1232.49
24000.0	1256.72
26000.0	1280.22
28000.0	1302.89
30000.0	1324.76
32000.0	1346.84
34000.0	1367.78
36000.0	1388.41
38000.0	1408.06
40000.0	1429.47
42000.0	1449.44
44000.0	1467.79
46000.0	1487.89
48000.0	1506.99
50000.0	1525.10
52000.0	1544.08
54000.0	1562.73
56000.0	1580.76
58000.0	1598.70
60000.0	1617.74
62000.0	1635.58
64000.0	1652.81
