Cal_V	ADC
10.0	299.65
20.0	307.05
30.0	314.49
40.0	321.95
50.0	329.44
60.0	336.96
70.0	344.52
80.0	352.10
90.0	359.71
100.0	367.36
200.0	445.44
300.0	505.19
400.0	554.22
500.0	594.06
600.0	627.02
700.0	653.80
800.0	677.07
900.0	698.08
1000.0	715.10
1200.0	746.18
1400.0	773.17
1600.0	793.50
1800.0	812.82
2000.0	830.56
4000.0	940.82
6000.0	1008.40
8000.0	1060.71
10000.0	1108.91
12000.0	1147.29
14000.0	1178.52
16000.0	1207.16
18000.0	1236.69
20000.0	1264.13
22000.0	1291.02
24000.0	1316.03
26000.0	1340.06
28000.0	1364.77
30000.0	1387.98
32000.0	1409.99
34000.0	1433.26
36000.0	1454.19
38000.0	1475.30
40000.0	1497.34
42000.0	1517.52
44000.0	1537.79
46000.0	1558.15
48000.0	1577.80
50000.0	1597.33
52000.0	1617.42
54000.0	1637.34
56000.0	1655.86
58000.0	1674.47
60000.0	1694.29
62000.0	1711.83
64000.0	1730.22
