Cal_V	ADC
10.0	291.84
20.0	300.36
30.0	308.95
40.0	317.58
50.0	326.28
60.0	335.03
70.0	343.83
80.0	352.69
90.0	361.60
100.0	370.57
200.0	463.33
300.0	538.19
400.0	601.20
500.0	651.95
600.0	693.08
700.0	726.28
800.0	754.65
900.0	778.87
1000.0	800.39
1200.0	835.14
1400.0	863.35
1600.0	887.08
1800.0	908.46
2000.0	926.08
4000.0	1043.34
6000.0	1115.03
8000.0	1165.98
10000.0	1208.85
12000.0	1247.89
14000.0	1282.56
16000.0	1313.46
18000.0	1342.76
20000.0	1371.70
22000.0	1398.15
24000.0	1423.51
26000.0	1448.06
28000.0	1470.88
30000.0	1494.53
32000.0	1516.36
34000.0	1538.70
36000.0	1560.96
38000.0	1582.15
40000.0	1601.96
42000.0	1624.36
44000.0	1642.65
46000.0	1663.10
48000.0	1683.62
50000.0	1703.65
52000.0	1721.93
54000.0	1741.62
56000.0	1760.90
58000.0	1779.99
60000.0	1798.95
62000.0	1817.52
64000.0	1835.24
