Cal_V	ADC
10.0	299.08
20.0	307.00
30.0	314.96
40.0	322.97
50.0	331.01
60.0	339.10
70.0	347.23
80.0	355.40
90.0	363.62
100.0	371.87
200.0	456.75
300.0	522.43
400.0	576.82
500.0	618.79
600.0	654.55
700.0	683.98
800.0	709.21
900.0	730.86
1000.0	749.60
1200.0	781.88
1400.0	808.19
1600.0	830.81
1800.0	850.44
2000.0	867.87
4000.0	980.07
6000.0	1050.66
8000.0	1102.54
10000.0	1145.19
12000.0	1182.93
14000.0	1216.29
16000.0	1247.94
18000.0	1277.08
20000.0	1305.12
22000.0	1331.22
24000.0	1357.24
26000.0	1382.10
28000.0	1404.66
30000.0	1427.76
32000.0	1449.88
34000.0	1471.57
36000.0	1494.50
38000.0	1514.67
40000.0	1536.16
42000.0	1557.20
44000.0	1577.09
46000.0	1596.24
48000.0	1617.64
50000.0	1636.27
52000.0	1655.45
54000.0	1674.10
56000.0	1694.30
58000.0	1712.27
60000.0	1730.69
62000.0	1749.61
64000.0	1768.78
