Cal_V	ADC
10.0	130.07
20.0	138.78
30.0	147.50
40.0	156.21
50.0	164.92
60.0	173.64
70.0	182.35
80.0	191.06
90.0	199.78
100.0	208.49
200.0	295.63
300.0	365.27
400.0	425.04
500.0	472.60
600.0	512.03
700.0	544.00
800.0	571.80
900.0	594.86
1000.0	613.76
1200.0	647.31
1400.0	674.77
1600.0	698.40
1800.0	719.19
2000.0	736.96
4000.0	850.55
6000.0	919.99
8000.0	973.48
10000.0	1016.99
12000.0	1056.99
14000.0	1091.90
16000.0	1124.15
18000.0	1153.57
20000.0	1180.00
22000.0	1207.00
24000.0	1232.57
26000.0	1257.37
28000.0	1282.41
30000.0	1304.93
32000.0	1327.43
34000.0	1349.35
36000.0	1371.19
38000.0	1392.80
40000.0	1414.56
42000.0	1436.12
44000.0	1454.80
46000.0	1476.04
48000.0	1495.08
50000.0	1514.92
52000.0	1534.30
54000.0	1554.31
56000.0	1573.84
58000.0	1592.00
60000.0	1611.55
62000.0	1629.59
64000.0	1648.51
