Cal_V	ADC
10.0	326.38
20.0	334.75
30.0	343.18
40.0	351.67
50.0	360.21
60.0	368.80
70.0	377.46
80.0	386.16
90.0	394.93
100.0	403.75
200.0	495.00
300.0	570.07
400.0	631.11
500.0	680.68
600.0	720.88
700.0	755.77
800.0	784.11
900.0	808.26
1000.0	830.15
1200.0	865.03
1400.0	894.81
1600.0	918.66
1800.0	940.51
2000.0	958.24
4000.0	1076.21
6000.0	1144.20
8000.0	1196.74
10000.0	1240.27
12000.0	1277.23
14000.0	1312.61
16000.0	1343.05
18000.0	1371.58
20000.0	1399.73
22000.0	1425.67
24000.0	1450.89
26000.0	1474.72
28000.0	1498.12
30000.0	1521.64
32000.0	1544.51
34000.0	1566.03
36000.0	1587.93
38000.0	1607.91
40000.0	1630.08
42000.0	1648.95
44000.0	1670.36
46000.0	1690.35
48000.0	1709.90
50000.0	1727.53
52000.0	1747.59
54000.0	1767.27
56000.0	1784.00
58000.0	1803.73
60000.0	1823.30
62000.0	1840.40
64000.0	1857.71
