Cal_V	ADC
10.0	160.29
20.0	167.90
30.0	175.58
40.0	183.35
50.0	191.20
60.0	199.13
70.0	207.14
80.0	215.24
90.0	223.41
100.0	231.67
200.0	318.68
300.0	385.53
400.0	440.51
500.0	484.93
600.0	523.02
700.0	552.78
800.0	578.26
900.0	600.90
1000.0	620.90
1200.0	653.54
1400.0	681.18
1600.0	704.44
1800.0	723.98
2000.0	742.30
4000.0	856.83
6000.0	926.84
8000.0	979.97
10000.0	1023.70
12000.0	1063.19
14000.0	1097.43
16000.0	1129.37
18000.0	1159.18
20000.0	1186.13
22000.0	1213.31
24000.0	1238.71
26000.0	1264.17
28000.0	1287.56
30000.0	1310.57
32000.0	1333.33
34000.0	1355.04
36000.0	1377.57
38000.0	1397.73
40000.0	1418.99
42000.0	1439.42
44000.0	1460.22
46000.0	1479.67
48000.0	1499.77
50000.0	1520.06
52000.0	1538.91
54000.0	1558.34
56000.0	1577.28
58000.0	1595.72
60000.0	1616.05
62000.0	1635.05
64000.0	1653.22
