Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2500	1.2292	1.2083	1.2500	1.1875	1.2083	1.1875	1.2083	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2174	0.0236	1.2083	  0	1.2174	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2500	1.2292	1.2083	1.2500	1.1875	1.2083	1.1875	1.2083	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2174	0.0236	1.2083	  0	1.2174	0.0236
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Median values [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
1.2083	1.2083	1.2917	1.2500	1.1875	1.2083	1.2292	1.1667	1.1875	1.2500	1.2292	1.1667	1.2292	1.1875	1.1667	1.1875	1.1875	1.1875	1.1875	1.2292	1.2292	1.2500	1.2083	1.1875	1.1458	1.2083	1.2083	1.2292	1.1458	1.1667	1.1875	1.1875	1.2031	0.0326	1.1979	  1	1.2003	0.0288
