INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	15.219	14.938	13.553	13.350
15	 0	32.201	29.297	22.156	20.848
15	 1	28.852	27.669	20.280	19.522
15	 2	26.213	24.444	19.632	18.592
15	 3	21.075	20.034	16.864	16.449
15	 4	20.596	18.957	16.255	15.300
15	 5	16.524	15.708	13.906	13.167
15	 6	17.576	17.259	14.280	14.133
15	 7	15.292	14.895	13.685	13.331
16	 0	33.004	31.411	22.706	21.282
16	 1	30.433	29.315	21.273	20.261
16	 2	27.838	26.909	20.938	20.177
16	 3	21.330	20.801	17.089	16.288
16	 4	20.643	20.011	16.056	15.513
16	 5	14.817	14.210	12.919	12.171
16	 6	13.846	13.115	11.771	11.164
16	 7	10.204	10.129	9.462	9.412
17	 0	29.453	28.724	20.744	20.005
17	 1	27.029	25.400	18.952	18.043
17	 2	23.845	22.508	18.199	17.171
17	 3	18.832	18.115	15.469	14.921
17	 4	18.286	16.396	14.549	13.685
17	 5	13.097	12.449	11.721	11.152
17	 6	12.520	11.909	10.888	10.374
17	 7	9.676	9.668	8.783	8.680
18	 0	33.971	30.623	22.931	21.051
18	 1	30.442	28.015	21.414	19.611
18	 2	25.345	23.519	19.912	18.464
18	 3	20.404	19.807	16.468	16.256
18	 4	19.838	19.795	15.433	15.473
18	 5	13.925	13.717	12.027	11.625
18	 6	13.336	12.932	10.989	10.674
18	 7	10.453	10.381	9.185	9.046
19	 0	32.512	29.488	22.142	20.692
19	 1	29.353	26.730	20.626	18.931
19	 2	25.802	24.369	20.062	18.973
19	 3	20.272	18.633	16.895	15.873
19	 4	20.243	19.132	15.904	15.247
19	 5	14.777	14.100	13.059	12.297
19	 6	13.629	12.698	11.649	10.917
19	 7	10.718	10.382	9.875	9.559
20	 0	35.846	34.014	23.947	22.916
20	 1	31.989	29.595	22.703	20.979
20	 2	28.674	26.924	21.402	20.004
20	 3	22.633	22.030	17.868	17.109
20	 4	22.517	20.574	17.105	16.311
20	 5	15.598	15.083	13.617	13.035
20	 6	15.209	14.396	12.439	11.940
20	 7	11.243	10.989	10.022	9.686
21	 0	34.902	32.677	24.721	23.934
21	 1	34.281	32.295	23.834	22.732
21	 2	30.635	29.587	22.629	21.332
21	 3	23.949	23.261	19.241	19.050
21	 4	23.205	21.831	18.188	17.960
21	 5	16.982	16.755	14.935	14.538
21	 6	15.458	14.745	13.313	12.805
21	 7	11.708	11.485	10.869	10.638
22	 0	37.718	35.950	26.792	25.353
22	 1	36.550	33.967	26.054	24.217
22	 2	33.402	31.075	25.082	23.151
22	 3	25.745	24.211	21.450	20.603
22	 4	25.727	24.478	20.141	19.649
22	 5	18.440	17.929	16.360	15.627
22	 6	17.765	17.148	15.210	14.840
22	 7	13.483	13.253	12.261	11.978
23	 0	34.802	33.080	25.044	23.754
23	 1	33.634	32.196	23.710	22.544
23	 2	30.815	28.533	23.506	21.808
23	 3	24.496	23.521	20.045	19.467
23	 4	23.358	21.403	18.310	17.179
23	 5	16.909	16.361	14.927	14.446
23	 6	16.116	15.345	14.092	13.424
23	 7	12.811	12.036	11.688	10.970
24	 0	23.804	22.128	15.962	15.149
24	 1	20.319	19.379	14.332	13.617
24	 2	17.533	17.264	13.201	12.780
24	 3	13.609	13.268	10.841	10.338
24	 4	12.663	12.245	10.296	10.065
24	 5	10.023	9.736	8.619	8.472
24	 6	8.809	7.961	7.496	6.753
24	 7	7.569	7.301	6.561	6.350
25	 0	22.652	21.146	15.129	14.402
25	 1	18.281	16.915	13.449	12.519
25	 2	15.936	14.845	12.287	11.490
25	 3	12.243	11.192	9.966	9.045
25	 4	11.016	10.990	8.926	8.803
25	 5	9.089	8.980	7.688	7.676
25	 6	8.317	7.891	6.808	6.478
25	 7	7.705	7.637	6.502	6.427
26	 0	21.500	20.194	14.712	13.933
26	 1	17.500	16.609	12.908	12.252
26	 2	15.064	14.479	11.935	11.446
26	 3	12.307	11.948	9.773	9.339
26	 4	10.814	10.732	8.883	8.786
26	 5	8.969	8.228	7.574	6.987
26	 6	7.878	7.550	6.957	6.632
26	 7	7.274	7.036	6.431	6.201
27	 0	18.579	17.665	12.634	12.223
27	 1	14.236	13.599	10.699	10.212
27	 2	13.335	12.573	10.276	9.680
27	 3	10.803	9.943	8.790	8.020
27	 4	9.294	9.200	7.837	7.749
27	 5	7.967	7.574	6.858	6.476
27	 6	7.605	7.130	6.369	5.979
27	 7	6.501	6.557	5.761	5.747
28	 0	17.965	16.882	12.537	11.789
28	 1	13.916	12.529	10.425	9.339
28	 2	12.384	11.219	9.942	9.027
28	 3	10.351	8.432	8.394	6.715
28	 4	8.792	7.736	7.282	6.422
28	 5	7.966	7.471	6.869	6.438
28	 6	6.930	6.516	5.940	5.623
28	 7	6.446	6.348	5.726	5.660
29	 0	17.234	16.275	11.894	11.281
29	 1	13.624	12.637	10.124	9.342
29	 2	11.810	11.039	9.174	8.522
29	 3	9.461	9.112	7.682	7.463
29	 4	8.179	7.708	6.767	6.353
29	 5	7.377	7.001	6.191	5.878
29	 6	6.748	6.836	5.613	5.605
29	 7	6.341	6.321	5.517	5.486
30	 0	17.199	16.177	11.855	11.189
30	 1	13.731	12.383	10.286	9.319
30	 2	12.336	11.498	9.527	8.966
30	 3	9.620	7.960	8.014	6.658
30	 4	8.760	7.982	7.505	6.813
30	 5	7.399	7.072	6.412	6.124
30	 6	6.526	6.518	5.714	5.736
30	 7	6.108	6.078	5.406	5.375
31	 0	20.468	19.236	14.065	13.255
31	 1	16.307	14.449	12.548	11.026
31	 2	15.280	12.598	12.058	9.978
31	 3	12.043	11.384	9.665	9.136
31	 4	10.992	9.164	8.922	7.368
31	 5	8.819	8.037	7.406	6.714
31	 6	8.096	7.617	6.929	6.526
31	 7	6.805	6.700	5.946	5.889
