ch	pt	fine_thr	a_fit	b_fit
 2	 4	 3	226.198	1.111
 2	 4	 4	225.142	1.065
 2	 4	 5	224.056	1.126
 2	 4	 6	223.047	1.150
 2	 4	 7	222.020	1.068
 2	 5	 0	229.276	1.266
 2	 5	 1	228.172	1.267
 2	 5	 2	227.334	1.351
 2	 5	 3	226.211	1.292
 2	 5	 4	225.135	1.272
 2	 5	 5	224.004	1.346
 2	 5	 6	223.048	1.313
 2	 5	 7	221.996	1.257
 2	 6	 0	229.307	1.433
 2	 6	 1	228.204	1.463
 2	 6	 2	227.311	1.430
 2	 6	 3	226.228	1.493
 2	 6	 4	225.197	1.500
 2	 6	 5	223.973	1.466
 2	 6	 6	223.084	1.406
 2	 6	 7	222.007	1.454
 2	 7	 0	229.305	1.574
 2	 7	 1	228.285	1.561
 2	 7	 2	227.276	1.646
 2	 7	 3	226.193	1.611
 2	 7	 4	225.158	1.542
 2	 7	 5	223.975	1.633
 2	 7	 6	223.121	1.626
 2	 7	 7	221.986	1.614
 3	 0	 0	222.554	1.817
 3	 0	 1	221.547	1.898
 3	 0	 2	220.571	1.783
 3	 0	 3	219.572	1.874
 3	 0	 4	218.673	1.935
 3	 0	 5	217.631	1.836
 3	 0	 6	216.663	1.911
 3	 0	 7	215.678	1.928
 3	 1	 0	222.323	1.148
 3	 1	 1	221.232	1.140
 3	 1	 2	220.185	1.098
 3	 1	 3	219.195	1.074
 3	 1	 4	218.218	1.083
 3	 1	 5	217.372	1.149
 3	 1	 6	216.364	1.102
 3	 1	 7	215.345	1.163
 3	 2	 0	222.252	1.107
 3	 2	 1	221.261	1.098
 3	 2	 2	220.179	1.054
 3	 2	 3	219.192	0.979
 3	 2	 4	218.172	1.013
 3	 2	 5	217.297	1.026
 3	 2	 6	216.319	1.108
 3	 2	 7	215.312	1.085
 3	 3	 0	222.291	1.152
 3	 3	 1	221.330	1.096
 3	 3	 2	220.156	1.097
 3	 3	 3	219.119	1.111
 3	 3	 4	218.278	1.085
 3	 3	 5	217.290	1.134
 3	 3	 6	216.401	1.169
 3	 3	 7	215.386	1.133
 3	 4	 0	222.310	1.262
 3	 4	 1	221.294	1.220
 3	 4	 2	220.307	1.284
 3	 4	 3	219.236	1.281
 3	 4	 4	218.369	1.223
 3	 4	 5	217.371	1.256
 3	 4	 6	216.352	1.271
 3	 4	 7	215.379	1.236
 3	 5	 0	222.301	1.414
 3	 5	 1	221.367	1.443
 3	 5	 2	220.282	1.459
 3	 5	 3	219.246	1.492
 3	 5	 4	218.368	1.318
 3	 5	 5	217.317	1.441
 3	 5	 6	216.266	1.481
 3	 5	 7	215.377	1.452
 3	 6	 0	222.254	1.634
 3	 6	 1	221.241	1.684
 3	 6	 2	220.266	1.673
 3	 6	 3	219.234	1.658
 3	 6	 4	218.308	1.575
 3	 6	 5	217.297	1.579
 3	 6	 6	216.238	1.760
 3	 6	 7	215.330	1.711
 3	 7	 0	222.208	1.910
 3	 7	 1	221.235	1.914
 3	 7	 2	220.128	1.887
 3	 7	 3	219.179	1.954
 3	 7	 4	218.147	1.975
 3	 7	 5	217.157	1.942
 3	 7	 6	216.176	1.962
 3	 7	 7	215.178	1.977
 4	 0	 0	216.547	2.109
 4	 0	 1	215.518	2.036
 4	 0	 2	214.579	1.940
 4	 0	 3	213.557	2.057
 4	 0	 4	212.511	2.099
 4	 0	 5	211.389	2.128
 4	 0	 6	210.562	2.149
 4	 0	 7	209.610	2.081
 4	 1	 0	216.276	1.501
 4	 1	 1	215.216	1.440
 4	 1	 2	214.284	1.418
 4	 1	 3	213.232	1.366
 4	 1	 4	212.184	1.376
 4	 1	 5	211.134	1.569
 4	 1	 6	210.330	1.542
 4	 1	 7	209.203	1.490
 4	 2	 0	216.220	1.570
 4	 2	 1	215.094	1.498
 4	 2	 2	214.194	1.428
 4	 2	 3	213.198	1.495
 4	 2	 4	212.135	1.466
 4	 2	 5	211.068	1.481
 4	 2	 6	210.179	1.501
 4	 2	 7	209.221	1.508
 4	 3	 0	216.164	1.621
 4	 3	 1	215.121	1.613
 4	 3	 2	214.285	1.577
 4	 3	 3	213.230	1.535
 4	 3	 4	212.100	1.579
 4	 3	 5	211.089	1.677
 4	 3	 6	210.187	1.645
 4	 3	 7	209.186	1.662
 4	 4	 0	216.072	1.800
 4	 4	 1	215.116	1.812
 4	 4	 2	214.289	1.850
