ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 3	 3
 0	 1	 2	 2
 0	 2	 2	 2
 0	 3	 2	 2
 0	 4	 2	 2
 0	 5	 2	 2
 0	 6	 2	 2
 0	 7	 2	 2
 1	 0	 5	 5
 1	 1	 5	 5
 1	 2	 5	 5
 1	 3	 5	 5
 1	 4	 5	 5
 1	 5	 5	 5
 1	 6	 5	 5
 1	 7	 5	 5
 2	 0	 7	 7
 2	 1	 7	 7
 2	 2	 7	 7
 2	 3	 7	 7
 2	 4	 7	 7
 2	 5	 7	 7
 2	 6	 7	 7
 2	 7	 7	 7
 3	 0	 0	 0
 3	 1	 0	 0
 3	 2	 0	 0
 3	 3	 0	 0
 3	 4	 0	 0
 3	 5	 0	 0
 3	 6	 0	 0
 3	 7	 0	 0
 4	 0	 0	 0
 4	 1	 0	 0
 4	 2	 0	 0
 4	 3	 0	 0
 4	 4	 0	 0
 4	 5	 0	 0
 4	 6	 0	 0
 4	 7	 0	 0
 5	 0	 5	 5
 5	 1	 5	 5
 5	 2	 5	 5
 5	 3	 5	 5
 5	 4	 5	 5
 5	 5	 5	 5
 5	 6	 5	 5
 5	 7	 5	 5
 6	 0	 4	 4
 6	 1	 4	 4
 6	 2	 3	 3
 6	 3	 3	 3
 6	 4	 4	 4
 6	 5	 3	 3
 6	 6	 3	 3
 6	 7	 3	 3
 7	 0	 7	 7
 7	 1	 7	 7
 7	 2	 7	 7
 7	 3	 7	 7
 7	 4	 7	 7
 7	 5	 7	 7
 7	 6	 7	 7
 7	 7	 7	 7
 8	 0	 7	 7
 8	 1	 7	 7
 8	 2	 7	 7
 8	 3	 7	 7
 8	 4	 7	 7
 8	 5	 7	 7
 8	 6	 7	 7
 8	 7	 7	 7
 9	 0	 2	 2
 9	 1	 2	 2
 9	 2	 2	 2
 9	 3	 2	 2
 9	 4	 2	 2
 9	 5	 2	 2
 9	 6	 2	 2
 9	 7	 2	 2
10	 0	 7	 7
10	 1	 7	 7
10	 2	 7	 7
10	 3	 7	 7
10	 4	 7	 7
10	 5	 7	 7
10	 6	 7	 7
10	 7	 7	 7
11	 0	 7	 7
11	 1	 6	 6
11	 2	 6	 6
11	 3	 6	 6
11	 4	 6	 6
11	 5	 6	 6
11	 6	 6	 6
11	 7	 6	 6
12	 0	 7	 7
12	 1	 7	 7
12	 2	 7	 7
12	 3	 7	 7
12	 4	 7	 7
12	 5	 7	 7
12	 6	 7	 7
12	 7	 7	 7
13	 0	 3	 3
13	 1	 2	 2
13	 2	 2	 2
13	 3	 2	 2
13	 4	 2	 2
13	 5	 2	 2
13	 6	 2	 2
13	 7	 2	 2
14	 0	 0	 0
14	 1	 0	 0
14	 2	 0	 0
14	 3	 0	 0
14	 4	 0	 0
14	 5	 0	 0
14	 6	 0	 0
14	 7	 0	 0
15	 0	 7	 7
15	 1	 7	 7
15	 2	 7	 7
15	 3	 7	 7
15	 4	 7	 7
15	 5	 7	 7
15	 6	 7	 7
15	 7	 7	 7
16	 0	 7	 7
16	 1	 7	 7
16	 2	 7	 7
16	 3	 7	 7
16	 4	 7	 7
16	 5	 7	 7
16	 6	 7	 7
16	 7	 7	 7
17	 0	 7	 7
17	 1	 7	 7
17	 2	 7	 7
17	 3	 7	 7
17	 4	 7	 7
17	 5	 7	 7
17	 6	 7	 7
17	 7	 7	 7
18	 0	 2	 2
18	 1	 2	 2
18	 2	 2	 2
18	 3	 2	 2
18	 4	 2	 2
18	 5	 2	 2
18	 6	 2	 2
18	 7	 2	 2
19	 0	 0	 0
19	 1	 0	 0
19	 2	 0	 0
19	 3	 0	 0
19	 4	 0	 0
19	 5	 0	 0
19	 6	 0	 0
19	 7	 0	 0
20	 0	 7	 7
20	 1	 7	 7
20	 2	 7	 7
20	 3	 7	 7
20	 4	 7	 7
20	 5	 7	 7
20	 6	 7	 7
20	 7	 7	 7
21	 0	 7	 7
21	 1	 7	 7
21	 2	 7	 7
21	 3	 7	 7
21	 4	 7	 7
21	 5	 7	 7
21	 6	 7	 7
21	 7	 7	 7
22	 0	 0	 0
22	 1	 0	 0
22	 2	 0	 0
22	 3	 0	 0
22	 4	 0	 0
22	 5	 0	 0
22	 6	 0	 0
22	 7	 0	 0
23	 0	 0	 0
23	 1	 0	 0
23	 2	 0	 0
23	 3	 0	 0
23	 4	 0	 0
23	 5	 0	 0
23	 6	 0	 0
23	 7	 0	 0
24	 0	 7	 7
24	 1	 7	 7
24	 2	 7	 7
24	 3	 7	 7
24	 4	 7	 7
24	 5	 7	 7
24	 6	 7	 7
24	 7	 7	 7
25	 0	 4	 4
25	 1	 3	 3
25	 2	 3	 3
25	 3	 3	 3
25	 4	 3	 3
25	 5	 3	 3
25	 6	 3	 3
25	 7	 3	 3
26	 0	 0	 0
26	 1	 0	 0
26	 2	 0	 0
26	 3	 0	 0
