ch	pt	fine_thr_mean	fine_thr_mean_wo_outliers
 0	 0	 7	 7
 0	 1	 6	 6
 0	 2	 7	 7
 0	 3	 7	 7
 0	 4	 7	 7
 0	 5	 7	 7
 0	 6	 7	 7
 0	 7	 7	 7
 1	 0	 3	 3
 1	 1	 2	 3
 1	 2	 2	 2
 1	 3	 2	 2
 1	 4	 2	 2
 1	 5	 2	 2
 1	 6	 2	 2
 1	 7	 1	 2
 2	 0	 2	 2
 2	 1	 1	 1
 2	 2	 1	 1
 2	 3	 0	 1
 2	 4	 0	 1
 2	 5	 0	 1
 2	 6	 0	 0
 2	 7	 0	 1
 3	 0	 5	 5
 3	 1	 4	 4
 3	 2	 4	 4
 3	 3	 4	 4
 3	 4	 3	 3
 3	 5	 3	 3
 3	 6	 3	 3
 3	 7	 3	 3
 4	 0	 0	 0
 4	 1	 0	 0
 4	 2	 0	 0
 4	 3	 0	 0
 4	 4	 0	 0
 4	 5	 0	 0
 4	 6	 0	 0
 4	 7	 0	 0
 5	 0	 7	 7
 5	 1	 7	 7
 5	 2	 7	 7
 5	 3	 7	 7
 5	 4	 7	 7
 5	 5	 7	 7
 5	 6	 7	 7
 5	 7	 7	 7
 6	 0	 7	 7
 6	 1	 7	 7
 6	 2	 7	 7
 6	 3	 7	 7
 6	 4	 7	 7
 6	 5	 7	 7
 6	 6	 7	 7
 6	 7	 7	 7
 7	 0	 0	 0
 7	 1	 0	 0
 7	 2	 0	 0
 7	 3	 0	 0
 7	 4	 0	 0
 7	 5	 0	 0
 7	 6	 0	 0
 7	 7	 0	 0
 8	 0	 7	 7
 8	 1	 7	 7
 8	 2	 7	 7
 8	 3	 7	 7
 8	 4	 7	 7
 8	 5	 7	 7
 8	 6	 7	 7
 8	 7	 7	 7
 9	 0	 3	 3
 9	 1	 3	 3
 9	 2	 3	 3
 9	 3	 3	 3
 9	 4	 3	 3
 9	 5	 3	 3
 9	 6	 3	 3
 9	 7	 3	 3
10	 0	 7	 7
10	 1	 7	 7
10	 2	 7	 7
