INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	7.878	6.608	8.716	7.374
 0	 1	17.520	6.688	15.108	6.373
 0	 2	14.700	6.611	13.297	6.287
 0	 3	11.779	6.562	11.379	6.006
 0	 4	10.851	6.588	10.648	6.086
 0	 5	8.883	6.121	8.619	6.045
 0	 6	9.253	6.503	9.094	6.195
 0	 7	7.091	6.187	6.941	6.266
 1	 0	5.927	5.700	4.681	4.445
 1	 1	9.831	6.158	7.324	4.763
 1	 2	7.698	5.771	6.485	5.019
 1	 3	6.286	5.633	5.658	4.949
 1	 4	5.841	5.225	5.332	4.624
 1	 5	5.401	5.066	4.863	4.539
 1	 6	5.245	5.220	4.769	4.711
 1	 7	5.352	5.252	4.658	4.699
 2	 0	6.416	6.191	5.044	4.752
 2	 1	12.026	6.701	9.023	5.311
 2	 2	10.090	6.439	8.234	5.569
 2	 3	7.961	6.487	7.125	5.758
 2	 4	7.611	6.526	6.724	5.514
 2	 5	6.180	5.819	5.487	5.094
 2	 6	5.992	5.666	5.334	4.999
 2	 7	5.523	5.123	4.812	4.612
 3	 0	6.210	5.948	4.903	4.611
 3	 1	12.778	6.437	9.467	5.105
 3	 2	10.166	6.551	8.265	5.582
 3	 3	8.614	6.343	7.378	5.316
 3	 4	7.853	6.228	6.930	5.318
 3	 5	6.699	5.622	5.754	4.917
 3	 6	5.982	5.720	5.519	5.295
 3	 7	5.682	5.393	5.159	5.020
 4	 0	8.106	7.576	6.486	5.955
 4	 1	20.025	8.619	15.200	6.823
 4	 2	18.051	8.128	14.390	6.868
 4	 3	13.633	7.811	12.203	6.790
 4	 4	13.884	7.902	12.371	6.709
 4	 5	10.555	7.362	9.496	6.603
 4	 6	9.205	7.531	8.482	6.886
 4	 7	8.348	7.032	7.384	6.541
 5	 0	4.483	4.244	3.673	3.489
 5	 1	8.019	4.807	6.174	3.840
 5	 2	6.821	4.768	5.579	4.107
 5	 3	4.761	4.596	4.400	4.058
 5	 4	4.995	4.649	4.569	4.070
 5	 5	4.567	4.193	4.191	3.759
 5	 6	4.260	4.209	4.019	3.978
 5	 7	4.277	4.161	3.989	3.937
 6	 0	5.378	5.390	4.216	4.122
 6	 1	6.901	5.042	5.073	3.901
 6	 2	6.055	4.847	4.954	4.214
 6	 3	5.437	5.272	4.774	4.494
 6	 4	5.954	5.790	5.046	4.663
 6	 5	5.359	5.122	4.528	4.320
 6	 6	5.298	5.135	4.494	4.364
 6	 7	5.079	5.006	4.344	4.290
 7	 0	6.622	6.192	5.237	4.845
 7	 1	13.558	6.894	10.024	5.269
 7	 2	11.449	6.955	9.289	5.929
 7	 3	9.028	6.792	8.020	5.922
 7	 4	8.553	7.111	7.559	5.970
 7	 5	6.416	5.739	5.716	5.072
 7	 6	6.312	5.871	5.712	5.267
 7	 7	5.697	5.215	5.049	4.685
 8	 0	4.712	4.223	4.167	3.605
 8	 1	12.206	4.336	10.261	3.767
 8	 2	11.396	4.526	9.862	4.078
 8	 3	8.511	4.603	7.971	4.216
 8	 4	8.445	4.586	7.982	4.146
 8	 5	6.386	4.729	5.933	4.373
 8	 6	5.647	4.467	5.393	4.269
 8	 7	5.098	4.634	4.709	4.325
 9	 0	3.652	3.624	3.089	3.014
 9	 1	5.098	3.991	4.030	3.241
 9	 2	5.143	3.963	4.373	3.512
 9	 3	4.618	4.017	4.230	3.652
 9	 4	4.676	4.284	4.290	3.806
 9	 5	4.278	3.886	3.927	3.560
 9	 6	4.411	4.274	4.047	3.917
 9	 7	4.408	4.012	3.958	3.724
10	 0	3.351	3.314	2.860	2.691
10	 1	5.415	3.590	4.301	2.866
10	 2	4.515	3.376	3.818	2.973
10	 3	3.937	3.428	3.574	3.007
10	 4	3.738	3.299	3.427	2.951
10	 5	3.495	3.270	3.166	3.004
10	 6	3.261	3.217	3.107	3.052
10	 7	3.484	3.345	3.117	3.091
11	 0	3.342	3.296	2.723	2.595
11	 1	4.678	3.577	3.699	2.879
11	 2	4.328	3.506	3.672	3.070
11	 3	3.776	3.531	3.422	3.172
11	 4	3.668	3.462	3.296	3.023
11	 5	3.539	3.451	3.225	3.104
11	 6	3.816	3.648	3.422	3.267
11	 7	3.593	3.456	3.205	3.171
12	 0	3.762	3.580	3.158	2.960
12	 1	4.894	3.753	4.003	3.161
12	 2	4.413	3.656	3.724	3.252
12	 3	3.921	3.786	3.572	3.456
12	 4	3.795	3.793	3.465	3.340
12	 5	3.716	3.628	3.350	3.298
12	 6	3.677	3.531	3.482	3.387
12	 7	3.791	3.708	3.362	3.384
13	 0	3.895	3.866	3.215	3.122
13	 1	4.816	3.633	3.935	3.126
13	 2	4.414	3.595	3.800	3.300
13	 3	3.555	3.624	3.237	3.281
