0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
NaN	172.977791411043	170.289570552147	169.797392638037	169.084754601227	169.080398773006	168.619877300613	169.16273006135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
157.718680981595	NaN	160.181288343558	156.521472392638	155.609294478528	155.481625766871	155.226319018405	155.570674846626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
127.864478527607	130.380920245399	NaN	132.256901840491	127.486319018405	127.195306748466	126.903895705521	127.327975460123	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
142.863343558282	142.923895705521	145.325797546012	NaN	145.638773006135	142.259969325153	142.079478527607	142.374141104294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
170.985460122699	170.880552147239	172.133680981595	172.93226993865	NaN	173.727392638037	169.893343558282	170.362055214724	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
118.813803680982	118.423312883436	119.439509202454	119.081196319018	119.796687116564	NaN	120.619294478528	118.19782208589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
181.43990797546	181.448895705521	182.564570552147	182.132055214724	181.085	182.389785276073	NaN	183.931871165644	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
117.010521472393	116.906042944785	117.811073619632	117.423098159509	116.424969325153	116.37990797546	117.92273006135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
110.316564417178	110.487055214724	111.130521472393	111.188067484663	110.397055214724	110.391196319018	110.036288343558	109.267423312883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
137.484141104294	137.719693251534	138.425858895706	138.383067484663	137.610398773006	137.578067484662	137.38773006135	137.588926380368	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
