fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
185.01	166.11	135.3	153.11	177.17	131.43	187.07	130.17	125.85	141.48	184.89	150.36	184.45	146.9	156.92	164.12	170.94	135.84	149.69	134.36	151.38	155.08	179.39	139.02	127.17	161.53	163.24	172.25	135.37	227.06	218.84	104.73
168.8	153.39	126.97	140.87	168.42	115.6	179.17	114.68	108.01	134.2	172.19	136.31	172.92	132.94	143.98	151.84	156.69	126.22	136.35	122.32	135.48	142.31	165.39	128.22	113.41	148.61	150.27	157.4	120.99	212	202.23	96.63
170.19	154.03	126.88	141.33	169.02	115.85	178.27	115.37	109.11	134.26	172.21	134.38	173.14	134.2	145.19	152.13	157.31	126.58	136.38	123.32	135.15	141.54	167.78	128.73	113.51	149.21	149.99	158.36	121.83	213.7	202.78	97.82
170.52	155.68	128.39	142.31	170.05	116.95	179.73	115.89	109.48	133.25	172.12	135.66	174.66	134.28	145.7	153.3	158.92	128.3	136.16	122.22	136.78	143.46	167.96	129.17	114.61	150.66	150.81	159.87	123.51	213.62	204.38	97.84
172.13	155.43	129.06	142.92	170.73	117.98	180.88	116.63	111.22	135.56	172.37	136.86	174.64	137.13	146.58	153.5	158.74	128.41	136.33	122.83	137.09	143.91	169	130.49	116.39	151.12	152.59	160.58	124.16	214.89	205.15	99.27
172.58	157.03	130.31	144.12	171.87	119.08	182.51	117.96	113.75	136.84	174.01	137.8	175.74	135.78	147.05	154.48	159.59	130.17	139	124.45	139.12	145.13	170.11	130.52	116.82	152.88	153.36	161.37	125.38	215.91	205.8	100.01
173.65	158.58	131.2	144.84	173.26	120.07	183.48	119.07	112.59	137.83	175.37	139.02	176.38	137.44	149.15	155.99	160.19	131.31	138.21	125.66	140.08	147.02	171.46	132.4	117.93	153.53	153.19	162.29	125.44	216.97	208.26	100.86
174.4	159.48	132.05	146.24	174.01	120.98	184.32	119.09	114.04	137.77	177.19	141.43	176.56	137.08	149.52	156.41	160.78	131.74	138.9	128.15	140.29	147.04	171.48	133.23	119.06	153.84	155.41	163.44	126.08	217.89	209.55	101.8
175.54	159.8	132.6	146.51	175.5	121.36	184.68	121.36	115.61	138.37	177.93	140.54	178.64	137.74	151.2	157.89	163.05	131.97	141.67	127.73	142.06	148.75	173.67	133.8	119.18	154.87	156.39	163.72	127.55	219.39	209.02	103
175.79	161.1	134.17	147.25	175.83	122.35	185.25	121.18	115.9	140.37	178.38	141.69	179.2	139.46	151.3	159.35	162.02	134.75	142.46	126.87	142.64	150.27	174.97	136.4	121.85	155.04	157.09	164.96	128.67	219.94	210.14	103.32
178.23	162.44	134.69	148.38	176.3	123.46	186.13	123.32	116.77	140.56	181.45	143.62	179.69	140.3	152.54	159.94	165.37	135.01	143.38	130	143.68	150.51	174.93	136.66	122.38	156.41	157.82	166.18	129.37	221	212.08	104.55
178.44	162.88	135.95	149.53	178.3	125.62	187.75	123.71	118.98	142.03	180.13	143.55	182.42	142.59	153.87	160.65	164.57	134.71	143.29	131.41	144.68	150.47	177.2	136.58	122.85	158.03	158.93	167.59	131.08	222.01	213.38	105.84
179.53	165.77	137.03	150.28	179.21	125.68	188.94	125.44	119.86	142.16	182.27	144.68	183.37	143.33	154.89	161.8	166.37	136.93	145.21	131.04	145.13	152.55	176.58	139.28	124.84	158.65	159.93	167.92	131.79	222.2	214.05	106.13
180.11	166	137.89	151.17	180.06	127.17	189.68	124.87	119.51	142.5	183.1	144.3	181.56	142.9	155.53	163.5	166.85	136.98	146.07	132.58	145.82	151.85	177.92	138.44	125.72	160.08	161.49	168.83	132.13	223.48	215.43	107.82
181.65	165.66	139.19	152.61	180.38	127.79	190.51	126.25	119.56	143.27	183.68	147.84	183.29	143.96	156.31	164.52	168.56	139.33	146.35	132.96	147.34	154.51	180.59	140.84	125.53	160.3	162.35	170.01	133.91	224.75	215.78	108.77
182.39	167.43	139.97	152.81	182.03	128.67	191.73	128.18	122.2	145	184.51	147.37	185.01	145.1	158.59	164.4	168.04	140.25	148.68	134.9	148.24	155.41	180.65	140.05	127.37	161.46	163.31	170.91	134.96	225.73	215.53	109.51
183.2	168.77	141.56	154.79	182.41	128.87	192.83	129.24	123.66	146.02	185.52	147.81	185.78	145.53	159.3	165.64	169.54	140.18	149.67	135.51	149.89	156.18	181.72	141.82	126.69	161.3	163.98	172.3	135.98	226.24	216.62	110.73
185.13	169.5	142.22	155	184.2	130.14	193.44	130.08	123.97	145.88	186.76	149.17	186.74	145.78	160.98	167.35	169.67	139.64	148.25	135.75	150.67	156.95	181.45	143.85	129.94	162.6	164.48	172.59	136.51	227.33	218.05	111.98
185.99	171.12	142.7	155.52	184.78	131.24	194.73	130.68	124.22	146.51	187.1	150.72	187.08	146.79	161.24	168.04	170.61	143.44	151.34	137.3	151.64	158.21	183.48	144.12	130.65	163.86	164.97	172.99	137.37	228.77	219.51	112.29
187.09	172.33	144.22	157.16	185.95	131.6	195.65	132.1	125.37	146.04	190.1	152.68	188.59	147.8	161.26	168.89	171.71	143.25	151.57	137.52	152.53	158.42	184.66	144.72	130.74	164.58	167.31	173.56	138.51	229.64	221.43	114.41
187.83	173.66	145.46	157.85	186.36	133.12	196.87	132.91	126.83	148.49	189.58	152.09	189.64	148.02	163.73	169.75	172.88	143.66	152.03	139.34	152.92	161.14	184.43	145.5	132.33	164.38	167.36	175.66	138.85	230.83	221.89	114.84
187.97	173.17	145.91	158.29	187.51	134.23	197.24	133.45	128.8	149.31	192.02	153.82	189.75	150.95	164.17	170.56	172.86	144.52	153.82	138.73	154.86	162.08	185.53	147.09	133.96	165.64	168.26	176.05	139.82	230.54	223.81	115.74
189.76	175.1	147.5	159.3	188.75	135.04	198.28	134.37	129.06	148.92	192.21	154.74	190.94	150.89	165.67	172.74	174.53	145.24	153.62	141.13	155.2	163.05	187.56	148.56	134.41	167.46	169.77	176.87	140.99	232.07	224.52	116.72
191.32	175.7	148.59	160.24	189.96	135.72	199.88	134.84	131.25	151.14	193.48	155.55	191.51	151.4	166.13	174.08	174.99	147.45	155.37	141.18	157.34	163.69	186.56	148.58	135.47	168.33	170.34	178.4	141.42	233.56	225.22	118.77
191.65	176.03	150.04	160.97	190.93	135.84	200.15	136.74	131.07	151.87	193.16	156.59	193.04	152.29	166.6	172.54	176.46	147.22	155.55	143.27	157.21	164.65	186.9	148.22	136.26	168.3	171.14	179.13	141.96	233.63	227.2	118.14
192.61	177.16	150.05	161.93	192.23	137.47	201.27	136.9	130.42	152.57	194.06	156.79	193.25	154.49	169.29	174.08	176.85	149.54	158.38	143.46	158.73	165.22	188.44	149.31	138.11	169.45	172.68	180.23	143.33	235.55	227.1	119.45
193.84	178.66	151.09	163.33	193	138.32	201.35	137.99	130.45	152.4	194.89	157.6	193.53	153.42	169.64	174.84	178.2	149.13	157.85	143.96	159.89	166.91	189.59	151.44	138.57	169.69	173.47	180.95	144.46	235.57	228.43	120.93
194.25	179.53	151.96	163.66	194.1	138.6	202.88	139.68	133.36	154.67	197.09	159.15	195.23	155.63	170.09	177.2	177.6	150.33	159.4	145.43	160.47	166.99	190.69	153.49	139.3	171.7	174.64	182.18	144.65	236.43	229.52	121.07
195.82	180.33	153.68	164.91	194.34	139.86	202.98	139.96	133.43	155.42	197.07	160.47	196.07	155.7	171.5	177.36	180.33	151.19	159.85	146.15	162.61	167.65	193.95	151.67	140.77	171.21	175.4	182.28	145.4	237.41	230.05	122.89
196.46	181.82	154.04	165.86	195.89	140.51	204.38	141.32	135.51	155.41	197.39	161.91	196.79	156.46	173.17	179.45	180.93	152.16	160.08	148.08	163.46	169.18	193.73	153.34	140.85	172.83	176.47	184.08	147.08	238.06	231.91	122.87
197.17	182.67	155.32	167	196.47	141.85	205.58	141.47	136.05	157.04	199.89	161.26	197.92	158.32	173.75	179.52	181.12	151.96	162.28	148.14	162.88	169.94	194.03	154.39	141.6	174.32	177.09	184.74	146.75	239.12	232.15	124.44
198.45	183.51	156.7	167.91	197.98	142.54	207.03	142.63	136.09	157.23	198.56	163.44	197.67	158.77	175.54	181.17	182.79	154.19	162.4	150.98	164.51	169.61	196.03	156.25	143.11	173.86	178	185.96	148.38	241.01	233.16	125.68
199.55	184.28	157.63	168.71	198.15	143.87	207.19	143.37	136.71	156.88	200.82	164.74	198.41	160.18	174.85	181.81	182.97	154.74	163.04	150.59	165.59	171.96	195.65	157.32	143.6	175.15	178.82	186.3	149.57	241.68	234.94	126.68
200.22	185.2	158.6	169.22	199.07	144.07	208.79	144.23	138.93	159.4	201.85	164.53	199.67	160.46	177.15	183.65	183.54	155.51	163.98	151.78	166.94	173.18	196.91	157.9	144.07	176.03	179.84	187.35	150.66	241.4	235.82	127.22
201.55	186.62	158.46	169.7	201.1	144.67	209.98	144.88	140.25	160.88	202.36	165.38	201.12	160.54	177.46	184.53	184.36	157.4	164.62	151.41	167.55	174.09	196.24	158.89	145.24	177.99	180.61	188.83	151.23	242.33	236.01	129.34
201.8	186.73	159.97	170.58	200.58	145.22	210.53	145.48	140.01	159.89	202.22	165.55	201.3	162.09	177.79	185.79	185.14	158.59	165.52	151.65	168.36	173.16	198.36	160.39	145.92	179.16	182.01	189.08	151.53	243.97	237.91	130.13
202.82	187.94	161.61	171.96	202.4	146.49	210.79	147.03	140.83	161.77	204.03	167.31	202.21	162.54	179.44	184.94	185.16	159.2	167.03	152.45	169.54	175.89	198.68	159.52	147.68	178.93	182.63	190.47	152.5	245.03	238.41	130.87
203.74	189.27	161.88	172.82	203.08	147.24	212.16	147.94	141.36	162.03	204.79	166.54	203.48	164.12	179.64	186.68	186.31	160.84	168.73	154.52	170.54	175.92	199.75	162.28	148.58	179.65	183.49	191.14	154.66	245.89	239.14	131.79
205.09	189.76	162.75	173.36	204.5	147.77	212.54	148.41	142.69	162.96	205.42	168.95	203.88	164.01	180.54	187.1	186.15	161.33	169.86	153.95	172.7	176.75	202.99	161.6	149.26	180.73	184.52	192.26	154.03	246.46	239.47	132.7
206.19	191.63	163.95	174.37	204.96	149.2	213.94	149.57	144.53	163.68	206.59	169.85	205.44	166.12	181.23	189.19	188.51	161.18	170.01	155.24	173.18	179.03	204.1	163.16	149.37	181.4	185.84	192.87	155.53	247.55	239.69	134.12
207.68	191.96	164.98	174.92	206.3	150.15	214.51	150.88	144.59	163.43	206.99	171.28	206.36	166.2	183.01	189.37	188.55	163.37	170.7	156.55	174.41	179.36	204.23	164.29	151.27	181.78	186.69	193.76	156.23	248.33	242.05	133.85
207.17	193.2	165.8	176.13	207.52	150.2	214.78	151.13	146.49	165.11	209.6	172.27	207.56	167.09	184.31	191.18	189.95	163.35	171.8	156.4	174.01	181.25	204.8	165.95	152.07	183.27	187.25	194.6	157.81	249.12	243.25	134.84
208.53	193.65	166.69	177.27	208.09	151.86	216.53	152.26	147.39	164.69	208.91	171.84	207.57	168.03	184.62	190.88	190.1	163.88	172.14	158.26	174.91	180.07	205.23	167.7	152.57	184.33	187.56	195.73	158.34	250.39	244.17	136.21
209.45	195.13	167.56	177.97	208.82	152.16	217.19	152.51	146.49	164.69	210.91	173.59	209.48	168.8	186.55	192.5	192.98	165.18	173.12	159.61	176.4	182.39	206.83	167.05	154.36	184.77	189	196.37	159.64	251.91	245.32	136.54
210.1	196.01	169.02	178.44	209.74	152.54	217.93	154.1	149.5	167.26	212.95	173.88	209.04	170.25	186.56	192.87	192.33	166.81	173.47	159.78	178.16	183.42	207.6	168.99	155.11	185.77	189.61	197.2	158.57	252.85	246.49	137.91
211.35	196.58	169.69	180.24	210.42	153.76	219.22	154.58	149.13	169.07	210.6	175.72	210.53	171.42	187.45	194.6	194.1	168.48	174.25	161.59	178.81	183.82	209.97	167.55	155.12	185.77	191.57	198.19	160	252.73	247.09	138.58
212.17	197.86	170.43	180.74	210.82	154.68	219.71	156.3	149.55	167.86	212.77	176.88	211.8	171.06	190.03	194.6	193.06	168.62	175.67	163.98	180.23	183.68	209.62	169.96	156.48	187.34	191.62	198.7	161.61	253.27	247.81	138.91
212.9	199.08	171.12	181.37	212.25	155.89	221.45	156.29	150.34	170.57	215.13	177.23	211.69	173.23	190.71	196.57	194.86	169.67	175.91	162.52	181.4	185.62	209.47	169.5	157.54	187.8	192.51	200.04	161.97	255.33	248.57	140.47
213.55	199.13	172.58	182.48	213.78	157.31	221.66	157.5	151.13	169.79	214.93	177.63	212.85	172.65	190.24	197.36	196.09	170.3	177.59	164.4	180.73	186.58	210.53	171.94	157.58	188.34	193.33	200.66	163.14	254.76	250.02	141.36
214.9	200.05	172.96	182.54	214.4	157.34	222.26	158.56	152.55	170.89	216.92	178.93	212.6	174.46	191.54	196.57	195.92	170.84	178.81	163.95	182.51	187.9	213.19	172.39	159.1	190.97	195.19	201.13	164.13	256.34	251.79	142.12
215.96	200.84	174.62	184.36	215.03	158.87	222.78	158.93	152.95	170.76	216.59	177.91	214.22	175.11	192.85	198.36	197.23	171.7	178.37	166.07	182.93	188.71	211.93	173.62	160.45	190.88	195.41	201.88	164.4	258.06	252.18	142.78
215.7	202.69	175.08	184.3	215.61	159.19	224.93	159.8	154.59	172.57	218.13	180.84	214.85	176	193.1	199.44	196.81	172.77	180.31	165.43	185.01	190.01	214.39	173.63	161.69	191.51	196.14	202.99	165.97	258.38	253.62	143.83
217.05	202.45	175.75	186.2	217.02	161.05	225.52	160.97	154.09	174.21	217.25	181.13	216.76	176.03	194.52	200.12	198	172.9	180.28	167.29	183.97	190.64	214.7	174.65	161.26	192.68	197.24	204.27	166.52	259.87	254.61	145.03
218.09	204.27	177.51	186.56	217.96	160.58	226.3	161.85	154.83	174.12	218.4	181.93	217.51	177.78	195.44	201.56	199.18	174.26	182.08	169.12	187.13	191.81	216.81	177.62	163.15	192.88	197.65	204.03	166.49	261.66	255.6	146.03
218.37	205.42	177.11	188.42	218.91	161.42	226.81	163.03	155.85	173.53	220.1	183.42	217.72	178.39	195.73	203.82	200.58	175.74	182.41	167.32	186.83	191.71	216.74	176.96	163.61	194.79	199.07	205.33	168.26	261.85	256.34	146.9
219.65	206.16	179.33	188.45	220.31	161.47	227.58	163.38	157.49	174.74	220.86	184.68	217.77	179.18	197.01	204.17	201.94	176.59	183.16	169.3	187.64	192.61	215.47	178.78	164.69	194.28	200.4	206.29	168.68	263.05	257.55	147.35
221.1	205.99	179.78	189.61	220.24	163.51	228.97	164.14	157.07	176.72	221.29	184.88	218.1	179.44	197.67	203.95	202.29	175.51	184.01	171.1	188.67	194.26	217.99	179.58	165.33	195.83	200.34	206.9	168.81	264.38	257.76	148.87
221.77	207.96	180.76	189.93	221.68	164.28	230.15	165.18	157.86	178.01	221.52	186.06	219.98	180.62	198.18	205.32	202.03	178.2	185.02	171.55	188.83	194.23	220.19	180.27	166.71	196.23	201.56	207.32	170.01	264.1	258.88	149.8
222.48	208.56	181.7	191.25	222.51	165.34	230.34	166.4	159.36	178.31	222.65	186.72	220.44	182.03	200.64	204.85	202.65	178.82	186.02	172.45	191.35	195.7	220.45	180.51	167.4	196.76	202.13	208.29	171.02	265.07	259.41	150.1
223.11	209.53	181.93	191.67	222.39	165.97	231.34	166.59	160.43	178.24	223.85	187.59	222.32	182.48	201.36	207.1	203.5	178.66	185.8	172.83	192.89	197.27	221.1	181.76	168.73	197.9	202.49	210.11	171.28	265.81	260.11	150.98
223.44	211.11	184.2	192.86	223.57	166.06	232.45	167.78	161.53	179.43	224.03	188.42	222.23	183.18	200.87	207.14	204.85	180.38	187.16	173.37	193.04	198.1	223.24	182.02	168.89	198.38	204.14	210.18	172.47	266.06	261.69	151.35
225.54	211.07	184.37	193.34	224.87	166.96	233.12	168.94	161.68	180.16	228.12	190.19	222.39	184.58	203.22	209.08	206.04	181.86	187.6	176.33	193.08	198.42	222.19	182.79	169.88	199.04	204.87	211.33	173.05	267.99	261.46	152.67
226.26	212.56	185.23	194.09	225.73	167.82	234.5	169.94	163.51	180.36	227.13	190.14	223.11	184.74	204.13	209.49	206.02	182.86	188.76	174.75	195.07	199.11	222.8	183.21	170.59	200.17	205.22	212.11	173.88	268.86	263.05	154.11
226.4	213.77	186.42	195.09	226.88	168.64	235.6	170.02	163.13	181.47	226.96	190.45	224.04	185.78	204.57	210.86	206.33	183.63	189.62	177.04	195.4	199.44	223.99	183.88	172.14	200.52	206	212.29	175.77	268.85	263.65	153.85
227.59	214.16	187.24	195.83	227.58	170.46	235.66	171.28	165.33	181.73	228.1	190.89	225.18	186.52	205.1	212.2	206.59	183.48	191.84	177.48	195.22	200.48	226.34	185.98	173.38	201.41	206.96	214.02	175.8	270.22	264.82	154.77
228.56	214.61	188.32	196.92	228.63	170.3	236.35	171.72	166.4	181.76	228.76	191.72	225.53	187.24	206.42	211.12	207.18	183.41	191.92	177.16	197.18	200.68	226.67	184.92	173.72	203.27	207.63	214.04	177.17	270.15	266.33	156.55
229.47	215.74	189.52	197.52	228.98	171.3	236.96	172.17	165.5	184.36	229.51	193.86	227.35	187.31	207.45	213.15	209.27	185.14	192.37	180.13	197.92	203.29	227.47	187.53	173.3	203.16	208.54	215.13	177.67	271.29	267.67	156.98
230.08	216.58	190.08	197.42	229.49	172.1	237.81	174.14	167.7	185.3	230.39	194.79	227.67	189.02	208.35	214.32	209.23	186.59	193.06	180.15	198.41	203.55	226.97	188.22	175.37	204.47	209.83	216.36	178.13	273.3	268.7	157.77
230.48	217.01	190.37	199.05	231.01	172.37	239.03	174.4	168.27	185.95	231.4	194.71	228.63	189.72	209.39	214.88	211.47	186.87	194	179.41	199.41	205.54	229.2	188.6	175.04	204.56	210.39	216.96	178.46	273.98	269.19	159.39
232.03	217.63	192.48	199.64	231.22	174.63	239.62	175.89	168.53	185.26	231.85	196.96	229.39	190.5	208.3	215.51	211.17	188.43	195.29	182.08	200.28	204.98	229.68	190.15	177.01	205.16	210.98	218.23	180.13	274.14	269.9	159.98
233.42	218.96	192.73	200.44	232.63	174.4	241.13	176.63	169.6	187.3	233.85	197.05	229.37	190.96	211.71	216.29	211.16	189.15	195.09	181.81	200.43	206.77	231.84	191.55	178.98	205.62	211.62	218.45	180.71	275.14	271.71	160.6
233.56	219.7	193.35	201.15	233.69	174.72	241.58	177.21	169.98	187.68	233.79	198.03	230.69	191.88	210.8	217.22	212.24	190.85	196.92	182.34	201.78	207.04	232.28	192.05	177.72	206.77	212.3	219.64	181.74	275.7	270.63	161.41
