fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
187.91	172.68	147.19	156.96	189.02	132.48	196.92	133.23	127.59	152.43	190.74	151.23	191.13	146.84	162.48	172.17	176.63	146	151.01	138.81	155.27	153.54	181.71	142.26	132.6	165.69	168.74	169.62	136.84	228.09	224.1	108.08
171.39	155.86	129.3	142.87	171.05	118.09	182.33	116.8	112.71	136.94	174.09	138.31	175.71	136.31	145.55	153.44	158.98	127.55	139.5	123.15	137.88	143.96	166.38	129.38	116.4	152.14	153.47	159.94	123.71	215.26	205.79	98.61
172.42	156.96	130.98	144.57	172.08	118.15	182.06	118.56	111.74	136.44	175.57	138.47	175.27	137.59	147.82	154.81	161.14	128.39	139.88	124.36	138.18	146.72	172.39	130.14	116.18	152.52	153.34	160.82	125.26	215.52	207.42	98.73
172.64	157.81	130.46	144.73	172.2	120.58	182.55	119.86	114.07	137.84	174.42	140	177.66	137.11	149.76	156.07	160.28	130.21	138.85	128.08	138.56	146.11	170.94	130.59	117.23	151.72	154.06	161.76	125.48	216.29	207.14	100.21
174.72	159.02	131.54	145.68	175.08	120.65	183.41	119.17	114.49	139.53	178.28	140.23	179.23	137.05	149.57	157.33	161.52	131.09	141.25	127.7	140.4	146.7	171.56	134.04	119.33	153.35	154.77	162.32	126.48	218.35	208.47	101.13
175.36	160.54	132.89	146.63	174.38	121.99	186.37	121.96	113.55	138	177.97	141.77	177.49	137.49	150.14	155.83	162.67	131.54	140.19	127.57	139.55	149.6	174.62	135.49	119.73	154.46	155.8	163.55	126.92	219.42	209.95	101.32
176.9	160.85	135.56	148	175.68	122.4	185.75	122.64	115.72	139.64	179.53	142.1	179	138.05	151.52	158.19	162.73	133.15	141.41	128.82	140.79	149.8	173.34	135.98	120.43	156.39	157.52	164.4	128.72	219.89	211.58	103.05
177	162.41	134.89	149.15	177.19	124.68	187.67	123.6	117.33	141.15	181.19	142.27	179.54	141.39	151.77	160.58	163.88	134.73	143.66	128.92	143.91	150.32	176.01	136.06	122.2	157.17	158.16	165.78	129.78	220.9	212.63	103.83
178.7	164	135.83	149.62	178.79	124.72	188.59	125.09	118.29	142.03	179.16	143.23	182.99	141.49	155.75	161.57	164.59	135.04	144.46	130.39	144.18	153.01	176.4	136.97	122.2	157.98	159.29	166.65	130.84	222.35	212.89	105.6
180.5	165.04	137.31	151.14	179.36	125.46	190.02	125.77	121.64	142.78	181.97	145.12	181.95	143.89	155.46	160.91	166.77	136.35	144.26	133.6	146.88	152.32	177.26	138.21	124.25	159.18	161.58	167.89	131.36	222.65	214.11	106.62
