fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
178.89	161.38	137.21	145.05	174.98	124.65	187.82	123.88	119.77	142.8	181.54	139.29	180.49	140.77	148.95	161.58	161.51	136.18	142.49	131.47	141.84	151.15	174.16	135.95	123.36	154.57	156.03	167.09	128.74	221.44	213.59	107.47
166.66	150.66	122.87	137.86	165.41	113	175.58	111.82	105.94	131.9	168.6	132.52	170.09	130.57	140.71	147.74	154.52	122.58	132.02	119.05	131.02	138.6	163.21	125.21	110.33	146.8	147.04	154.3	118.26	210	199.25	94.53
166.06	151.62	123.66	138.27	165.39	113.7	175.74	112.13	107.02	131.91	168.75	132.38	170.49	130.98	140.85	148.42	154.82	123.5	132.65	118.93	131.84	139.04	164.44	125.54	111	147.38	147.61	154.73	119.32	210.19	199.55	95
167.27	152.09	124.47	139.36	166.21	113.76	176.38	113.13	107.22	133.52	169.64	133.41	171.01	130.97	141.84	149.1	155.14	123.81	133.45	119.94	133.11	139.86	165.1	126.44	112.14	147.77	148.33	155.72	119.9	210.84	201.05	95.83
168.16	152.92	125.71	139.79	166.96	115.1	177.75	113.99	108.54	132.46	170.9	134.65	172.49	132.3	142.88	149.45	157.04	125.2	134.25	120.62	134.18	140.81	165.78	127.53	112.43	148.66	149.39	156.05	120.54	211.69	201.35	96.72
168.98	153.65	126.26	141.05	167.73	115.35	178.65	114.92	108.44	133.87	171.51	134.39	172.99	133.27	144.2	150.87	156.58	125.51	134.93	120.84	134.6	141.43	166	128.16	113.17	149.65	149.36	157.59	121.27	212.35	202.49	97.54
169.81	154.52	126.93	140.94	168.5	116.2	178.74	115.16	109.34	134.67	172.24	135.93	173.53	134.44	145.24	151.52	158.09	126.72	136.16	122.66	134.97	141.95	166.81	128.85	114.46	150.37	150.9	158.59	122.13	213.17	203.81	98.55
171.08	155.72	127.97	142.29	169.35	117.8	179.62	115.56	110.44	134.69	172.94	137.24	174.64	135.38	145.73	152.58	159.07	127.94	136.32	122.43	135.9	142.4	167.48	130.03	114.94	151.15	151.81	158.96	123.03	214.31	203.88	99.25
171.64	156.04	129.02	143.29	170.42	118.45	181.26	117.13	111.72	136.68	174.21	137.02	175.64	134.98	146.83	153.45	159.47	127.49	137.33	124.68	137.04	144.51	168.88	130.54	116	151.77	152.51	159.9	123.2	215.3	204.39	100.05
171.87	156.84	129.02	144.28	171.69	118.79	181.59	117.8	111.01	137.78	174.36	138.83	175.73	135.99	147.42	154.42	160.75	129.44	137.51	125.02	137.58	145.01	169.26	131.68	117.11	152.43	153.29	161.13	124.68	215.37	205.36	100.74
173.05	158.09	130.64	145.02	172.13	119.69	183.34	118.83	112.95	137.85	176.1	139.5	177.17	136.83	148.02	155.53	160.9	129.89	139.68	126.12	138.09	145.96	169.61	132.44	118	153.13	154.11	161.6	125.98	216.66	206.3	101.24
173.83	158.91	131.45	145.54	173.26	120.23	183.54	118.94	113.82	138.9	177.08	140.55	178.22	137.9	149.38	154.97	162.22	130.62	139.86	126.95	140.32	147.19	170.84	133.02	119.16	154.52	154.78	162.43	126.17	217.68	207.46	101.66
