fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
177.87	163.06	133.62	147.02	177.14	118.83	188.07	124.02	116.93	142.81	180.91	144.01	182	141.79	153.18	157.89	164.99	135.14	142.06	131.28	143.32	150.85	170.71	137.23	119.81	157.91	155.98	165.82	130.19	221.04	211.6	106.1
165.35	149.86	122.66	137.67	163.99	112.74	175.04	111.26	105.85	131.26	167.87	131.51	169.98	129.74	140.28	146.97	153.88	122.38	132.66	117.66	130.78	137.77	161.06	123.71	109.67	146.18	147.04	153.96	117.96	209.47	199.19	93.36
166.04	150.41	123.08	138.03	164.49	112.61	174.97	112.11	106.18	130.54	169.52	132.78	170.48	130.15	140.55	147.35	154.03	122.9	132.26	118.49	131.64	138.18	163.49	124.29	110.47	146.8	146.75	154.49	118.69	209.51	199.73	93.84
167.06	151.44	123.82	138.08	164.79	113.49	175.88	112.49	107.12	132.6	168.45	133.27	170.9	131.28	140.72	147.73	154.92	123.13	133.85	119.8	132.4	138.9	163.9	125.78	111.52	147.17	147.26	155.5	119.11	210.55	201.1	94.92
167.87	152.15	124.51	139.4	166.18	114.11	176.65	113.31	108.24	133.3	169.27	133.58	171.34	131.58	141.11	148.73	155.92	123.7	134.45	120.13	132.59	139.94	164.81	126.49	111.71	147.73	148.36	156.09	120.08	210.82	201.8	95.71
168.92	153.07	126.43	140.15	166.7	114.67	177.33	113.93	109.64	134.21	170.86	133.64	172.61	132.33	142.53	149.46	156.07	124.11	134.93	121.06	133.65	140.1	165.47	127.73	112.43	148.95	149.42	156.77	120.59	211.99	201.9	96.72
169.46	154.26	126.65	141.23	167.52	116.06	178.69	114.73	109.12	134.29	171.96	134.92	172.79	133.63	143.8	150.55	156.88	124.93	135.35	121.56	134.87	141.63	166.55	128.16	113.06	150.08	150.4	157.69	121.96	212.57	202.16	96.83
170.39	154.64	127.08	141.13	168.51	116.35	179.29	115.1	110.66	135.81	172.44	135.74	173.72	133.75	144.69	151.45	159.13	126.59	136.22	122.27	135.38	141.95	166.84	129.06	114.46	150.54	150.9	158.22	122.31	213.42	203.4	97.98
171.24	155.48	128.04	142.23	168.88	117.24	180.59	116.57	111.18	135.31	173.7	136.42	173.87	134.64	145.35	152.54	158.98	126.96	137.34	123.56	136.62	143.27	167.92	129.68	115.08	150.8	151.84	159.2	123.3	213.81	203.63	98.54
171.82	156.13	129.23	143.17	170.5	118.03	181.12	116.6	111.84	136.11	174.46	137.28	175.21	134.99	146.88	152.47	159.43	128.28	138.01	124.03	137.12	144.09	168.41	130.57	115.85	151.51	152.73	160.37	123.6	214.88	204.42	99.42
