fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
1462.15	1449.7	1425.24	1388.61	1463.64	1358.94	1458.23	1380.32	1350.37	1336.1	1437.97	1394.37	1403.3	1374.59	1444.52	1444.86	1365.56	1393.1	1380.31	1361.95	1427.01	1420.45	1452.84	1389.26	1390.76	1373.11	1413.67	1414.15	1356.12	1478.82	1514.88	1363.62
1471.32	1460.62	1433.01	1400.07	1473.99	1368.46	1467.74	1391.09	1359.28	1346.05	1448.39	1403.59	1412.33	1384	1453	1453.13	1374.49	1401.3	1388.23	1371.65	1433.88	1430.68	1458.58	1396.75	1398.69	1382	1422.4	1421.03	1365.43	1483.87	1523.43	1372.05
1480.63	1468.27	1442.59	1407.35	1483.55	1378.06	1477.54	1400.41	1368.48	1355.74	1456.34	1412.46	1422.98	1392.84	1462.35	1463.04	1388.06	1409.69	1397.79	1383.39	1443.94	1438.99	1468.34	1406.59	1406.67	1392.66	1432.1	1434.17	1375.07	1494.43	1535.67	1384.28
1489.9	1478.26	1453.13	1417.58	1492.48	1387.31	1487.63	1411.17	1377.46	1364.08	1466.5	1423.24	1432.01	1402.94	1471.55	1472.96	1393.24	1422.49	1410.52	1390.26	1453.65	1450.93	1477.55	1415.38	1420.08	1399.82	1441.05	1438.97	1384.37	1505.29	1542.5	1392.14
1499.81	1488.37	1461.57	1428.57	1502.38	1396.96	1497.24	1418.78	1386.42	1373.84	1477.93	1431.22	1441.66	1411.4	1480.4	1481.75	1401.82	1428.1	1416.43	1400	1461.83	1456.53	1486.4	1424.36	1425.79	1409.3	1449.87	1448.97	1392.41	1512.78	1552.53	1399.67
1508.91	1495.87	1470.9	1435.67	1511.91	1406.06	1505.44	1428.23	1396.41	1384.24	1484.32	1440.84	1449.65	1423.13	1491.42	1491.81	1415.76	1436.68	1426.51	1411.03	1473.72	1467.58	1498.6	1436.23	1434.83	1422.33	1462.74	1460.4	1405.74	1522.56	1563.37	1413.8
1517.54	1505.76	1481.2	1446.17	1520.53	1416.75	1514.61	1438.36	1404.15	1391.63	1494.17	1450.29	1459.49	1431.87	1500.15	1499.92	1419.96	1448.62	1436.61	1418.9	1479.54	1475.97	1505.74	1442.13	1448.19	1427.52	1468.84	1466.86	1411.31	1533.41	1572.83	1419.9
1527.49	1516.3	1489.67	1456.13	1530.15	1424.96	1525.54	1446.18	1414.59	1403.54	1504.28	1459.57	1469.2	1440.79	1508.75	1510.19	1430.51	1454.52	1444.53	1427.61	1489.72	1485.15	1514.44	1451.95	1453.54	1437.32	1479.95	1477.07	1420.52	1541.94	1581.67	1429.73
1537.65	1524.38	1499.24	1464.34	1539.63	1434.95	1533.51	1455.98	1422.7	1411.97	1512.82	1469.26	1478.23	1449.96	1519.03	1519.18	1439.98	1467.04	1454.79	1437.35	1499.99	1496.23	1524.56	1463	1463.44	1446.72	1487.25	1485.48	1433.58	1554.17	1592.1	1439.31
1546.49	1533.69	1508.75	1473.1	1550.45	1443.87	1543.82	1466.54	1432.78	1420.89	1523.08	1478.17	1488.03	1459.55	1527.27	1527.66	1449	1473.47	1462.81	1445.4	1508.16	1503.88	1532.5	1470.31	1474.07	1456.28	1496.71	1492.88	1438.59	1558.69	1600.48	1447.23
1555.77	1545.86	1517.18	1483.28	1558.08	1452.41	1554.88	1474.52	1442.77	1460.23	1531.94	1487.77	1496.23	1468.76	1537.59	1537.59	1460.57	1484.94	1471.32	1457.22	1517.07	1515.66	1544.41	1481.04	1481.33	1467.65	1508.47	1504.6	1448.43	1569.03	1609.01	1459.2
1565.38	1553.39	1526.22	1492.73	1568.16	1461.63	1562.32	1483.86	1450.5	1470.05	1540.62	1495.61	1505.63	1478.89	1546.74	1546.61	1467.08	1490.93	1481.64	1464.02	1525.99	1521.34	1550.8	1490.44	1491.67	1473.38	1514.76	1512.68	1460.56	1580.02	1619.78	1464.91
1574.54	1563.14	1536.8	1502.07	1576.84	1471.72	1571.77	1493.63	1459.97	1459.39	1551.86	1504.95	1515.43	1486.92	1555.88	1556.57	1478.75	1500.58	1489.12	1475.11	1536.4	1531.7	1560.6	1497.29	1498.94	1483.22	1524.52	1526.28	1465.81	1587.6	1627.05	1473.3
1582.01	1571.35	1545.09	1510.27	1586.79	1479.62	1580.8	1502.13	1469.27	1456.39	1560.44	1514.19	1523.71	1496.08	1566.91	1566.03	1484.33	1512.43	1501.89	1481.33	1545.13	1541.66	1571.25	1509.41	1508.55	1495.3	1535.02	1530.88	1475.56	1596.82	1635.74	1486.07
