fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
169.3	170.95	142.56	157.56	189.03	137.34	196.82	135.54	111.67	152.07	196.49	152.51	193.14	154.32	167.3	166.09	160.07	150.35	157.24	143.37	155.17	166.4	179.31	150.64	135.33	167.95	165.35	180.75	138.01	235.16	223.44	114.04
170.05	158.92	129.01	144.99	172.82	120.43	183.79	118.89	113.03	138.14	174.5	137.7	179.64	139.62	149	154.58	158.2	130.72	139.07	129.14	139.92	146.08	169.72	130.95	118.97	154.7	154.65	161.05	126.7	217.64	208.99	100.21
170.53	157.77	129.81	143.61	173.75	119.66	184.57	117	116.92	139.26	178.41	141.43	179.62	140.02	149.61	156.56	164.4	131.31	138.45	125.57	140.56	149.22	174.47	133.41	120.74	157.66	157.34	162.79	125.97	217.48	210.1	101.21
173.43	159.85	129.34	145.33	174.86	122.27	186.25	119.62	114.68	139.58	179.81	140.75	177.86	140.21	149.98	159.39	160.27	133.5	140.65	129.28	140.8	148.84	173.22	133.39	120.6	157.35	158.08	164.54	128.03	220.43	210.76	102.08
174.03	160.87	131.8	146.93	174.89	122.96	183.86	120.7	117.69	142.52	180.19	141.8	180.87	139.91	153.85	160	163.92	131.88	141.39	130.09	142.92	149.44	173.36	135.47	123.71	157.83	156.68	166.86	129.09	219.86	211.04	102.77
173.84	162.64	134.38	148.55	177.51	123.39	186.47	122.8	116.5	140.51	178.86	142.59	180.75	142.02	152.39	161.75	166.63	135.43	143.79	127.62	144.24	153.61	174.82	138.63	121.22	158.78	160.87	166.04	130.79	221.77	213.46	105.02
174.72	161.54	136.02	151.14	178.19	125.6	187.14	124.3	119.97	141.18	182.82	143.67	184.55	144.26	158.05	161.83	164.11	138.21	148	129.44	146.11	153.22	176.86	138.71	124.61	161.75	159.7	168.19	131.19	224.6	213.87	105.67
177.01	163.83	133.78	151.97	179.12	127.72	189.12	125.94	119.69	142.46	184.18	148.04	182.95	142.98	157.36	164.61	169.62	136.16	145.8	132.73	146.36	153.82	178.47	139.45	124.66	161.1	161.11	168.62	132.72	223.89	215.64	108.35
177.65	165.17	137.92	153.49	180.84	126.53	191.04	123.74	120.72	144.83	185.39	145.11	185	144.56	156.96	164.78	171.39	142.24	148.84	132.99	150.13	155.75	179.89	141.99	128.26	160.35	162.59	170.33	134.39	225.97	217.02	108.07
179.31	168.19	139.38	154.3	183.36	128.27	191.18	128.58	119.39	144.38	186.92	150.42	186.35	147.79	159.5	167.11	173.01	139.92	149.89	135.35	148.94	156.56	182.11	144.15	126.03	163.8	163.37	171.92	136.06	227.94	218.71	109.12
179.9	168.66	139.44	154.32	182.13	129.9	194.41	129.01	123.9	146.27	186.22	149.06	187.31	146.94	158.11	165.93	172.35	140.72	151.65	135.34	149.22	157.11	183.58	143.42	128.72	163.75	165.23	172.5	136.53	229.34	218.85	111.44
181.79	170.3	140.82	155.48	184.3	130.66	194.29	129.65	124.81	147.98	189.48	149.45	187.02	150.84	162.15	170.91	172.61	143	152.41	140.53	150.26	158.48	187.61	142.84	131.7	165.07	167.88	175.2	137.25	229.1	220.16	111.37
183.99	171.54	142.63	157.62	186.07	133.53	196.01	132.28	125.4	148.28	188.69	151.33	191.19	150.53	165.09	170.99	172.79	146.83	156.44	140.22	153.43	158.49	187.28	146.64	133.97	167	167.34	177.44	137.74	231.35	221.59	112.36
183.33	172.84	143.38	157.19	187.09	134.04	196.35	131.97	128.34	152.5	192.75	152.81	191.31	150.66	165.6	170.39	172.73	146.22	154.24	142.09	153.77	160.9	188.54	147.72	134.1	166.58	170.64	176.8	140.35	230.98	222.12	115.64
184.48	172.44	145.47	159.01	188.38	136.03	196.92	133.98	128.96	153.11	192.08	155.24	190.32	151.66	167.2	172.57	174.21	147.97	156	141.53	156.42	161.43	190.44	147.05	133.37	167.79	169.92	177.46	141.8	233.28	223.68	115.78
185.59	176.44	146.56	160.52	188.35	135.58	199.57	135.4	130.14	152.77	193.26	155.22	194.11	155.75	169.4	174.56	177.8	145.68	157.22	140.14	155.63	164.92	187.67	146.11	134.22	169.39	170.55	179.24	141.22	233.43	226.25	116.9
187.68	177.11	148.74	162.37	191.28	136.42	199.78	136.38	131.72	153.38	196.7	156.32	193.62	157.06	167.41	174.23	178.42	148.72	157.47	146.82	157.11	163.24	189.11	149.98	136.87	172.18	173.77	180.72	142.12	236.17	226.52	116.12
189.19	176.77	147.56	162.51	192.58	137.36	203.07	137.7	131.4	154.78	197.14	157.86	194.02	156.74	169.23	178.62	179.1	153.44	159.23	147.57	162.76	165.7	191.89	152	136.34	172.56	174.75	182.25	144.65	239.72	228.66	120.12
188.3	178.17	151.11	163.34	193.65	139.59	201.88	138.14	130.44	155.62	196.05	157.87	198.28	155.69	171.77	178.44	178.45	151.49	160.03	146.23	159.75	167.31	192.01	152.73	140.85	173.62	176.27	184.51	145.11	239.94	230.29	121.42
190.9	179.8	152	163.75	193.45	140.75	204.7	140.57	135.06	156.62	197.06	158.53	200.83	157.82	171.43	177.73	181.78	152.5	162.23	148.35	164.17	170.59	192	153.75	141.41	174.95	176.4	183.13	147.16	237.82	230.64	123.15
193.07	182.94	153.52	165.42	196.33	141.47	206.98	141.75	135.21	158.51	201.55	162.45	198.35	159.92	173.24	178.04	183.71	153.34	163.98	150.43	164.93	168.56	193.89	155.65	140.87	175.41	177.91	184.88	147.59	241.36	232.28	123.85
193.58	182.67	155.01	166.84	197.45	142.54	207	141.78	136.58	159.97	200.78	164.47	198.39	161.11	172.34	180.58	185.7	156.17	162.99	148.14	167.27	170.95	194.41	155.76	141.47	175.48	179.26	186.97	149.66	244	232.84	125.01
193.13	183.28	155.31	168.54	199.03	144.79	208.87	143.15	139.62	161.29	200.49	162.06	202	162.75	177.27	181.59	184.25	156.56	163.56	150.95	166.64	171.97	193.79	155.93	144.69	177.31	179.08	186.44	151.17	244.2	235.32	126.33
195.23	186.06	156.16	168.61	198.57	145.83	211.62	142.84	139.59	163.02	204.33	166.32	202.76	163.57	178.48	182.71	185.4	156.07	166.51	151.73	165.28	173.79	200.63	159.6	146.76	179.56	182.01	187.95	151.22	244.06	238.08	127.03
197.5	186.05	158.15	170.93	201.99	146.25	211.52	144.97	140.54	160.85	206.29	166.82	202.92	164.01	178.88	185.35	187.19	160.15	168.36	153.23	169.47	175.18	196.94	158.06	145.41	180.7	183.91	190.43	151.84	244.38	236.36	127.2
197.98	186.39	158.66	171.67	201.68	146.99	212.12	146.62	140.98	162.28	209.1	168.64	205.01	163.59	180.26	189.27	188.24	157.52	168.77	156.13	171.8	178.09	199.88	160.54	145.97	180.63	183.99	191.35	154.41	246.91	238.47	129.08
200.14	187.78	159.55	173.61	204.68	148.99	213.12	148.81	141.43	164.86	206.22	168.58	204.6	166.07	181.5	187.21	188.73	160.68	169.1	157.45	174.53	178.06	200.84	162.49	148.88	182.09	184.46	192.62	154.86	246.85	240.3	130.6
199.24	190.33	160.96	174.14	202.63	149.45	214.8	149.93	141.88	165.2	207.48	170.8	207.66	166.6	185.28	188.07	188.62	164.59	170.67	157.06	173.42	180.91	202.97	164.96	148.87	184.06	186.65	193.54	156.17	250.17	241.59	133.72
202.84	191.84	163.37	175.07	206.36	150.88	214.63	150.39	146.39	165.39	209.05	172.63	208.44	167.28	183.87	190.75	189.79	165.54	172.55	157.45	172.96	182.09	203.58	164.91	152.24	184.8	187	194.1	157.85	251.39	243.36	133.46
202.95	193.45	163.52	176.39	207.52	151.83	216.54	150.81	145.55	167.36	208.34	173.01	210.06	168.6	185.71	191.73	193.54	166.58	172.15	157.87	175.6	181.69	206.7	165.71	153.57	186.17	189.73	197.08	156.56	251.51	244.55	134.04
204.99	193.88	165.14	177.58	208.2	153.69	215.98	150.65	147.4	166.31	212.32	173.47	208.75	168.17	186.49	192.53	194.48	164.92	173.99	161.31	176.67	182.76	207.28	167.67	153.86	186.45	189.6	198.88	158.92	253.66	244.67	135.1
204.68	195.06	164.99	179.24	207.25	153.62	219.42	155.24	148.27	169.55	211.91	174.79	210.45	170.56	185.95	193.41	196.67	165.58	174.36	163.3	175.88	183.64	210.93	166.37	154.94	187.98	191.35	197.28	161.06	255.93	246.1	135.74
205.34	197.07	167.63	180.08	212.45	152.86	219.77	153.84	150.43	170.22	214.37	176.19	212.08	173.9	190.61	194.52	196.11	169.21	178.34	159.57	177.74	184.77	209.27	170.19	157.39	189.22	192.19	198.27	162.22	255.96	248.52	136.78
206.01	197.51	167.78	181.49	212.67	157.16	221.76	154.39	150.64	169.17	215.84	176.7	213.14	173.92	188.87	196.27	193.66	171.17	178.17	167.28	180.6	185.95	210.27	172.19	157.69	187.83	193.58	200.95	163.16	258.37	249.87	141.61
