Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2292	0.2500	0.2292	0.2500	0.2500	0.2292	0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2292	0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2461	0.0083	0.2500	  6	0.2500	0.0000
0.3958	0.3958	0.3750	0.3750	0.3958	0.3750	0.3958	0.3750	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3828	0.0102	0.3750	 12	0.3750	0.0000
0.5625	0.5208	0.5208	0.5208	0.5208	0.5208	0.5417	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5228	0.0081	0.5208	  2	0.5208	0.0000
0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6667	0.6667	0.6875	0.6875	0.6667	0.6667	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6849	0.0070	0.6875	  4	0.6875	0.0000
0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.0000	0.8542	  0	0.8542	0.0000
1.1042	1.0833	1.1042	1.0833	1.1042	1.0833	1.0833	1.0833	1.0833	1.0833	1.0625	1.0625	1.0833	1.1042	1.0625	1.0625	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.0938	0.0150	1.1042	 12	1.1042	0.0000
1.3333	1.3125	1.3125	1.3333	1.2708	1.2917	1.2917	1.3333	1.2708	1.3333	1.2917	1.3750	1.3125	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.2708	1.3333	1.2708	1.3750	1.3333	1.3333	1.3333	1.3333	1.2708	1.3333	1.3333	1.3333	1.3333	1.3203	0.0279	1.3333	 13	1.3333	0.0000
1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5625	1.5417	1.4375	1.5417	1.6250	1.5417	1.5417	1.5417	1.6250	1.6250	1.6250	1.5625	1.5625	1.5625	1.5625	1.6250	1.5547	0.0369	1.5417	 11	1.5417	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2500	0.2500	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2480	0.0062	0.2500	  3	0.2500	0.0000
0.3958	0.3958	0.3750	0.3750	0.3958	0.3750	0.3958	0.3750	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3828	0.0102	0.3750	 12	0.3750	0.0000
0.5417	0.5208	0.5208	0.5208	0.5208	0.5208	0.5417	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5221	0.0051	0.5208	  2	0.5208	0.0000
0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6667	0.6875	0.6875	0.6667	0.7083	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6868	0.0064	0.6875	  3	0.6875	0.0000
0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.0000	0.8542	  0	0.8542	0.0000
1.1042	1.0833	1.1042	1.0833	1.1042	1.0833	1.0833	1.0833	1.0625	1.0833	1.0625	1.0625	1.0833	1.1042	1.0625	1.0625	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.1042	1.0931	0.0159	1.1042	 12	1.1042	0.0000
1.3333	1.3333	1.3125	1.3333	1.2708	1.2917	1.2917	1.3333	1.2708	1.3333	1.2917	1.3750	1.3125	1.3333	1.3333	1.3333	1.3333	1.3333	1.3333	1.2708	1.3333	1.2708	1.3333	1.3333	1.3333	1.3333	1.3333	1.2708	1.2708	1.3333	1.3333	1.3333	1.3177	0.0275	1.3333	 12	1.3333	0.0000
1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5625	1.5625	1.4375	1.6250	1.5417	1.5417	1.5417	1.5417	1.6250	1.5625	1.6250	1.5625	1.5625	1.5417	1.5625	1.6250	1.5527	0.0347	1.5417	 11	1.5417	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Median values [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2500	0.2500	0.2500	0.2500	0.2292	0.2292	0.2500	0.2500	0.2292	0.2083	0.2500	0.2500	0.2292	0.2292	0.2292	0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2292	0.2500	0.2500	0.2500	0.2500	0.2428	0.0114	0.2500	 10	0.2500	0.0000
0.3750	0.3750	0.3750	0.4167	0.3958	0.4167	0.3750	0.3750	0.3750	0.4167	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3750	0.3750	0.3750	0.3750	0.3958	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3750	0.3841	0.0139	0.3750	 11	0.3750	0.0000
0.5208	0.5208	0.5208	0.5208	0.5208	0.5417	0.5208	0.5417	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5208	0.5221	0.0051	0.5208	  2	0.5208	0.0000
0.6875	0.6875	0.6875	0.6875	0.7083	0.6875	0.7083	0.6875	0.6458	0.6875	0.6667	0.6875	0.6667	0.6875	0.7083	0.6667	0.6875	0.6875	0.6458	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6875	0.6458	0.6875	0.6836	0.0154	0.6875	  9	0.6875	0.0000
0.8542	0.8542	0.8542	0.8542	0.8542	0.8333	0.7917	0.7917	0.8542	0.8542	0.8750	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.7917	0.7917	0.7917	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.8542	0.7917	0.8542	0.8542	0.8542	0.8424	0.0253	0.8542	  8	0.8542	0.0000
1.1042	1.0625	1.1042	1.0833	1.0833	1.1042	1.0208	1.0833	1.0833	1.1042	1.1042	1.0625	1.0625	1.0625	1.0625	1.0833	1.1042	1.1042	1.1042	1.1042	1.1042	1.0625	1.1042	1.1042	1.1042	1.1042	1.1042	1.0417	1.1042	1.1042	1.1042	1.1042	1.0885	0.0225	1.1042	 13	1.1042	0.0000
1.2917	1.3333	1.3125	1.2708	1.3750	1.3542	1.2917	1.3333	1.2708	1.4167	1.2917	1.3125	1.2708	1.2708	1.2708	1.2708	1.2708	1.3333	1.2708	1.2708	1.2708	1.2708	1.3750	1.3750	1.3333	1.3333	1.2708	1.2708	1.2708	1.3333	1.3333	1.3333	1.3079	0.0412	1.2917	  1	1.3044	0.0368
1.5417	1.5417	1.5417	1.5417	1.5833	1.5208	1.5000	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5417	1.5625	1.5417	1.4375	1.5417	1.5417	1.5417	1.5417	1.5417	1.5625	1.5417	1.4375	1.5417	1.5625	1.4375	1.5417	1.5625	1.5339	0.0342	1.5417	 10	1.5417	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values at peaking time - based on Mean values without Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
664.16	619.36	609.63	603.87	658.71	593.42	623.08	563.17	598.18	589.41	628.82	565.36	562.87	588.60	641.44	617.35	598.69	637.43	575.75	631.54	563.55	581.96	635.81	637.89	587.26	590.09	645.32	638.75	691.10	592.57	641.86	640.81	613.06	32.697	613.49	  0	613.06	32.697
629.32	591.49	582.65	579.61	632.13	567.39	597.43	538.33	571.30	565.61	601.87	541.43	538.58	566.02	616.33	590.80	570.26	609.93	554.28	605.76	539.25	555.27	609.38	610.43	559.33	564.24	618.25	609.25	662.44	566.70	611.86	614.26	586.60	31.225	586.72	  0	586.60	31.225
616.81	580.13	569.83	569.42	622.40	557.04	585.76	529.04	562.54	557.31	591.37	532.33	529.41	556.95	607.70	581.32	560.57	599.94	546.84	596.49	532.13	544.62	599.93	601.03	549.67	553.61	608.28	597.21	650.70	554.93	599.81	604.16	576.54	30.622	574.98	  0	576.54	30.622
608.52	572.65	562.75	562.99	614.81	549.94	578.52	523.20	554.36	548.59	582.08	525.09	521.48	549.53	598.64	572.73	552.28	591.15	539.32	589.17	524.88	537.70	592.52	593.63	542.49	547.16	600.63	589.04	643.13	548.48	591.36	597.18	568.94	30.319	567.82	  0	568.94	30.319
603.84	567.34	558.16	559.10	611.22	545.89	574.50	519.09	551.40	545.56	577.93	522.01	518.07	546.97	595.91	568.29	547.80	586.97	536.53	584.59	521.86	534.32	588.12	589.84	539.14	542.97	596.55	584.53	638.59	543.70	587.05	592.87	565.02	30.031	563.22	  0	565.02	30.031
599.23	562.85	553.59	553.52	606.14	541.40	570.23	515.83	545.91	542.03	573.06	518.98	514.15	542.75	591.41	564.27	542.09	581.75	531.52	579.81	516.30	528.61	583.29	584.15	533.19	537.91	591.47	578.12	633.36	538.67	580.75	588.09	560.14	29.806	558.22	  0	560.14	29.806
596.19	559.80	551.41	551.46	604.18	539.01	567.97	513.85	543.04	539.15	570.29	516.21	512.21	539.85	589.07	562.45	540.67	579.72	530.75	578.06	514.83	526.94	580.81	582.14	532.72	536.81	590.29	577.19	630.97	537.60	579.19	587.01	558.18	29.706	555.63	  0	558.18	29.706
593.04	557.44	548.83	548.62	602.07	536.51	566.95	512.17	541.92	539.68	568.97	515.66	511.78	538.45	587.92	560.66	537.30	576.67	527.91	574.57	511.56	523.75	577.74	579.27	529.35	533.26	586.75	572.70	627.58	533.98	575.38	583.33	555.68	29.351	553.13	  0	555.68	29.351
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Mean values with Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
664.16	619.36	610.18	604.21	658.71	593.61	623.08	563.17	598.39	589.41	628.82	565.36	563.44	588.79	641.44	617.35	599.00	637.43	576.83	631.85	563.79	582.33	635.66	638.06	587.55	590.09	645.14	638.75	691.10	592.78	642.22	641.18	613.23	32.595	613.76	  0	613.23	32.595
629.55	591.49	582.65	579.61	632.13	567.39	597.43	538.33	571.60	565.61	601.87	541.26	538.84	566.30	616.42	591.14	570.26	609.70	554.28	605.76	539.25	555.27	609.38	610.43	559.33	564.24	618.44	609.25	662.44	566.70	612.00	614.26	586.64	31.228	586.89	  0	586.64	31.228
616.93	580.13	569.83	569.71	622.40	557.04	585.76	529.04	562.54	557.31	591.37	532.33	529.41	556.95	607.70	581.32	560.57	599.94	546.84	596.69	531.95	544.83	599.94	600.82	549.63	553.61	608.28	597.21	650.70	554.93	599.81	604.30	576.56	30.630	574.98	  0	576.56	30.630
608.52	572.65	562.75	562.99	614.81	549.94	578.52	523.35	554.12	548.59	582.08	525.09	521.48	549.61	598.64	572.73	552.28	591.15	539.32	588.97	524.64	537.44	592.27	593.63	542.29	547.16	600.64	589.04	643.28	548.48	591.49	597.18	568.91	30.344	567.82	  0	568.91	30.344
604.03	567.34	558.16	559.10	611.22	545.89	574.50	519.09	550.57	545.56	577.93	522.01	517.82	546.75	595.73	568.29	547.43	586.97	536.34	584.59	521.55	534.12	588.12	589.64	539.14	542.97	596.55	584.53	638.59	543.70	587.05	592.87	564.94	30.090	563.22	  0	564.94	30.090
599.23	562.85	553.59	553.52	606.14	541.40	570.23	515.83	545.69	542.03	573.06	518.98	514.15	542.75	591.60	564.27	542.09	581.75	531.35	579.59	516.09	528.39	583.06	583.96	533.17	537.71	591.31	578.26	633.36	538.81	580.75	588.09	560.10	29.822	558.22	  0	560.10	29.822
596.19	560.04	551.67	551.76	604.18	539.01	567.97	514.01	543.04	539.15	570.29	516.21	512.21	539.85	589.07	562.45	540.67	579.69	530.75	577.88	514.76	526.74	580.66	582.14	532.54	536.63	590.29	577.19	631.00	537.60	579.18	587.01	558.18	29.708	555.90	  0	558.18	29.708
593.04	557.44	548.79	549.25	602.07	536.51	566.95	512.15	541.92	539.68	568.97	515.48	511.78	538.45	587.92	560.66	537.30	576.65	527.30	574.43	511.41	523.74	577.53	579.10	529.19	533.16	586.60	572.70	627.58	534.07	575.38	583.33	555.64	29.370	553.35	  0	555.64	29.370
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Median values [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
