INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	11.488	10.994	8.653	8.257
 0	 1	11.256	10.610	8.350	7.899
 0	 2	10.924	10.304	8.645	8.140
 0	 3	9.667	9.546	8.133	8.013
 0	 4	9.472	9.437	8.198	8.182
 0	 5	8.405	8.234	7.447	7.295
 0	 6	7.948	7.822	7.224	7.106
 0	 7	7.886	7.648	7.337	7.170
 1	 0	12.252	11.503	8.293	7.875
 1	 1	12.310	11.280	9.343	8.535
 1	 2	12.285	11.338	9.690	8.962
 1	 3	10.203	9.980	8.759	8.598
 1	 4	10.809	10.426	9.209	8.888
 1	 5	9.271	8.982	7.739	7.484
 1	 6	9.446	9.347	7.927	7.784
 1	 7	8.989	8.884	7.972	7.878
 2	 0	12.769	11.963	8.821	8.323
 2	 1	12.710	11.421	9.429	8.583
 2	 2	13.253	12.775	10.262	9.888
 2	 3	12.112	11.696	9.529	9.266
 2	 4	12.003	11.738	10.155	9.991
 2	 5	11.544	11.431	9.717	9.622
 2	 6	11.196	11.122	9.671	9.646
 2	 7	11.822	11.993	10.192	10.227
 3	 0	14.412	13.934	9.292	8.941
 3	 1	13.802	13.010	10.252	9.688
 3	 2	13.895	13.404	11.154	10.777
 3	 3	12.873	12.453	10.457	10.091
 3	 4	13.314	12.944	11.623	11.299
 3	 5	13.315	13.194	11.108	11.036
 3	 6	14.165	14.074	12.107	12.030
 3	 7	14.995	14.903	13.333	13.252
 4	 0	11.481	11.196	7.924	7.780
 4	 1	12.751	12.397	9.266	8.965
 4	 2	14.937	14.732	11.382	11.258
 4	 3	15.395	15.218	12.305	12.150
 4	 4	16.598	16.387	14.327	14.192
 4	 5	20.052	20.052	17.003	16.932
 4	 6	21.933	21.933	18.709	18.531
 4	 7	23.966	23.631	22.191	22.182
 5	 0	11.579	11.084	7.677	7.402
 5	 1	13.356	13.287	9.621	9.509
 5	 2	17.473	17.213	13.420	13.282
 5	 3	19.660	18.791	15.616	15.572
 5	 4	22.390	22.090	19.499	19.155
 5	 5	27.533	27.533	22.859	22.859
 5	 6	30.998	30.840	26.784	26.517
 5	 7	35.548	35.548	31.791	31.791
 6	 0	9.936	9.600	6.795	6.577
 6	 1	13.008	12.934	9.584	9.485
 6	 2	17.518	17.312	13.361	13.414
 6	 3	21.014	20.631	16.471	16.207
 6	 4	23.623	23.878	20.672	20.841
 6	 5	29.086	29.186	24.857	24.649
 6	 6	34.553	34.553	28.950	28.940
 6	 7	40.503	40.503	35.185	35.185
 7	 0	9.965	9.880	6.702	6.619
 7	 1	10.668	9.935	7.680	7.252
 7	 2	10.655	10.316	8.122	7.891
 7	 3	9.419	9.036	7.279	7.002
 7	 4	9.194	8.871	7.644	7.367
 7	 5	9.118	9.017	7.299	7.245
 7	 6	9.385	9.321	7.518	7.452
 7	 7	7.917	7.948	7.008	6.972
 8	 0	13.992	13.246	10.120	9.434
 8	 1	15.074	14.425	10.686	10.158
 8	 2	15.176	14.721	10.691	10.334
 8	 3	12.457	12.076	9.992	9.605
 8	 4	12.147	11.363	9.436	9.072
 8	 5	10.130	9.996	8.462	8.332
 8	 6	11.042	10.899	8.705	8.589
 8	 7	9.446	9.275	8.359	8.189
 9	 0	15.357	14.367	11.006	10.500
 9	 1	18.480	17.052	13.006	12.652
 9	 2	20.837	20.416	15.460	15.160
 9	 3	19.465	19.217	15.401	15.274
 9	 4	24.583	24.249	18.629	18.437
 9	 5	25.629	25.848	20.947	20.756
 9	 6	31.980	32.545	24.727	24.876
 9	 7	31.412	31.251	28.003	27.912
10	 0	12.368	11.911	8.872	8.764
10	 1	14.891	14.488	10.587	10.539
10	 2	17.263	16.971	12.380	12.240
10	 3	16.176	16.204	12.756	12.790
10	 4	19.483	19.394	15.238	15.255
10	 5	20.716	21.090	17.708	17.603
10	 6	25.856	25.856	20.607	20.647
10	 7	24.672	24.672	23.218	23.218
11	 0	10.224	9.825	6.969	6.839
11	 1	11.190	10.949	7.919	7.967
11	 2	12.555	12.395	8.956	8.825
11	 3	10.364	10.158	8.139	7.838
11	 4	10.757	10.554	8.275	8.172
11	 5	10.111	10.326	8.197	8.145
11	 6	11.321	11.263	9.065	9.001
11	 7	10.894	10.879	9.713	9.691
12	 0	9.096	8.679	6.384	6.105
12	 1	10.438	10.326	7.320	7.322
12	 2	10.541	10.069	7.771	7.469
12	 3	9.062	8.895	7.175	7.048
12	 4	9.097	8.837	7.344	7.255
12	 5	8.191	8.216	6.992	6.941
12	 6	8.825	8.509	7.292	7.146
12	 7	8.492	8.297	7.594	7.461
13	 0	9.500	9.174	6.413	6.104
13	 1	9.387	9.628	6.648	6.751
13	 2	9.569	9.219	7.252	7.081
13	 3	8.520	8.212	6.794	6.600
13	 4	9.151	8.881	7.135	7.070
13	 5	7.746	7.614	6.501	6.337
13	 6	8.731	8.657	7.008	6.963
13	 7	8.279	8.163	7.591	7.547
14	 0	9.425	8.914	6.574	6.372
14	 1	10.078	9.873	6.990	6.963
14	 2	10.244	9.833	7.661	7.351
14	 3	8.949	8.465	7.374	7.107
14	 4	9.053	8.717	7.234	7.101
14	 5	7.928	7.708	6.873	6.670
14	 6	8.483	8.308	7.277	7.176
14	 7	8.620	8.439	7.677	7.541
15	 0	9.820	9.294	6.757	6.614
15	 1	9.968	9.900	7.007	6.985
15	 2	10.299	9.811	7.714	7.463
15	 3	8.858	8.555	7.088	7.024
15	 4	9.013	8.600	7.114	6.940
15	 5	7.908	7.811	6.655	6.547
15	 6	9.221	8.778	7.492	7.188
15	 7	8.712	8.673	7.797	7.763
16	 0	11.053	10.963	7.604	7.428
16	 1	11.852	11.377	8.285	7.863
16	 2	12.091	11.323	9.094	8.490
16	 3	10.731	10.478	8.597	8.205
16	 4	11.331	11.142	8.813	8.638
16	 5	10.254	10.157	8.941	8.700
16	 6	11.824	11.824	10.052	10.065
16	 7	11.447	11.390	10.614	10.584
17	 0	8.551	8.560	6.022	5.962
17	 1	9.393	8.950	6.586	6.358
17	 2	9.296	8.694	7.095	6.632
17	 3	8.652	8.495	7.107	6.997
17	 4	9.645	8.929	7.674	7.453
17	 5	9.085	9.001	8.130	8.063
17	 6	10.617	10.468	9.233	9.119
17	 7	10.812	10.799	9.814	9.695
18	 0	9.019	8.561	6.088	5.885
18	 1	9.344	9.012	6.573	6.308
18	 2	9.113	8.840	7.159	6.940
18	 3	9.097	8.960	7.342	7.354
18	 4	9.915	9.842	7.713	7.693
18	 5	9.344	9.358	8.070	7.930
18	 6	10.959	10.902	9.030	8.999
18	 7	11.758	11.796	10.333	10.280
19	 0	9.544	9.238	6.500	6.482
19	 1	9.983	9.411	7.015	6.665
19	 2	10.007	9.475	7.780	7.377
19	 3	9.361	8.958	7.801	7.631
19	 4	10.495	10.028	8.246	7.991
19	 5	9.533	9.613	8.425	8.384
19	 6	10.703	10.633	9.149	9.142
19	 7	10.848	10.818	9.995	9.961
20	 0	10.885	10.724	7.272	7.225
20	 1	11.563	11.137	8.206	7.894
20	 2	11.328	10.913	8.456	8.108
20	 3	10.376	10.176	8.192	7.903
20	 4	11.571	10.661	8.790	8.452
20	 5	9.828	9.867	8.580	8.527
20	 6	11.899	11.493	9.732	9.532
20	 7	11.381	11.396	10.145	10.045
21	 0	12.104	11.839	8.573	8.671
21	 1	13.765	13.176	9.570	9.274
21	 2	13.379	13.177	9.883	9.501
21	 3	11.685	11.336	9.388	9.284
21	 4	12.448	11.590	9.756	9.535
21	 5	10.692	10.690	9.403	9.276
21	 6	11.652	11.411	10.035	9.910
21	 7	11.314	11.138	10.503	10.317
22	 0	15.249	14.875	10.832	10.490
22	 1	16.838	15.367	12.003	10.956
22	 2	16.529	15.329	12.412	11.420
22	 3	13.981	13.067	11.649	11.120
22	 4	14.769	13.600	11.563	10.917
22	 5	12.031	12.039	10.674	10.493
22	 6	12.997	12.587	11.127	10.893
22	 7	12.116	12.124	11.018	10.958
23	 0	13.479	13.334	9.700	9.575
23	 1	14.802	14.417	10.435	10.095
23	 2	14.760	13.815	11.259	10.559
23	 3	12.743	12.379	10.428	10.245
23	 4	13.024	12.209	10.209	9.799
23	 5	10.921	10.739	9.640	9.482
23	 6	12.131	11.908	10.607	10.418
23	 7	12.153	12.010	11.087	10.946
24	 0	7.110	6.854	4.768	4.692
24	 1	7.489	7.552	5.282	5.307
24	 2	8.008	7.977	6.030	5.906
24	 3	7.112	7.197	5.666	5.608
24	 4	8.093	7.928	6.581	6.516
24	 5	8.330	8.262	7.163	7.189
24	 6	9.861	9.776	8.391	8.293
24	 7	10.543	10.428	9.139	9.069
25	 0	8.567	8.300	5.722	5.653
25	 1	8.534	8.091	6.278	5.988
25	 2	8.651	8.533	6.670	6.604
25	 3	8.004	7.926	6.515	6.405
25	 4	9.100	9.130	7.374	7.313
25	 5	8.980	8.819	7.595	7.539
25	 6	10.260	10.134	8.398	8.319
25	 7	10.641	10.703	8.979	9.007
26	 0	9.796	9.627	6.703	6.642
26	 1	9.707	9.363	7.160	6.907
26	 2	10.164	9.906	8.053	7.831
26	 3	9.732	9.758	7.728	7.628
26	 4	9.591	9.511	7.879	7.787
