ch	pt	mean	 std	median	outliers	mean_w/o_out	 std_w/o_out	    samples	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	 #32	 #33	 #34	 #35	 #36	 #37	 #38	 #39	 #40	 #41	 #42	 #43	 #44	 #45	 #46	 #47	 #48	 #49	 #50	 #51	 #52	 #53	 #54	 #55	 #56	 #57	 #58	 #59	 #60	 #61	 #62	 #63	 #64	 #65	 #66	 #67	 #68	 #69	 #70	 #71	 #72	 #73	 #74	 #75	 #76	 #77	 #78	 #79	 #80	 #81	 #82	 #83	 #84	 #85	 #86	 #87	 #88	 #89	 #90	 #91	 #92	 #93	 #94	 #95	 #96	 #97	 #98	 #99	#100	#101	#102	#103	#104	#105	#106	#107	#108	#109	#110	#111	#112	#113	#114	#115	#116	#117	#118	#119	#120	#121	#122	#123	#124	#125	#126	#127	#128	#129	#130	#131	#132	#133	#134	#135	#136	#137	#138	#139	#140	#141	#142	#143	#144	#145
 1	 2	  90.32	  12.91	  91.0	 138	  90.63	  4.30	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   1	   2	   2	   1	   0	   0	   1	   2	   0	   1	   1	   0	   1	   0	   1	   0	   1	   0	   3	   0	   1	   3	   0	   4	   5	   3	   2	   0	   5	   1	   2	   0	   1	   3	   2	   0	   6	   2	   4	   2	   3	   6	   4	   3	   3	  11	  19	   6	  19	  48	  26	  42	  50	  65	 124	  90	  55	 116	  49	  23	  43	  22	  15	   6	  10	   7	   3	   0	   3	   4	   3	   3	   0	   4	   2	   2	   2	   4	   3	   1	   0	   2	   1	   1	   1	   4	   4	   2	   1	   2	   1	   0	   0	   0	   0	   2	   2	   1	   1	   0	   1	   0	   0	   1	   1	   1	   0	   1	   1	   4
 1	 3	  91.29	  10.89	  90.5	 139	  90.52	  3.72	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   1	   2	   1	   0	   3	   0	   1	   1	   1	   5	   0	   2	   2	   2	   1	   4	   3	   5	   4	   4	   6	  10	   2	  11	   6	   3	   7	  14	  34	  43	  45	  63	  84	 125	  94	  80	 103	  50	  17	  31	  21	  14	   6	   4	   6	   3	   0	   4	   2	   7	   2	   3	   1	   1	   6	   0	   1	   2	   1	   3	   5	   0	   1	   1	   2	   2	   3	   3	   1	   1	   0	   1	   1	   1	   2	   3	   2	   0	   2	   0	   0	   0	   2	   2	   1	   0	   0	   0	   2
 1	 4	  90.82	   9.57	  91.0	 170	  90.68	  3.15	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   2	   1	   1	   1	   1	   2	   1	   0	   2	   0	   1	   1	   2	   1	   2	   1	   6	   3	   1	   5	   5	   2	   4	   3	   3	   3	   2	   6	   4	  13	   9	  17	  24	  32	  42	  49	  96	 139	 125	  73	  88	  48	  16	  37	  15	  18	   2	  10	  10	   2	   2	   6	   5	   4	   3	   3	   4	   1	   4	   1	   4	   2	   1	   0	   4	   4	   3	   1	   0	   1	   1	   0	   2	   1	   3	   0	   0	   0	   0	   1	   1	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   1	   0
 1	 5	  91.01	   6.89	  90.0	  84	  90.40	  4.02	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   2	   0	   0	   1	   0	   2	   2	   0	   2	   0	   1	   2	   6	   6	   1	   5	   2	   0	   8	   7	   8	   7	  14	  38	  39	  60	  65	  78	 171	 106	  50	  87	  58	  27	  25	  19	  14	   6	   6	  10	   3	   3	   9	   4	   5	   8	   3	   4	   7	   4	   0	   1	   2	   2	   2	   1	   2	   1	   1	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 1	 6	  90.34	   5.71	  90.0	 110	  90.32	  3.29	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   2	   0	   3	   0	   3	   1	   3	   2	   2	   1	   4	   8	   4	   1	   9	   8	  18	   8	  24	  27	  40	  41	  64	  78	 174	 112	  76	 102	  57	   8	  30	  15	  16	   4	  11	   7	   2	   3	   8	   5	   6	   4	   3	   3	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 1	 7	  90.61	   4.79	  90.0	  80	  90.29	  3.27	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   1	   1	   0	   2	   0	   1	   5	   4	   1	   3	   8	  11	  10	  24	  32	  45	  50	  65	  97	 163	 113	  78	 101	  52	  17	  28	  16	  18	  10	   5	   7	  10	   2	   4	   4	   6	   2	   0	   0	   1	   1	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 2	 0	  93.50	   6.68	  94.0	  28	  93.65	  5.61	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   0	   0	   1	   6	   1	   1	   2	   2	   2	   3	   2	   7	   5	   9	   5	  11	  28	  27	  30	  33	  29	  88	  56	  52	  91	  82	  35	 103	  52	  71	  24	  35	  26	  13	   5	  16	   4	   8	   3	   4	   8	   2	   3	   1	   3	   1	   2	   1	   1	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 2	 1	  94.77	  16.75	  94.0	 118	  93.99	  5.41	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   1	   1	   0	   2	   0	   0	   0	   0	   0	   1	   0	   1	   0	   0	   1	   0	   0	   2	   1	   0	   2	   0	   1	   0	   0	   0	   1	   0	   0	   2	   2	   1	   1	   0	   0	   4	   1	   0	   3	   1	   1	   2	   0	   2	   1	   1	   2	   4	   1	   2	   2	   3	   1	   3	   5	   6	   0	   2	   3	   8	   2	   5	  13	  17	  17	  22	  28	  98	  54	  56	 102	  66	  32	  83	  61	  56	  18	  32	  31	  15	   5	  11	  10	  11	   1	   1	   8	   1	   2	   0	   1	   4	   0	   3	   4	   2	   4	   0	   1	   3	   0	   0	   3	   3	   0	   3	   2	   1	   1	   1	   1	   0	   0	   0	   1	   2	   0	   1	   1	   1	   0	   0	  20
 2	 2	  93.71	  14.15	  94.0	 126	  94.00	  5.07	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   1	   0	   4	   1	   1	   0	   0	   0	   0	   0	   2	   1	   1	   0	   1	   1	   0	   0	   1	   2	   1	   1	   3	   0	   1	   2	   0	   4	   2	   2	   6	   1	   3	   0	   1	   5	   2	   2	   0	   3	   2	   3	   4	   4	   3	   0	   4	   3	   5	   3	   9	  17	  13	  18	  19	  38	  52	  57	  53	 114	  70	  45	  90	  66	  59	  26	  29	  28	   8	   5	  16	   3	   6	   6	   3	   1	   1	   0	   2	   2	   6	   0	   2	   2	   1	   5	   0	   3	   1	   1	   1	   5	   3	   1	   1	   0	   0	   0	   4	   2	   0	   1	   1	   0	   2	   1	   0	   0	   1	   1	   2	   8
 2	 3	  94.56	  11.87	  94.0	 126	  93.60	  4.48	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   2	   0	   0	   0	   0	   0	   0	   0	   1	   1	   1	   1	   0	   0	   1	   0	   3	   0	   1	   1	   1	   1	   2	   1	   6	   4	   2	   0	   5	   2	   4	   1	   7	   2	   1	   2	   6	   8	   3	  10	  17	  17	  25	  18	  28	  57	  57	  57	 124	 105	  44	  89	  60	  55	  16	  29	  20	   9	   3	   7	   1	   4	   5	   2	   2	   3	   0	   3	   1	   6	   2	   2	   2	   4	   1	   3	   1	   3	   0	   3	   4	   0	   0	   4	   2	   2	   1	   0	   5	   0	   1	   0	   1	   1	   0	   4	   2	   1	   0	   1	   5
