ch	pt	mean	 std	median	outliers	mean_w/o_out	 std_w/o_out	    samples	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	 #32	 #33	 #34	 #35	 #36	 #37	 #38	 #39	 #40	 #41	 #42	 #43	 #44	 #45	 #46	 #47	 #48	 #49	 #50	 #51	 #52	 #53	 #54	 #55	 #56	 #57	 #58	 #59	 #60	 #61	 #62	 #63	 #64	 #65	 #66	 #67	 #68	 #69	 #70	 #71	 #72	 #73	 #74	 #75	 #76	 #77	 #78	 #79	 #80	 #81	 #82	 #83	 #84	 #85	 #86	 #87	 #88	 #89	 #90	 #91	 #92	 #93	 #94	 #95	 #96	 #97	 #98	 #99	#100	#101	#102	#103	#104	#105	#106	#107	#108	#109	#110	#111	#112	#113	#114	#115	#116	#117	#118	#119	#120	#121	#122	#123	#124	#125	#126	#127	#128	#129	#130	#131	#132	#133	#134	#135	#136	#137	#138	#139	#140	#141	#142	#143	#144	#145
 8	 0	  51.17	   2.90	  51.0	 114	  51.17	  1.90	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   1	   0	   1	   0	   6	   3	   6	  15	  22	  31	  47	  82	 198	  96	 213	 124	  64	  31	  20	  18	  10	   4	   1	   4	   1	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 1	  51.96	   7.61	  52.0	 115	  51.55	  2.42	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   2	   1	   0	   2	   0	   1	   2	   3	   0	   3	   3	   3	   3	   2	   3	   6	   1	   3	   4	   7	   6	   2	   4	  19	  10	  39	  47	 200	 103	 190	 131	  64	  23	  18	  12	  14	   8	   1	   4	   6	   2	   4	   2	   0	   3	   6	   3	   5	   1	   1	   0	   1	   3	   3	   1	   0	   0	   1	   0	   0	   0	   0	   1	   1	   2	   1	   2	   0	   0	   0	   0	   1	   0	   1	   0	   1	   1	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 2	  51.52	   6.51	  52.0	 117	  51.58	  2.55	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   1	   4	   2	   1	   1	   0	   4	   4	   4	   2	   4	   4	   4	   4	   8	   8	   7	   2	   4	  12	  13	  23	  33	  55	 167	  84	 190	 164	  53	  28	  20	  15	  15	   4	   3	   6	   1	   3	   5	   4	   8	   0	   4	   2	   3	   1	   2	   1	   0	   0	   1	   2	   0	   0	   2	   1	   2	   0	   1	   2	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 3	  51.89	   5.83	  52.0	 100	  51.31	  2.43	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   1	   0	   1	   1	   1	   1	   6	   5	   2	   5	   4	   7	   5	  11	   8	  23	  16	  28	  67	 169	 108	 207	 164	  45	  21	   8	  11	   7	   5	   2	   6	   4	   3	   3	   5	   7	   3	   2	   3	   3	   1	   6	   1	   1	   2	   3	   2	   0	   0	   2	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 4	  51.80	   5.18	  52.0	 169	  51.73	  1.66	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	   0	   0	   2	   4	   2	   1	   6	   3	   1	   7	   6	   9	   8	   6	  10	  11	   9	  21	  35	 177	 108	 215	 178	  58	  22	  17	  11	  14	   5	   7	   8	   1	   0	   8	   3	   4	   2	   4	   2	   3	   2	   0	   2	   1	   1	   0	   1	   1	   0	   0	   0	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 5	  51.77	   3.82	  52.0	  65	  51.55	  2.45	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   1	   2	   2	   3	   2	   5	   7	   4	  15	   9	   7	  26	  70	 193	 124	 216	 143	  45	  26	  15	  13	  18	   7	   4	   9	  12	   2	   5	   4	   4	   2	   1	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 6	  51.35	   3.13	  52.0	  29	  51.41	  2.58	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   3	   3	   0	   5	   4	   2	  13	  16	  14	  16	  28	  52	 216	 106	 242	 147	  45	  17	  18	   9	  19	   8	   5	   6	   5	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 8	 7	  51.55	   2.64	  52.0	  98	  51.51	  1.68	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   1	   2	   1	   2	   9	  17	  17	  27	  66	 193	 149	 212	 174	  40	  23	  18	  13	  18	   8	   1	   5	   1	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 9	 0	  87.05	   4.84	  87.0	  22	  87.10	  4.14	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	   0	   0	   1	   6	   1	   1	   1	   9	   4	   4	   7	   6	   5	  14	  22	  41	  26	  73	 119	 120	  85	  91	  84	 101	  49	  31	  35	  15	   8	  15	   2	   6	   1	   5	   1	   5	   0	   1	   1	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 9	 1	  87.90	  12.80	  87.0	 112	  87.43	  4.15	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   1	   0	   0	   1	   1	   0	   0	   0	   0	   1	   0	   0	   0	   3	   1	   2	   3	   0	   1	   1	   2	   0	   1	   0	   0	   0	   1	   1	   2	   1	   2	   1	   3	   3	   2	   1	   4	   3	   1	   0	   4	   2	   6	   4	   3	   4	   5	   1	  12	  11	  40	  22	  59	 104	 102	  96	  92	  88	  88	  36	  27	  20	  14	   5	  23	   9	  12	   1	   4	   0	   2	   2	   2	   3	   3	   2	   2	   2	   2	   1	   3	   0	   3	   2	   2	   2	   2	   1	   1	   0	   3	   1	   0	   0	   2	   1	   1	   1	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   1	   0	   2	  10
 9	 2	  87.25	  11.34	  88.0	 120	  87.60	  4.18	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   2	   0	   1	   2	   1	   0	   1	   1	   1	   0	   1	   1	   3	   1	   1	   1	   0	   2	   3	   2	   1	   1	   2	   2	   2	   0	   2	   2	   1	   6	   3	   4	   2	   1	   3	   2	   4	   4	   6	   4	  12	   4	  14	  18	  31	  18	  41	  91	  95	  90	  82	 104	 101	  52	  26	  30	  15	   6	   9	  12	   3	   3	   2	   7	   3	   2	   1	   5	   4	   3	   7	   2	   2	   0	   3	   1	   2	   0	   1	   3	   0	   2	   2	   0	   0	   0	   0	   1	   0	   0	   1	   1	   0	   0	   0	   0	   1	   1	   3	   0	   0	   3	   0	   0	   0	   0	   0	   1
 9	 3	  88.13	   9.76	  88.0	 152	  87.49	  3.05	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   1	   3	   1	   3	   1	   0	   6	   1	   5	   3	   0	   2	   2	   4	   5	   6	   4	  11	   4	   7	   1	  13	  16	  26	  21	  47	 100	  92	 102	  97	 118	  95	  61	  13	  29	   6	   4	   8	   4	   7	   3	   3	   5	   2	   1	   2	   2	   1	   5	   1	   4	   2	   2	   1	   4	   1	   0	   2	   2	   2	   3	   1	   1	   3	   1	   2	   0	   0	   0	   1	   1	   3	   0	   0	   1	   2	   0	   0	   1	   1	   0	   0	   0	   0	   0	   0	   1
 9	 4	  87.81	   9.01	  88.0	 146	  87.77	  2.97	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   2	   0	   3	   2	   2	   1	   0	   2	   2	   0	   1	   4	   2	   3	   3	   3	   1	   2	   6	   5	   6	   0	   1	  11	   5	   2	   9	   6	  27	  18	  38	  85	  97	 122	 114	 105	 105	  49	  19	  34	   9	   8	   9	   4	   6	   0	   4	   5	   8	   2	   2	   5	   2	   3	   3	   2	   0	   1	   4	   1	   1	   3	   2	   0	   2	   2	   0	   2	   1	   0	   1	   2	   0	   0	   1	   0	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0
 9	 5	  87.98	   6.57	  87.0	 130	  87.29	  2.93	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   0	   1	   1	   0	   0	   0	   2	   1	   1	   0	   0	   3	   2	   0	   3	   3	   6	   3	   4	   7	   6	   4	  10	  10	  29	  17	  54	 110	 123	 112	 102	 100	  94	  36	  33	  17	  14	   5	  10	   2	   7	   3	   8	   6	   8	   4	   4	   5	   7	   4	   2	   5	   1	   0	   1	   1	   4	   0	   2	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 9	 6	  87.31	   5.39	  87.0	 117	  87.34	  2.86	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   2	   2	   0	   1	   5	   1	   2	   5	   3	   6	   5	   3	  15	   7	   2	  13	   9	  29	  16	  57	  94	 117	 123	 116	 105	 109	  33	  19	  24	  14	   3	   8	   5	   8	   3	  10	   8	   4	   3	   3	   5	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 9	 7	  87.46	   4.62	  87.0	  80	  87.14	  2.96	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   0	   0	   2	   0	   1	   1	   2	   1	   2	   2	   9	   5	   5	  15	  21	  28	  18	  46	 115	 144	 111	 116	 116	  88	  37	  16	  28	  10	   6	   9	   7	  11	   1	   6	  11	   1	   2	   2	   0	   0	   1	   1	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 0	  62.30	   4.58	  62.0	  68	  62.35	  3.27	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   0	   0	   0	   1	   2	   1	   4	   3	   7	   3	   6	   5	  14	  11	  18	  20	  55	  52	  75	 138	 112	  65	 127	  83	  90	  15	  25	  25	   7	   6	   7	   6	   5	   4	   0	   3	   0	   0	   1	   0	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 1	  63.28	  12.18	  62.0	 159	  62.39	  3.14	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   1	   0	   2	   1	   1	   0	   1	   0	   4	   2	   0	   1	   0	   5	   0	   5	   1	   0	   2	   4	   2	   4	   2	   0	   3	   5	   2	   1	   3	   5	   4	   5	   6	   5	   7	  12	  19	  48	  40	  73	 140	 137	  50	 114	  62	  63	  14	  20	  16	  21	   2	  10	   4	   5	   2	   4	   5	   0	   1	   1	   1	   6	   2	   2	   2	   2	   1	   0	   2	   1	   4	   0	   2	   1	   0	   3	   1	   0	   0	   2	   0	   0	   1	   4	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	   0	   1	   1	   0	   1	   0	   0	   1	   0	   0	   1	   0	   1	   0	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   2
10	 2	  62.62	  10.36	  62.0	 115	  62.64	  4.05	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   2	   4	   1	   0	   4	   2	   0	   2	   1	   3	   1	   4	   1	   6	   0	   2	   3	   5	   4	   3	   4	   4	   2	   2	   4	   2	   1	   8	   6	  11	  12	  17	  20	  36	  28	  46	 130	 126	  64	 125	  77	  71	  19	  16	  24	  10	   6	  13	   5	   3	   5	   3	   0	   4	   1	   4	   1	   3	   0	   5	   6	   2	   1	   2	   2	   1	   1	   0	   2	   1	   1	   2	   0	   0	   0	   0	   0	   1	   1	   1	   0	   0	   0	   0	   1	   2	   1	   0	   0	   2	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 3	  63.41	   9.58	  62.0	 146	  62.55	  3.06	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	   0	   0	   0	   1	   0	   1	   0	   2	   0	   1	   5	   5	   3	   3	   1	   2	   4	   1	   2	   4	  14	   3	   3	  11	   9	  10	  10	  22	  33	  36	  54	 134	 133	  65	 130	  83	  67	  19	  25	  17	   7	   1	   5	   2	   6	   2	   1	   4	   2	   0	   4	   3	   2	   2	   4	   4	   2	   3	   0	   4	   0	   1	   1	   1	   4	   0	   1	   2	   2	   0	   1	   1	   2	   1	   2	   1	   2	   0	   1	   1	   0	   0	   1	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1
10	 4	  63.16	   8.48	  63.0	 147	  63.00	  2.90	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   0	   0	   0	   0	   0	   0	   3	   1	   1	   3	   3	   1	   2	   3	   3	   6	   2	   1	   3	   3	   3	   2	   6	   8	   1	   2	   9	   5	  13	   6	  10	  28	  34	  35	 125	 134	  79	 143	  96	  68	  26	  21	  24	  10	   1	   4	   7	   7	   6	   1	   8	   2	   1	   3	   1	   2	   1	   3	   4	   1	   2	   3	   0	   3	   1	   1	   1	   1	   1	   2	   1	   0	   1	   0	   2	   0	   0	   1	   0	   1	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 5	  63.15	   6.19	  62.0	 125	  62.53	  2.92	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   1	   0	   0	   1	   1	   2	   2	   1	   1	   3	   4	   4	   6	   3	   5	   8	   7	   7	  10	  15	  32	  45	  54	 132	 167	  79	 124	  82	  59	  11	  23	  16	  12	   5	   9	   8	   4	   6	   1	   8	   8	   0	   9	   5	   7	   1	   0	   2	   1	   1	   1	   2	   2	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 6	  62.55	   5.10	  62.0	 108	  62.57	  2.88	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   3	   2	   2	   1	   3	   3	   0	   7	   7	   1	  10	  13	   7	  10	   9	  14	  46	  36	  41	 124	 168	  72	 162	  74	  74	  11	  26	  13	   5	   4	  10	   7	  10	   5	   6	   4	   2	   1	   4	   0	   1	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
10	 7	  62.91	   4.29	  63.0	  75	  62.72	  2.87	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   0	   2	   1	   1	   2	   0	   5	  10	   8	   8	   9	  21	  35	  43	  39	 148	 162	  86	 137	 104	  61	  23	  17	  17	  10	   5	   9	   8	   9	   6	   2	   5	   2	   0	   1	   0	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
11	 0	  71.46	   4.12	  72.0	  51	  71.59	  3.16	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   1	   0	   0	   0	   2	   4	   2	   7	   4	   7	   3	  13	  19	  30	  16	  65	 109	 115	  56	 158	 121	 101	  42	  45	  30	  12	   3	  14	   7	   4	   1	   4	   0	   2	   0	   0	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
11	 1	  72.17	  10.85	  72.0	 139	  71.75	  3.02	1000   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   1	   0	   1	   1	   0	   1	   0	   1	   0	   0	   1	   0	   0	   1	   2	   3	   0	   1	   3	   1	   3	   0	   1	   1	   0	   2	   1	   4	   1	   3	   5	   1	   0	   1	   4	   6	   2	   2	   5	   3	   2	   9	  15	  19	  15	  42	  90	 116	  72	 146	 106	 102	  54	  20	  22	  17	   1	  15	   8	   5	   0	   3	   5	   4	   0	   4	   1	   4	   0	   1	   5	   1	   0	   4	   3	   2	   1	   0	   1	   3	   1	   0	   1	   1	   0	   2	   1	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   1	   1	   2	   2	   1	   0	   0	   0	   1	   0	   0	   0	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2
11	 2	  71.60	   9.48	  72.0	 138	  71.81	  3.15	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   2	   2	   1	   1	   1	   1	   1	   2	   2	   1	   0	   4	   1	   2	   2	   2	   3	   2	   0	   1	   2	   8	   5	   3	   2	   1	   4	   4	   1	   5	   3	   1	  15	  17	  29	  12	  35	  92	  85	  59	 154	 119	 103	  47	  39	  26	  14	   6	  10	   8	   5	   0	   3	   4	   3	   2	   4	   3	   4	   3	   3	   2	   3	   0	   0	   1	   2	   3	   0	   1	   0	   1	   0	   0	   1	   1	   0	   0	   0	   0	   1	   0	   3	   0	   1	   2	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
11	 3	  72.40	   8.21	  72.0	 130	  71.80	  2.91	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   0	   0	   0	   1	   0	   1	   0	   0	   0	   2	   1	   5	   0	   2	   3	   6	   2	   2	   1	   5	   7	   2	   7	   7	   4	   7	  13	  26	  17	  27	  93	  96	  74	 171	 120	 102	  48	  28	  21	  12	   6	   9	   5	   2	   2	   4	   3	   6	   2	   2	   2	   6	   4	   1	   2	   1	   0	   4	   0	   3	   2	   3	   2	   0	   1	   1	   2	   3	   1	   0	   1	   1	   1	   1	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1
11	 4	  72.12	   7.55	  72.0	 130	  72.08	  2.73	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   1	   2	   0	   0	   4	   1	   2	   3	   2	   1	   2	   3	   2	   5	   4	   3	   2	   4	   4	   3	  10	   2	   1	   6	  10	  18	  10	  20	  74	  94	  87	 173	 132	 116	  53	  25	  27	  15	   4	   6	   9	   4	   1	   7	   5	   6	   2	   0	   3	   5	   3	   1	   4	   0	   1	   2	   1	   3	   1	   1	   2	   0	   0	   0	   0	   3	   1	   0	   0	   1	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
