Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2292	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2493	0.0037	0.2500	  1	0.2500	0.0000
0.3333	0.4167	0.4167	0.3958	0.3958	0.4167	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.4167	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3958	0.3965	0.0135	0.3958	  5	0.3958	0.0000
0.5833	0.5625	0.5625	0.5417	0.5625	0.5625	0.5625	0.6042	0.5625	0.5417	0.5625	0.5625	0.5625	0.5625	0.5417	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5417	0.5625	0.5625	0.5625	0.5625	0.5618	0.0112	0.5625	  6	0.5625	0.0000
0.7292	0.7292	0.7500	0.7500	0.7500	0.7292	0.7292	0.7500	0.7500	0.7083	0.7292	0.7083	0.7292	0.7083	0.7292	0.7292	0.7083	0.7083	0.7292	0.7292	0.7500	0.7292	0.7083	0.7292	0.7292	0.7292	0.6875	0.7292	0.7292	0.6875	0.7292	0.7292	0.7266	0.0165	0.7292	 14	0.7292	0.0000
0.8958	0.8958	0.8958	0.8542	0.8958	0.8542	0.9167	0.8958	0.8958	0.8542	0.8542	0.8958	0.8750	0.8750	0.8958	0.8958	0.8750	0.8750	0.8542	0.8750	0.8542	0.8542	0.8958	0.8958	0.8542	0.8542	0.8958	0.8542	0.8542	0.8542	0.8542	0.8542	0.8750	0.0205	0.8750	  0	0.8750	0.0205
1.1458	1.1250	1.1250	1.1250	1.1250	1.1458	1.1250	1.1250	1.1250	1.0625	1.1042	1.1250	1.1458	1.1250	1.1458	1.1250	1.0833	1.1250	1.1250	1.1250	1.0833	1.1250	1.1250	1.1250	1.1042	1.0833	1.0833	1.0833	1.1458	1.1042	1.0833	1.0625	1.1146	0.0242	1.1250	  2	1.1181	0.0207
1.3958	1.3542	1.3750	1.3750	1.3542	1.3542	1.3750	1.4167	1.3542	1.3542	1.3958	1.3333	1.3542	1.3750	1.3542	1.3958	1.3333	1.3958	1.3958	1.3750	1.4167	1.3958	1.3750	1.3333	1.3333	1.3750	1.3542	1.3333	1.3750	1.3333	1.3542	1.3333	1.3665	0.0253	1.3646	  2	1.3632	0.0223
1.6042	1.6042	1.6042	1.6250	1.6042	1.6042	1.5833	1.5625	1.6458	1.6042	1.5833	1.5833	1.6458	1.6042	1.5833	1.6042	1.5417	1.6042	1.6042	1.6458	1.5833	1.5625	1.6042	1.5833	1.5833	1.6458	1.6250	1.5625	1.6042	1.5833	1.6458	1.5625	1.5996	0.0274	1.6042	  0	1.5996	0.0274
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
