INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	12.007	11.885	10.213	10.170
 0	 1	8.351	7.779	7.102	6.656
 0	 2	6.450	6.224	5.486	5.326
 0	 3	5.937	5.848	5.050	5.004
 0	 4	5.441	5.413	4.627	4.632
 0	 5	5.370	5.313	4.567	4.546
 0	 6	5.131	5.105	4.364	4.369
 0	 7	4.894	4.040	4.162	3.457
 1	 0	9.695	9.528	8.358	8.263
 1	 1	6.476	6.212	5.583	5.387
 1	 2	5.619	5.473	4.844	4.747
 1	 3	5.182	5.118	4.467	4.438
 1	 4	5.039	4.976	4.344	4.316
 1	 5	4.876	4.301	4.203	3.730
 1	 6	4.761	4.319	4.104	3.746
 1	 7	4.907	4.288	4.230	3.719
 2	 0	10.836	10.735	9.046	8.946
 2	 1	7.367	7.144	6.150	5.954
 2	 2	6.335	6.293	5.288	5.245
 2	 3	6.141	6.124	5.127	5.104
 2	 4	5.705	5.696	4.762	4.747
 2	 5	5.301	5.323	4.425	4.436
 2	 6	5.335	5.357	4.454	4.465
 2	 7	5.194	4.691	4.336	3.909
 3	 0	11.302	11.144	9.597	9.476
 3	 1	7.733	7.423	6.566	6.312
 3	 2	6.898	6.787	5.857	5.771
 3	 3	6.346	6.222	5.388	5.291
 3	 4	5.963	5.924	5.063	5.038
 3	 5	5.717	5.685	4.854	4.834
 3	 6	5.629	5.629	4.779	4.787
 3	 7	5.392	5.392	4.578	4.585
 4	 0	11.582	11.271	9.967	9.690
 4	 1	8.022	7.649	6.903	6.576
 4	 2	6.794	6.671	5.847	5.735
 4	 3	6.077	6.088	5.229	5.234
 4	 4	5.886	5.764	5.065	4.955
 4	 5	5.548	4.844	4.774	4.164
 4	 6	5.346	4.816	4.601	4.141
 4	 7	5.487	5.497	4.722	4.726
 5	 0	11.513	11.468	10.056	9.994
 5	 1	8.147	8.110	7.116	7.068
 5	 2	6.918	6.649	6.043	5.794
 5	 3	6.379	6.293	5.572	5.484
 5	 4	5.664	5.443	4.948	4.744
 5	 5	5.635	5.593	4.922	4.874
 5	 6	5.482	5.490	4.789	4.784
 5	 7	5.451	5.432	4.761	4.734
 6	 0	12.645	12.531	10.950	10.858
 6	 1	8.437	8.384	7.306	7.265
 6	 2	6.954	6.800	6.022	5.892
 6	 3	6.263	6.211	5.423	5.382
 6	 4	6.627	6.514	5.739	5.645
 6	 5	6.115	6.115	5.295	5.298
 6	 6	5.836	5.770	5.054	4.999
 6	 7	5.593	5.593	4.843	4.846
 7	 0	13.162	13.038	10.797	10.661
 7	 1	8.490	8.455	6.965	6.913
 7	 2	7.280	7.135	5.972	5.834
 7	 3	6.442	6.409	5.284	5.240
 7	 4	6.124	6.152	5.023	5.030
 7	 5	5.861	5.888	4.808	4.815
 7	 6	5.582	5.608	4.579	4.585
 7	 7	5.678	5.704	4.658	4.664
 8	 0	12.435	12.074	10.527	10.185
 8	 1	8.727	8.747	7.388	7.378
 8	 2	7.502	7.269	6.351	6.132
 8	 3	6.556	6.503	5.551	5.486
 8	 4	6.506	6.521	5.508	5.501
 8	 5	6.193	6.181	5.243	5.214
 8	 6	6.241	6.255	5.283	5.276
 8	 7	6.390	6.311	5.410	5.323
 9	 0	11.111	10.440	9.788	9.274
 9	 1	7.551	7.105	6.652	6.312
 9	 2	6.197	6.085	5.460	5.405
 9	 3	5.488	5.447	4.835	4.839
 9	 4	5.477	5.436	4.825	4.829
 9	 5	5.470	5.395	4.819	4.792
 9	 6	5.244	5.205	4.620	4.624
 9	 7	5.312	5.272	4.679	4.683
10	 0	11.800	11.758	10.193	10.142
10	 1	8.023	8.033	6.930	6.929
10	 2	6.868	6.536	5.933	5.638
10	 3	5.695	5.640	4.920	4.865
10	 4	5.861	5.841	5.063	5.039
10	 5	5.930	5.883	5.122	5.075
10	 6	5.564	5.507	4.807	4.751
10	 7	5.743	5.683	4.961	4.902
11	 0	11.826	11.800	10.131	10.157
11	 1	7.715	7.399	6.609	6.368
11	 2	6.260	6.224	5.363	5.357
