diff_mu	diff_sigma
33.0520683048618	1.50615198033253
46.2616802955878	3.19264384647706
36.2442279268306	2.26903767201809
40.1568554936122	1.94154070604563
37.6570134065543	2.41100401249922
28.7305794602076	2.2466546790014
37.2925746302494	5.82154346689033
37.4888199365976	1.758009356778
36.7671128987936	6.91749677319073
30.6352693829727	8.72295427819773
37.4344705291281	2.07793248732126
38.0581333529597	1.93938804571272
34.9056186161921	1.46949550923726
34.1290361564358	4.80794721568742
33.4627186545015	2.56891119191559
NaN	NaN
NaN	NaN
NaN	NaN
39.3276593977762	26.2436520231922
28.5514348665248	19.8224479403591
32.8899005774972	32.1732300488717
NaN	NaN
53.1215102078652	33.2274824951681
32.5774741953181	29.3986777707852
47.4007754015793	30.2647375805562
38.4765250804408	21.4348230496319
42.5215294608259	31.5470398930168
25.6184023684142	18.7114103698303
39.0233806427701	29.0404156061103
42.5285901309126	30.6314675479713
68.7774549351456	32.6395447059542
29.8068684481297	24.1129720706873
31.7650924711567	21.7625563039979
NaN	NaN
NaN	NaN
NaN	NaN
