diff_mu	diff_sigma
45.9863286800674	26.9040201494152
38.7152983451175	19.4919584490547
40.2624186331634	24.9758848324039
42.0735072157808	25.9228182371242
37.150063939471	19.2913477802037
36.0593240764358	19.115978167271
36.5828599722765	16.9623203246058
34.5984268546841	24.5223435240753
35.2959866463514	20.6550789158585
32.1196331761313	17.5824346456509
40.1455615589713	23.1556824248136
40.0203003157977	19.7447563389807
37.4590552518945	14.8016235895811
37.738507597342	15.0157371011936
41.5447347711499	27.1751904247704
39.6290811238653	22.1594731865897
42.4723368988077	21.8697216378663
38.3451404083591	18.7652781433429
42.1124661436903	23.4833464640692
31.4780738047359	15.2239917768826
37.20874555865	18.5586656683808
35.0274704983854	19.000945332964
36.1425335357277	23.0425638418406
35.1980785482633	14.7672951603589
38.1929261435887	30.8990274975559
36.3933393026129	22.4501131492426
36.8436800848449	14.3279135760895
38.093265823909	18.2634663464716
34.7813489164546	17.982926262821
32.4501380068381	17.0066862019154
39.6911608522387	24.2919536856064
38.0919614990466	20.9634252132762
