Energy_IN	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
200	439.48	473.97	483.2	455.37	493.72	455.06	475.46	460.55	482.09	476.66	486.22	466.66	450.25	411.75	489.01	441.37	489.09	474.66	520.99	485.15	515.18	466.72	493.92	493.3	481.89	516.56	489.69	498.5	457.36	510.93	460.46	460.34
300	514.32	550.95	559.64	526.46	571.19	528.07	552.2	527.97	558.44	551.2	558.79	543.45	521.77	486.23	559.28	515.25	564.13	548.19	591.68	554.44	593.23	534.32	570.07	568.14	555.86	587.63	570.21	568.38	529.45	581.53	534.41	532.73
400	575.85	614.78	622.43	583.26	634.85	586.99	616.68	582.06	620.77	612.11	616.93	607.53	579.45	547.55	615.77	575.55	624.23	607.62	649.68	609.84	659.06	588.67	631.11	630.49	616.19	647.06	637.58	623.73	587.75	639.18	594.85	592.34
500	624.79	666.11	673.35	629.26	685.81	634.9	667.82	625.28	670.38	661	663.98	658.77	625.8	597.47	661.49	623.73	674.35	655.72	695.88	654.72	713.04	631.34	680.68	679.86	665.28	694.51	692.36	669.17	635.6	686.07	643.76	639.84
600	664.06	708.64	714.29	666.57	726.91	673.35	709.16	660.44	710.57	699.95	701.42	700.05	662.51	636.26	697.57	662.15	713.82	694.2	732.85	690.1	755.85	666.69	720.88	720.36	704.94	732.71	736.49	706.58	673.41	723.73	682.97	679.42
700	697.84	742.24	748.22	698.89	762	707.91	746.25	692.36	747.04	735.67	736.01	736.28	695.97	670.95	729.83	696.9	748.82	727.07	766	722.05	793.75	698.62	755.77	755.78	738.3	765.99	775.61	736.53	706.15	755.07	716.44	710.9
800	725.83	771.99	777.7	725	791.36	734.31	775.42	718.01	775.91	763.67	762.89	765.38	722.22	698.1	755.26	723.63	776.49	754.74	792.49	746.99	823.22	723.62	784.11	784.11	766.57	793.01	805.74	763.03	732.49	782.01	743.9	737.62
900	748.9	796.43	801.87	747.37	815.97	758.13	800.81	739.79	802.03	789.22	787.5	790.98	745.98	722.5	779.87	748.23	800.89	778.57	815.55	770.6	849.09	745.9	808.26	808.58	790.36	816.91	831.99	786.1	755.46	804.74	767.84	762.47
1000	771.66	818.07	822.94	768.87	837.94	779.98	822.9	761.2	823.99	810.85	809.01	812.41	767.24	742.65	799.36	768.64	821.08	798.53	836.13	790.17	871.32	765.53	830.15	829.96	811.44	837.47	854.32	805.72	776.68	825.09	788.44	780.81
1200	805.59	853.23	858.13	801.62	873.1	814.39	859.68	795.03	860.56	847.54	844.14	849.06	801.78	778.98	834.01	803.92	856.73	833.65	869.63	823.4	908.95	799.04	865.03	865.21	846.28	871.52	891.53	838.27	810.01	858.07	823.07	814.44
