Cal_V	ADC
10.0	302.58
20.0	311.76
30.0	320.94
40.0	330.11
50.0	339.29
60.0	348.46
70.0	357.64
80.0	366.82
90.0	375.99
100.0	385.17
200.0	476.93
300.0	548.74
400.0	609.17
500.0	658.07
600.0	697.57
700.0	729.71
800.0	757.23
900.0	781.01
1000.0	802.04
1200.0	836.46
1400.0	863.32
1600.0	886.89
1800.0	907.47
2000.0	925.09
4000.0	1041.57
6000.0	1110.23
8000.0	1162.91
10000.0	1206.22
12000.0	1244.39
14000.0	1278.59
16000.0	1310.45
18000.0	1339.87
20000.0	1368.52
22000.0	1394.12
24000.0	1420.70
26000.0	1444.68
28000.0	1468.18
30000.0	1492.33
32000.0	1514.04
34000.0	1535.58
36000.0	1558.82
38000.0	1579.94
40000.0	1600.39
42000.0	1621.26
44000.0	1642.13
46000.0	1661.89
48000.0	1682.71
50000.0	1702.04
52000.0	1721.40
54000.0	1740.65
56000.0	1759.68
58000.0	1778.37
60000.0	1797.63
62000.0	1815.76
64000.0	1834.69
