Cal_V	ADC
10.0	74.49
20.0	82.91
30.0	91.32
40.0	99.74
50.0	108.15
60.0	116.57
70.0	124.98
80.0	133.40
90.0	141.81
100.0	150.23
200.0	234.38
300.0	301.23
400.0	356.74
500.0	401.67
600.0	437.52
700.0	467.66
800.0	492.87
900.0	515.71
1000.0	534.24
1200.0	566.85
1400.0	592.52
1600.0	614.88
1800.0	634.61
2000.0	651.69
4000.0	761.29
6000.0	829.95
8000.0	880.92
10000.0	923.56
12000.0	961.26
14000.0	994.63
16000.0	1027.21
18000.0	1055.80
20000.0	1083.17
22000.0	1109.76
24000.0	1134.99
26000.0	1159.59
28000.0	1183.03
30000.0	1205.71
32000.0	1228.24
34000.0	1249.97
36000.0	1271.26
38000.0	1292.93
40000.0	1313.63
42000.0	1334.30
44000.0	1354.80
46000.0	1374.67
48000.0	1394.78
50000.0	1414.39
52000.0	1433.85
54000.0	1453.13
56000.0	1472.01
58000.0	1491.72
60000.0	1510.38
62000.0	1528.61
64000.0	1547.84
