Cal_V	ADC
10.0	287.72
20.0	295.69
30.0	303.73
40.0	311.85
50.0	320.04
60.0	328.32
70.0	336.66
80.0	345.08
90.0	353.58
100.0	362.15
200.0	452.02
300.0	522.14
400.0	581.83
500.0	628.86
600.0	667.40
700.0	699.68
800.0	726.35
900.0	749.22
1000.0	770.13
1200.0	803.87
1400.0	831.16
1600.0	854.51
1800.0	874.50
2000.0	892.00
4000.0	1004.70
6000.0	1074.51
8000.0	1126.98
10000.0	1169.42
12000.0	1206.75
14000.0	1240.82
16000.0	1271.11
18000.0	1300.62
20000.0	1327.57
22000.0	1354.11
24000.0	1378.77
26000.0	1402.08
28000.0	1426.90
30000.0	1449.71
32000.0	1471.24
34000.0	1492.65
36000.0	1513.88
38000.0	1534.81
40000.0	1555.63
42000.0	1576.20
44000.0	1595.80
46000.0	1616.89
48000.0	1636.29
50000.0	1654.80
52000.0	1674.53
54000.0	1693.90
56000.0	1712.63
58000.0	1730.69
60000.0	1750.65
62000.0	1768.49
64000.0	1786.01
