Cal_V	ADC
10.0	328.12
20.0	337.17
30.0	346.22
40.0	355.27
50.0	364.32
60.0	373.37
70.0	382.42
80.0	391.48
90.0	400.53
100.0	409.58
200.0	500.09
300.0	571.76
400.0	631.80
500.0	679.95
600.0	719.80
700.0	751.10
800.0	779.13
900.0	801.79
1000.0	822.29
1200.0	856.01
1400.0	884.22
1600.0	908.46
1800.0	928.26
2000.0	945.90
4000.0	1061.38
6000.0	1131.32
8000.0	1183.60
10000.0	1227.41
12000.0	1265.71
14000.0	1299.91
16000.0	1331.06
18000.0	1360.79
20000.0	1389.29
22000.0	1415.67
24000.0	1440.53
26000.0	1464.92
28000.0	1489.89
30000.0	1512.65
32000.0	1534.41
34000.0	1557.40
36000.0	1578.93
38000.0	1599.96
40000.0	1621.55
42000.0	1642.02
44000.0	1662.53
46000.0	1682.62
48000.0	1703.07
50000.0	1722.12
52000.0	1742.32
54000.0	1761.18
56000.0	1780.34
58000.0	1799.13
60000.0	1818.31
62000.0	1835.84
64000.0	1853.88
