Cal_V	ADC
10.0	296.02
20.0	301.85
30.0	307.67
40.0	313.49
50.0	319.31
60.0	325.14
70.0	330.96
80.0	336.78
90.0	342.60
100.0	348.43
200.0	406.65
300.0	449.42
400.0	503.63
500.0	495.82
600.0	494.58
700.0	568.48
800.0	616.29
900.0	611.30
1000.0	634.86
1200.0	712.22
1400.0	710.90
1600.0	727.32
1800.0	771.16
2000.0	658.91
4000.0	832.68
6000.0	944.98
8000.0	968.81
10000.0	1029.59
12000.0	1093.70
14000.0	1110.13
16000.0	1131.15
18000.0	1155.57
20000.0	1182.84
22000.0	1247.78
24000.0	1281.21
26000.0	1268.59
28000.0	1315.22
30000.0	1309.40
32000.0	1316.46
34000.0	1400.91
36000.0	1356.87
38000.0	1415.69
40000.0	1404.81
42000.0	1388.28
44000.0	1463.17
46000.0	1443.43
48000.0	1479.90
50000.0	1510.23
52000.0	1508.43
54000.0	1558.06
56000.0	1589.81
58000.0	1575.60
60000.0	1598.89
62000.0	1609.80
64000.0	1665.62
