Cal_V	ADC
10.0	234.19
20.0	242.26
30.0	250.42
40.0	258.68
50.0	267.03
60.0	275.49
70.0	284.04
80.0	292.69
90.0	301.43
100.0	310.28
200.0	404.08
300.0	479.84
400.0	544.34
500.0	597.18
600.0	639.81
700.0	674.24
800.0	705.16
900.0	729.08
1000.0	751.64
1200.0	787.33
1400.0	817.94
1600.0	842.37
1800.0	864.11
2000.0	882.46
4000.0	1001.16
6000.0	1072.78
8000.0	1126.08
10000.0	1169.99
12000.0	1208.18
14000.0	1242.10
16000.0	1274.02
18000.0	1303.70
20000.0	1331.70
22000.0	1357.82
24000.0	1382.99
26000.0	1407.72
28000.0	1432.57
30000.0	1455.37
32000.0	1478.23
34000.0	1501.30
36000.0	1521.81
38000.0	1542.99
40000.0	1563.90
42000.0	1584.59
44000.0	1604.01
46000.0	1623.86
48000.0	1644.52
50000.0	1662.95
52000.0	1683.65
54000.0	1702.01
56000.0	1720.87
58000.0	1739.83
60000.0	1758.77
62000.0	1776.39
64000.0	1795.52
