Cal_V	ADC
10.0	104.02
20.0	112.76
30.0	121.51
40.0	130.26
50.0	139.02
60.0	147.78
70.0	156.55
80.0	165.33
90.0	174.11
100.0	182.89
200.0	271.08
300.0	344.21
400.0	404.54
500.0	454.93
600.0	493.76
700.0	528.37
800.0	555.91
900.0	578.95
1000.0	600.74
1200.0	634.82
1400.0	663.29
1600.0	686.11
1800.0	706.16
2000.0	724.89
4000.0	839.17
6000.0	907.30
8000.0	959.00
10000.0	1003.30
12000.0	1042.91
14000.0	1076.10
16000.0	1108.05
18000.0	1137.33
20000.0	1165.89
22000.0	1191.77
24000.0	1216.64
26000.0	1241.51
28000.0	1265.63
30000.0	1289.29
32000.0	1309.99
34000.0	1332.40
36000.0	1356.29
38000.0	1376.25
40000.0	1397.36
42000.0	1417.82
44000.0	1437.87
46000.0	1458.70
48000.0	1477.55
50000.0	1496.69
52000.0	1517.33
54000.0	1535.40
56000.0	1555.09
58000.0	1574.26
60000.0	1592.73
62000.0	1611.77
64000.0	1630.83
