Cal_V	ADC
10.0	276.77
20.0	285.49
30.0	294.21
40.0	302.92
50.0	311.64
60.0	320.36
70.0	329.08
80.0	337.80
90.0	346.52
100.0	355.25
200.0	442.50
300.0	511.31
400.0	566.64
500.0	612.73
600.0	650.66
700.0	680.69
800.0	707.98
900.0	730.27
1000.0	750.51
1200.0	784.10
1400.0	811.78
1600.0	836.72
1800.0	856.46
2000.0	875.73
4000.0	992.46
6000.0	1063.63
8000.0	1116.95
10000.0	1160.51
12000.0	1200.00
14000.0	1235.49
16000.0	1268.24
18000.0	1297.30
20000.0	1326.27
22000.0	1353.16
24000.0	1379.80
26000.0	1403.97
28000.0	1427.89
30000.0	1452.08
32000.0	1473.40
34000.0	1497.24
36000.0	1518.13
38000.0	1540.44
40000.0	1560.26
42000.0	1581.54
44000.0	1600.72
46000.0	1621.12
48000.0	1641.52
50000.0	1660.32
52000.0	1679.26
54000.0	1697.88
56000.0	1716.97
58000.0	1735.26
60000.0	1754.61
62000.0	1773.01
64000.0	1790.60
