Cal_V	ADC
10.0	273.99
20.0	281.92
30.0	289.89
40.0	297.90
50.0	305.94
60.0	314.01
70.0	322.13
80.0	330.27
90.0	338.46
100.0	346.68
200.0	430.89
300.0	497.27
400.0	551.91
500.0	595.26
600.0	630.90
700.0	660.62
800.0	685.43
900.0	707.95
1000.0	726.78
1200.0	759.30
1400.0	785.64
1600.0	807.91
1800.0	828.31
2000.0	845.22
4000.0	956.89
6000.0	1025.97
8000.0	1077.66
10000.0	1121.28
12000.0	1159.52
14000.0	1193.98
16000.0	1225.08
18000.0	1253.88
20000.0	1282.43
22000.0	1308.87
24000.0	1333.78
26000.0	1358.97
28000.0	1383.64
30000.0	1406.66
32000.0	1429.58
34000.0	1451.98
36000.0	1472.87
38000.0	1494.84
40000.0	1515.94
42000.0	1535.95
44000.0	1556.26
46000.0	1577.01
48000.0	1596.07
50000.0	1616.37
52000.0	1636.36
54000.0	1655.45
56000.0	1673.97
58000.0	1693.64
60000.0	1712.42
62000.0	1730.94
64000.0	1749.84
