Cal_V	ADC
10.0	305.96
20.0	314.37
30.0	322.85
40.0	331.40
50.0	340.01
60.0	348.69
70.0	357.43
80.0	366.24
90.0	375.12
100.0	384.06
200.0	477.11
300.0	551.31
400.0	614.33
500.0	665.98
600.0	708.95
700.0	741.61
800.0	771.81
900.0	795.34
1000.0	816.43
1200.0	851.90
1400.0	880.14
1600.0	904.74
1800.0	925.16
2000.0	943.24
4000.0	1060.02
6000.0	1129.41
8000.0	1181.58
10000.0	1225.46
12000.0	1263.38
14000.0	1298.73
16000.0	1329.85
18000.0	1359.50
20000.0	1387.16
22000.0	1413.61
24000.0	1439.33
26000.0	1464.10
28000.0	1487.23
30000.0	1511.28
32000.0	1532.73
34000.0	1555.99
36000.0	1577.38
38000.0	1598.00
40000.0	1620.41
42000.0	1640.24
44000.0	1659.90
46000.0	1680.82
48000.0	1700.43
50000.0	1719.79
52000.0	1739.96
54000.0	1758.78
56000.0	1777.41
58000.0	1795.70
60000.0	1815.58
62000.0	1833.88
64000.0	1851.07
