Cal_V	ADC
10.0	294.38
20.0	301.60
30.0	308.88
40.0	316.23
50.0	323.64
60.0	331.11
70.0	338.64
80.0	346.23
90.0	353.88
100.0	361.60
200.0	442.15
300.0	502.92
400.0	553.11
500.0	593.92
600.0	626.56
700.0	655.31
800.0	680.26
900.0	701.82
1000.0	720.08
1200.0	752.89
1400.0	779.93
1600.0	802.01
1800.0	821.61
2000.0	839.12
4000.0	951.30
6000.0	1019.97
8000.0	1072.52
10000.0	1116.27
12000.0	1153.62
14000.0	1187.08
16000.0	1218.10
18000.0	1247.54
20000.0	1275.33
22000.0	1302.56
24000.0	1327.84
26000.0	1351.86
28000.0	1375.28
30000.0	1398.51
32000.0	1422.64
34000.0	1444.48
36000.0	1465.40
38000.0	1487.46
40000.0	1507.71
42000.0	1528.89
44000.0	1548.62
46000.0	1569.21
48000.0	1589.48
50000.0	1607.88
52000.0	1627.23
54000.0	1647.37
56000.0	1666.09
58000.0	1685.10
60000.0	1703.31
62000.0	1721.49
64000.0	1739.84
