Cal_V	ADC
10.0	264.73
20.0	272.96
30.0	281.25
40.0	289.60
50.0	298.01
60.0	306.48
70.0	315.01
80.0	323.59
90.0	332.23
100.0	340.93
200.0	431.14
300.0	504.62
400.0	565.44
500.0	614.22
600.0	654.32
700.0	686.30
800.0	714.86
900.0	738.46
1000.0	759.13
1200.0	793.94
1400.0	822.26
1600.0	845.73
1800.0	866.38
2000.0	884.25
4000.0	1001.10
6000.0	1072.61
8000.0	1126.28
10000.0	1171.12
12000.0	1208.83
14000.0	1244.06
16000.0	1275.55
18000.0	1306.02
20000.0	1334.10
22000.0	1360.87
24000.0	1386.62
26000.0	1410.71
28000.0	1434.91
30000.0	1458.17
32000.0	1481.74
34000.0	1503.87
36000.0	1525.99
38000.0	1546.58
40000.0	1568.96
42000.0	1589.63
44000.0	1610.23
46000.0	1631.09
48000.0	1650.56
50000.0	1670.31
52000.0	1690.93
54000.0	1709.48
56000.0	1729.12
58000.0	1748.11
60000.0	1767.38
62000.0	1785.81
64000.0	1805.70
