Cal_V	ADC
10.0	283.25
20.0	291.96
30.0	300.73
40.0	309.55
50.0	318.44
60.0	327.38
70.0	336.39
80.0	345.45
90.0	354.57
100.0	363.76
200.0	458.85
300.0	536.47
400.0	604.57
500.0	659.69
600.0	704.35
700.0	739.97
800.0	771.28
900.0	796.77
1000.0	818.47
1200.0	854.89
1400.0	884.32
1600.0	909.00
1800.0	930.12
2000.0	948.12
4000.0	1066.11
6000.0	1135.37
8000.0	1188.57
10000.0	1231.69
12000.0	1269.84
14000.0	1304.58
16000.0	1336.22
18000.0	1366.08
20000.0	1393.95
22000.0	1421.42
24000.0	1446.55
26000.0	1470.21
28000.0	1495.11
30000.0	1517.65
32000.0	1539.97
34000.0	1562.70
36000.0	1584.57
38000.0	1605.14
40000.0	1626.80
42000.0	1647.39
44000.0	1666.81
46000.0	1687.61
48000.0	1708.08
50000.0	1726.80
52000.0	1747.37
54000.0	1766.23
56000.0	1784.55
58000.0	1804.57
60000.0	1822.93
62000.0	1841.14
64000.0	1858.96
