Cal_V	ADC
10.0	310.33
20.0	317.99
30.0	325.73
40.0	333.56
50.0	341.47
60.0	349.46
70.0	357.54
80.0	365.70
90.0	373.94
100.0	382.26
200.0	470.04
300.0	539.43
400.0	596.31
500.0	642.60
600.0	680.02
700.0	710.60
800.0	736.98
900.0	759.31
1000.0	778.90
1200.0	812.15
1400.0	839.27
1600.0	862.39
1800.0	881.71
2000.0	900.17
4000.0	1011.71
6000.0	1081.28
8000.0	1132.71
10000.0	1175.27
12000.0	1212.59
14000.0	1247.68
16000.0	1278.17
18000.0	1308.67
20000.0	1336.04
22000.0	1361.77
24000.0	1387.48
26000.0	1411.35
28000.0	1435.70
30000.0	1458.28
32000.0	1480.78
34000.0	1502.82
36000.0	1523.82
38000.0	1545.10
40000.0	1566.29
42000.0	1586.69
44000.0	1606.71
46000.0	1627.82
48000.0	1647.51
50000.0	1666.62
52000.0	1686.65
54000.0	1705.56
56000.0	1723.85
58000.0	1742.96
60000.0	1762.39
62000.0	1780.21
64000.0	1798.95
