Cal_V	ADC
10.0	249.59
20.0	257.34
30.0	265.17
40.0	273.08
50.0	281.08
60.0	289.17
70.0	297.34
80.0	305.60
90.0	313.94
100.0	322.37
200.0	411.37
300.0	481.83
400.0	540.00
500.0	587.36
600.0	625.54
700.0	656.94
800.0	683.54
900.0	705.87
1000.0	725.82
1200.0	759.24
1400.0	787.76
1600.0	811.08
1800.0	830.89
2000.0	848.43
4000.0	963.74
6000.0	1033.96
8000.0	1087.12
10000.0	1130.40
12000.0	1167.90
14000.0	1202.12
16000.0	1233.87
18000.0	1262.42
20000.0	1290.91
22000.0	1317.44
24000.0	1342.88
26000.0	1367.39
28000.0	1390.42
30000.0	1414.13
32000.0	1436.90
34000.0	1458.95
36000.0	1479.72
38000.0	1501.36
40000.0	1522.02
42000.0	1543.10
44000.0	1563.39
46000.0	1583.34
48000.0	1603.34
50000.0	1623.98
52000.0	1643.53
54000.0	1661.61
56000.0	1681.45
58000.0	1700.24
60000.0	1718.83
62000.0	1737.73
64000.0	1756.36
