Cal_V	ADC
10.0	266.47
20.0	275.12
30.0	283.82
40.0	292.57
50.0	301.37
60.0	310.22
70.0	319.12
80.0	328.08
90.0	337.08
100.0	346.14
200.0	439.47
300.0	515.78
400.0	578.24
500.0	628.77
600.0	670.11
700.0	704.68
800.0	732.94
900.0	756.62
1000.0	779.11
1200.0	813.43
1400.0	842.73
1600.0	867.35
1800.0	888.91
2000.0	907.27
4000.0	1026.92
6000.0	1098.42
8000.0	1153.36
10000.0	1198.85
12000.0	1238.93
14000.0	1272.49
16000.0	1305.91
18000.0	1335.55
20000.0	1364.34
22000.0	1392.21
24000.0	1417.82
26000.0	1443.75
28000.0	1466.62
30000.0	1490.91
32000.0	1515.67
34000.0	1536.40
36000.0	1559.35
38000.0	1580.08
40000.0	1600.40
42000.0	1621.59
44000.0	1642.82
46000.0	1661.76
48000.0	1683.89
50000.0	1704.39
52000.0	1722.69
54000.0	1741.73
56000.0	1762.33
58000.0	1781.05
60000.0	1800.92
62000.0	1818.66
64000.0	1837.52
