Cal_V	ADC
10.0	164.86
20.0	172.90
30.0	181.03
40.0	189.23
50.0	197.50
60.0	205.85
70.0	214.28
80.0	222.78
90.0	231.36
100.0	240.02
200.0	330.77
300.0	403.52
400.0	464.95
500.0	515.05
600.0	555.22
700.0	588.03
800.0	615.13
900.0	640.38
1000.0	660.34
1200.0	695.23
1400.0	722.94
1600.0	746.68
1800.0	766.88
2000.0	785.11
4000.0	901.11
6000.0	969.97
8000.0	1023.16
10000.0	1068.06
12000.0	1105.47
14000.0	1139.35
16000.0	1171.42
18000.0	1200.61
20000.0	1228.35
22000.0	1254.87
24000.0	1280.59
26000.0	1305.10
28000.0	1328.50
30000.0	1351.25
32000.0	1374.31
34000.0	1396.00
36000.0	1417.55
38000.0	1439.16
40000.0	1459.30
42000.0	1480.18
44000.0	1501.37
46000.0	1520.65
48000.0	1541.00
50000.0	1560.29
52000.0	1580.07
54000.0	1598.32
56000.0	1618.52
58000.0	1637.38
60000.0	1655.75
62000.0	1674.73
64000.0	1694.02
