GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	0.978	91.900	0.9783	3.254	0.973	91.064	0.9920	1.953	0.884	96.878	0.9996	5.760	0.872	96.508	0.9998	2.988
 0	 1	0.880	101.270	0.9940	1.533	0.956	96.869	0.9987	0.758	1.021	95.627	0.9988	7.299	1.003	96.178	0.9995	2.013
 0	 2	0.859	100.715	0.9811	2.664	0.931	96.639	0.9971	1.124	0.949	98.569	0.9986	6.140	0.979	97.572	0.9995	2.982
 0	 3	0.894	96.585	0.9832	2.614	0.814	101.396	0.9981	0.791	0.925	97.990	0.9994	3.317	0.890	98.895	0.9998	1.120
 0	 4	0.797	100.715	0.9985	0.701	0.766	102.341	0.9989	0.567	0.812	100.939	0.9998	2.189	0.830	99.586	0.9999	1.432
 0	 5	0.754	100.105	0.9947	1.236	0.777	98.368	0.9998	0.234	0.777	99.787	0.9999	2.046	0.787	99.083	0.9999	1.277
 0	 6	0.731	99.435	0.9993	0.443	0.719	100.202	0.9996	0.332	0.744	99.279	0.9999	1.253	0.755	98.407	0.9999	1.089
 0	 7	0.726	98.580	0.9889	1.716	0.734	97.744	0.9953	1.123	0.741	98.037	0.9998	2.228	0.724	98.778	0.9999	1.509
 1	 0	1.109	112.950	0.9961	1.553	1.119	111.665	0.9987	0.897	1.404	103.171	0.9998	3.786	1.435	101.297	0.9999	1.489
 1	 1	0.862	115.050	0.9985	0.738	0.922	112.291	0.9997	0.357	1.157	102.842	0.9995	4.408	1.191	101.522	0.9997	1.978
 1	 2	0.864	107.220	0.9856	2.331	0.902	105.334	0.9932	1.671	1.025	101.811	0.9991	5.400	1.037	101.573	0.9997	2.831
 1	 3	0.892	101.965	0.9865	2.331	0.838	105.233	0.9964	1.122	0.991	100.021	0.9997	2.669	0.954	101.298	0.9999	1.343
 1	 4	0.830	104.165	0.9991	0.556	0.814	104.900	0.9995	0.397	0.909	101.759	0.9998	2.111	0.919	101.151	1.0000	0.578
 1	 5	0.794	103.505	0.9965	1.050	0.801	103.283	0.9993	0.480	0.882	100.688	0.9999	1.644	0.894	100.013	0.9999	0.791
 1	 6	0.790	101.490	0.9995	0.387	0.781	102.073	0.9998	0.237	0.869	99.174	0.9999	0.919	0.865	98.988	0.9998	1.127
 1	 7	0.749	103.215	0.9947	1.225	0.763	102.074	0.9976	0.829	0.860	98.303	0.9998	1.714	0.853	98.783	0.9999	1.333
 2	 0	1.143	119.685	0.9928	2.178	1.141	119.331	0.9999	0.185	1.454	108.778	0.9997	4.624	1.487	107.041	0.9999	1.779
 2	 1	0.924	120.925	0.9960	1.304	0.999	116.888	0.9971	1.215	1.231	108.665	0.9996	4.509	1.260	107.783	0.9998	2.093
 2	 2	0.895	115.800	0.9863	2.361	0.963	111.630	0.9963	1.308	1.097	108.088	0.9991	5.525	1.113	107.671	0.9997	2.959
 2	 3	0.948	108.185	0.9879	2.343	0.915	109.788	0.9973	1.073	1.059	105.963	0.9997	2.893	1.031	106.789	0.9999	1.643
 2	 4	0.860	111.835	0.9993	0.493	0.832	113.185	0.9993	0.496	0.973	107.707	0.9999	1.979	0.985	106.835	0.9999	1.238
 2	 5	0.839	109.760	0.9984	0.760	0.844	109.685	0.9999	0.185	0.945	106.116	0.9999	1.601	0.965	105.144	0.9999	0.927
 2	 6	0.829	108.205	0.9998	0.291	0.824	108.456	0.9994	0.432	0.932	104.820	0.9999	1.286	0.934	104.380	0.9998	1.234
 2	 7	0.804	108.390	0.9850	2.221	0.821	106.940	0.9921	1.639	0.923	103.484	0.9998	2.304	0.912	104.004	0.9998	1.875
 3	 0	1.147	113.080	0.9920	2.296	1.141	112.909	0.9996	0.533	1.453	102.297	0.9997	4.907	1.471	101.177	1.0000	1.577
 3	 1	0.913	114.730	0.9985	0.797	1.015	109.060	0.9989	0.738	1.233	101.371	0.9996	4.788	1.280	99.740	0.9997	2.219
 3	 2	0.887	108.370	0.9882	2.169	0.943	105.266	0.9980	0.955	1.091	100.489	0.9992	5.313	1.107	100.313	0.9998	1.669
 3	 3	0.908	103.920	0.9736	3.347	0.862	106.552	0.9944	1.452	1.060	98.547	0.9996	3.684	1.028	99.629	0.9999	1.916
 3	 4	0.857	104.405	0.9990	0.616	0.839	105.087	0.9986	0.709	0.971	100.092	0.9997	2.114	0.983	99.239	0.9999	1.692
 3	 5	0.809	104.510	0.9986	0.679	0.833	103.109	0.9998	0.259	0.942	98.663	0.9999	1.892	0.953	98.072	0.9999	1.105
 3	 6	0.829	99.725	0.9990	0.588	0.830	99.425	0.9998	0.227	0.899	97.991	0.9999	1.869	0.897	97.634	0.9999	1.536
 3	 7	0.808	99.750	0.9913	1.695	0.817	98.976	0.9948	1.320	0.890	96.938	0.9999	1.869	0.878	97.475	0.9999	1.609
 4	 0	1.191	138.845	0.9855	3.231	1.196	137.759	0.9999	0.261	1.488	129.303	0.9995	6.162	1.521	127.274	0.9999	2.092
 4	 1	0.929	141.340	0.9961	1.294	1.000	138.443	0.9960	1.414	1.224	129.648	0.9995	5.495	1.263	128.735	0.9998	2.412
 4	 2	0.875	137.360	0.9833	2.552	0.941	133.453	0.9970	1.155	1.098	127.968	0.9987	6.966	1.114	127.469	0.9996	3.106
 4	 3	0.955	128.000	0.9779	3.207	0.890	131.630	0.9938	1.566	1.067	125.624	0.9996	3.682	1.023	126.873	0.9998	2.108
 4	 4	0.858	132.030	0.9988	0.673	0.820	134.015	0.9977	0.884	0.963	127.760	0.9998	2.999	0.966	127.121	0.9999	1.803
 4	 5	0.839	128.880	0.9941	1.446	0.851	128.290	0.9986	0.706	0.932	125.956	0.9999	2.340	0.949	125.043	0.9998	1.090
 4	 6	0.841	126.315	0.9995	0.409	0.834	126.764	0.9994	0.457	0.913	124.760	0.9999	1.046	0.912	124.341	0.9998	0.901
 4	 7	0.810	126.820	0.9889	1.922	0.840	124.521	0.9949	1.341	0.916	122.689	0.9998	2.055	0.903	123.357	0.9998	1.707
 5	 0	1.206	69.180	0.9928	2.293	1.238	66.066	0.9998	0.360	1.472	61.671	0.9997	4.914	1.505	59.461	0.9998	2.139
 5	 1	0.953	72.475	0.9972	1.126	1.015	69.568	0.9985	0.876	1.238	61.792	0.9994	4.844	1.271	60.747	0.9997	2.236
 5	 2	0.890	69.105	0.9869	2.293	0.948	65.671	0.9958	1.381	1.088	61.259	0.9991	5.046	1.100	60.969	0.9997	2.284
 5	 3	0.950	61.000	0.9907	2.058	0.884	65.036	0.9992	0.543	1.028	60.218	0.9995	3.130	1.001	60.846	0.9998	1.506
 5	 4	0.868	64.195	0.9987	0.701	0.846	65.391	0.9996	0.368	0.949	61.487	0.9997	2.490	0.967	60.440	0.9998	1.611
 5	 5	0.841	62.290	0.9976	0.928	0.846	62.475	0.9987	0.672	0.917	60.006	0.9999	1.413	0.944	58.861	0.9998	1.772
 5	 6	0.849	59.300	0.9993	0.516	0.848	59.145	0.9998	0.270	0.900	58.811	0.9998	1.870	0.897	58.399	0.9997	1.374
 5	 7	0.820	59.470	0.9873	2.082	0.830	58.661	0.9887	1.988	0.879	58.006	0.9997	2.277	0.878	58.160	0.9997	2.111
 6	 0	0.908	92.435	0.9912	1.911	0.898	92.927	0.9995	0.441	1.158	84.420	0.9995	4.786	1.175	83.626	0.9998	2.739
 6	 1	0.718	94.070	0.9965	0.952	0.779	90.710	0.9976	0.856	0.977	82.748	0.9996	3.637	1.007	81.568	0.9997	2.413
 6	 2	0.739	87.750	0.9918	1.504	0.790	84.590	0.9978	0.839	0.903	81.569	0.9992	3.990	0.909	81.477	0.9997	2.066
 6	 3	0.780	82.625	0.9860	2.076	0.741	84.882	0.9965	0.981	0.889	80.137	0.9995	2.750	0.869	80.588	0.9997	1.413
 6	 4	0.710	86.340	0.9988	0.559	0.686	87.846	0.9995	0.340	0.838	81.079	0.9997	2.573	0.851	80.258	0.9998	2.021
 6	 5	0.698	85.275	0.9952	1.080	0.702	85.175	0.9992	0.444	0.827	80.313	0.9999	1.153	0.833	79.967	0.9999	1.271
 6	 6	0.699	83.740	0.9988	0.548	0.699	83.637	0.9992	0.438	0.824	79.074	0.9998	1.399	0.823	78.820	0.9997	1.283
 6	 7	0.697	83.195	0.9944	1.164	0.694	83.301	0.9959	0.997	0.814	78.743	0.9998	1.552	0.810	78.992	0.9998	1.146
 7	 0	1.207	122.660	0.9923	2.373	1.221	121.095	0.9999	0.329	1.526	111.691	0.9997	4.864	1.561	109.549	0.9999	1.683
 7	 1	0.961	125.610	0.9952	1.492	1.025	122.700	0.9952	1.584	1.300	111.878	0.9995	4.848	1.341	110.412	0.9996	2.335
 7	 2	0.925	119.850	0.9858	2.483	0.984	116.360	0.9953	1.509	1.140	111.596	0.9991	5.760	1.154	111.091	0.9997	2.790
 7	 3	0.963	113.080	0.9882	2.354	0.905	116.357	0.9968	1.138	1.084	110.038	0.9997	2.708	1.038	111.503	0.9999	1.305
 7	 4	0.878	115.875	0.9992	0.566	0.842	117.950	0.9981	0.832	0.994	111.382	0.9999	2.334	1.004	110.713	0.9999	1.413
