GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 4	 1	0.926	219.610	0.9998	0.262	0.922	219.921	0.9993	0.554	1.274	206.197	0.9965	2.264	1.275	206.218	0.9966	2.048
 4	 2	0.822	215.175	0.9999	0.135	0.824	214.990	0.9998	0.247	1.078	203.809	0.9920	1.791	1.078	203.838	0.9925	1.678
 4	 3	0.821	210.010	0.9992	0.526	0.824	209.736	0.9997	0.318	1.027	201.199	0.9963	1.451	1.032	201.126	0.9964	1.466
 4	 4	0.835	204.895	0.9998	0.294	0.835	204.895	0.9998	0.294	0.968	200.367	0.9945	1.422	0.964	200.461	0.9947	1.554
 4	 5	0.798	204.385	0.9981	0.778	0.798	204.385	0.9981	0.778	0.941	198.491	0.9940	1.131	0.945	198.299	0.9942	1.146
 4	 6	0.782	203.165	0.9991	0.537	0.782	203.165	0.9991	0.537	0.917	197.789	0.9967	1.477	0.925	197.413	0.9965	1.645
 4	 7	0.808	199.270	0.9969	1.009	0.819	198.508	0.9974	0.936	0.872	198.012	0.9950	1.997	0.873	198.041	0.9950	2.345
 5	 0	1.128	168.405	0.9946	1.859	1.140	167.362	0.9944	1.920	1.702	146.169	0.9997	4.487	1.708	145.781	0.9996	5.078
 5	 1	0.928	161.620	0.9988	0.717	0.922	162.106	0.9981	0.897	1.288	148.089	0.9966	2.150	1.288	148.092	0.9967	2.088
 5	 2	0.818	157.725	0.9949	1.315	0.821	157.392	0.9968	1.041	1.065	146.923	0.9925	3.035	1.064	146.910	0.9926	2.784
 5	 3	0.807	152.905	1.0000	0.088	0.840	150.045	0.9998	0.280	1.016	144.218	0.9967	1.417	1.014	144.050	0.9968	1.097
 5	 4	0.833	147.445	0.9992	0.543	0.833	147.445	0.9992	0.543	0.957	143.726	0.9943	1.434	0.961	143.526	0.9948	1.376
 5	 5	0.787	147.970	0.9978	0.825	0.787	147.970	0.9978	0.825	0.948	141.317	0.9940	1.891	0.948	141.317	0.9940	1.891
 5	 6	0.790	145.175	0.9982	0.741	0.794	144.769	0.9988	0.604	0.914	140.992	0.9968	1.768	0.924	140.582	0.9966	1.893
 5	 7	0.776	144.285	0.9990	0.554	0.776	144.285	0.9990	0.554	0.868	141.251	0.9956	1.233	0.868	141.251	0.9956	1.233
 6	 0	1.191	186.215	0.9988	0.922	1.191	186.215	0.9988	0.922	1.742	165.788	0.9997	4.482	1.739	165.808	0.9997	4.778
 6	 1	0.963	181.705	0.9996	0.407	0.956	182.215	0.9986	0.790	1.307	169.031	0.9968	3.084	1.304	169.131	0.9969	3.122
 6	 2	0.833	178.510	0.9989	0.626	0.839	177.855	0.9984	0.749	1.092	167.297	0.9921	2.340	1.083	167.657	0.9926	2.471
 6	 3	0.821	173.855	1.0000	0.047	0.825	173.474	0.9996	0.360	1.047	164.043	0.9961	1.296	1.050	163.917	0.9961	1.162
 6	 4	0.857	167.450	0.9991	0.582	0.848	168.060	0.9994	0.452	0.979	163.950	0.9942	1.232	0.971	164.174	0.9945	1.261
 6	 5	0.831	165.960	0.9997	0.338	0.825	166.649	0.9984	0.742	0.973	161.089	0.9938	0.814	0.976	161.040	0.9938	0.996
 6	 6	0.785	167.040	0.9957	1.147	0.785	167.040	0.9957	1.147	0.937	160.797	0.9967	1.866	0.937	160.735	0.9966	1.926
 6	 7	0.763	166.465	0.9996	0.331	0.763	166.465	0.9996	0.331	0.879	161.718	0.9961	0.943	0.879	161.718	0.9961	0.943
 7	 0	1.040	170.785	0.9981	1.025	1.033	171.114	0.9962	1.436	1.547	151.843	0.9995	5.076	1.543	151.577	0.9994	5.462
 7	 1	0.826	166.570	0.9963	1.126	0.830	166.308	0.9942	1.412	1.147	154.044	0.9967	3.019	1.137	154.530	0.9971	2.935
 7	 2	0.754	161.340	0.9993	0.459	0.756	161.173	0.9996	0.320	0.989	151.208	0.9914	2.196	0.988	151.355	0.9918	2.107
 7	 3	0.752	157.595	0.9998	0.243	0.756	157.304	0.9998	0.219	0.973	148.450	0.9958	1.239	0.975	148.321	0.9958	1.386
 7	 4	0.766	153.685	0.9998	0.245	0.767	153.732	0.9996	0.323	0.922	148.332	0.9936	0.939	0.923	148.269	0.9938	1.014
 7	 5	0.719	154.695	0.9997	0.259	0.717	154.906	0.9996	0.310	0.899	147.281	0.9937	1.300	0.892	147.536	0.9942	1.480
 7	 6	0.717	153.305	0.9976	0.785	0.715	153.473	0.9988	0.550	0.895	145.955	0.9960	1.194	0.894	146.021	0.9961	1.025
 7	 7	0.759	148.730	0.9997	0.281	0.753	149.159	0.9995	0.372	0.858	146.418	0.9952	1.126	0.858	146.346	0.9952	1.164
 8	 0	1.235	161.575	0.9958	1.796	1.187	165.001	0.9940	2.066	1.707	145.985	0.9995	5.686	1.666	147.499	0.9995	5.522
 8	 1	0.931	162.890	0.9907	2.015	0.913	164.945	0.9892	2.129	1.313	148.048	0.9971	4.200	1.296	149.395	0.9970	5.140
 8	 2	0.779	162.275	0.9958	1.136	0.779	162.456	0.9926	1.504	1.105	146.733	0.9907	3.151	1.109	146.906	0.9912	3.476
 8	 3	0.842	153.100	0.9958	1.218	0.826	154.752	0.9951	1.298	1.049	145.059	0.9958	2.397	1.038	145.960	0.9963	2.383
 8	 4	0.787	153.290	0.9991	0.515	0.825	151.203	0.9999	0.175	1.013	143.440	0.9931	2.052	1.033	143.146	0.9928	2.209
 8	 5	0.816	147.575	0.9900	1.838	0.817	147.690	0.9919	1.648	0.977	142.255	0.9939	1.954	0.980	142.312	0.9939	1.792
 8	 6	0.717	152.720	0.9972	0.851	0.719	152.616	0.9978	0.748	0.909	143.230	0.9967	1.742	0.912	143.193	0.9966	1.793
 8	 7	0.790	145.420	0.9996	0.355	0.790	145.421	0.9996	0.356	0.893	142.583	0.9955	0.848	0.895	142.522	0.9955	0.854
 9	 0	1.109	180.795	0.9955	1.672	1.112	180.707	0.9933	2.040	1.547	165.573	0.9993	6.299	1.522	166.937	0.9993	6.182
 9	 1	0.823	180.730	0.9890	1.941	0.843	179.537	0.9840	2.404	1.170	166.169	0.9975	4.074	1.137	168.157	0.9979	4.196
 9	 2	0.750	175.435	0.9961	1.046	0.751	175.684	0.9921	1.498	1.010	163.413	0.9916	3.183	1.012	163.704	0.9922	3.467
 9	 3	0.766	169.960	0.9941	1.319	0.772	169.641	0.9952	1.200	0.968	161.235	0.9957	2.439	0.972	161.304	0.9956	1.981
 9	 4	0.703	171.570	0.9982	0.664	0.703	171.570	0.9982	0.664	0.928	160.528	0.9938	2.461	0.925	160.621	0.9945	2.528
 9	 5	0.758	164.835	0.9879	1.872	0.746	165.879	0.9903	1.652	0.928	158.258	0.9935	2.112	0.929	158.274	0.9935	2.012
 9	 6	0.678	168.615	0.9918	1.379	0.666	169.400	0.9930	1.248	0.877	158.821	0.9964	2.698	0.872	159.040	0.9964	2.989
