INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
14	 7	5.376	5.252	4.718	4.626
15	 0	8.956	8.821	7.605	7.562
15	 1	7.045	6.968	5.983	5.973
15	 2	5.819	5.633	4.941	4.830
15	 3	5.359	5.187	4.551	4.447
15	 4	5.250	4.993	4.458	4.281
15	 5	5.020	4.844	4.263	4.153
15	 6	4.748	4.721	4.032	4.047
15	 7	5.155	5.048	4.378	4.327
16	 0	10.836	10.790	9.191	9.156
16	 1	9.433	9.353	8.000	7.937
16	 2	8.922	8.739	7.567	7.416
16	 3	8.620	8.468	7.311	7.186
16	 4	8.555	8.518	7.256	7.229
16	 5	8.924	8.885	7.569	7.540
16	 6	8.606	8.569	7.300	7.272
16	 7	8.418	8.381	7.139	7.112
17	 0	7.011	6.840	5.913	5.755
17	 1	6.150	6.070	5.187	5.108
17	 2	5.163	5.159	4.355	4.341
17	 3	5.206	5.177	4.391	4.356
17	 4	5.038	5.033	4.249	4.235
17	 5	5.049	5.045	4.259	4.245
17	 6	4.704	4.678	3.968	3.936
17	 7	4.597	4.539	3.877	3.819
18	 0	7.355	7.271	6.068	6.051
18	 1	5.969	5.688	4.924	4.733
18	 2	5.466	5.320	4.509	4.428
18	 3	5.069	4.966	4.182	4.133
18	 4	4.871	4.684	4.018	3.898
18	 5	4.614	4.522	3.806	3.763
18	 6	4.503	4.361	3.715	3.629
18	 7	4.565	4.451	3.766	3.704
19	 0	7.641	7.490	6.456	6.237
19	 1	6.146	6.052	5.193	5.039
19	 2	5.174	5.019	4.372	4.179
19	 3	4.960	4.946	4.191	4.118
19	 4	4.579	4.555	3.869	3.793
19	 5	4.511	4.362	3.812	3.632
19	 6	4.478	4.416	3.783	3.677
19	 7	4.486	4.368	3.790	3.637
20	 0	9.578	9.043	7.977	7.555
20	 1	7.401	7.180	6.164	5.999
20	 2	6.422	6.399	5.348	5.346
20	 3	5.928	5.879	4.937	4.911
20	 4	5.730	5.710	4.772	4.770
20	 5	5.682	5.662	4.732	4.730
20	 6	5.419	5.371	4.513	4.487
20	 7	5.399	5.293	4.496	4.423
21	 0	8.669	7.980	7.321	6.726
21	 1	6.847	6.706	5.783	5.651
21	 2	5.893	5.833	4.977	4.916
21	 3	5.623	5.523	4.749	4.654
21	 4	5.267	5.130	4.448	4.323
21	 5	5.031	4.913	4.249	4.141
21	 6	4.888	4.787	4.128	4.034
21	 7	5.124	5.089	4.328	4.289
22	 0	7.841	7.618	6.674	6.500
22	 1	6.266	6.257	5.333	5.339
22	 2	5.567	5.493	4.738	4.687
22	 3	5.541	5.505	4.716	4.697
22	 4	5.033	4.978	4.284	4.247
22	 5	5.112	5.027	4.351	4.289
22	 6	5.027	5.020	4.279	4.283
22	 7	4.957	4.891	4.219	4.173
23	 0	7.755	7.634	6.733	6.659
23	 1	6.518	6.384	5.658	5.569
23	 2	5.902	5.732	5.124	5.000
23	 3	5.265	5.175	4.571	4.514
23	 4	5.082	4.883	4.412	4.259
23	 5	5.120	5.039	4.445	4.395
23	 6	4.757	4.703	4.129	4.102
23	 7	4.828	4.797	4.192	4.185
24	 0	9.692	9.258	8.199	7.827
24	 1	7.667	7.579	6.485	6.408
24	 2	6.633	6.569	5.611	5.554
24	 3	6.583	6.501	5.568	5.497
24	 4	6.557	6.366	5.546	5.382
24	 5	6.655	6.596	5.629	5.577
24	 6	6.667	6.572	5.639	5.557
24	 7	7.031	6.943	5.947	5.870
25	 0	8.555	8.343	7.328	7.171
25	 1	6.547	6.228	5.608	5.353
25	 2	5.494	5.454	4.706	4.688
25	 3	5.499	5.495	4.710	4.723
25	 4	5.439	5.265	4.659	4.525
25	 5	5.109	5.024	4.376	4.318
25	 6	5.024	4.997	4.303	4.295
25	 7	4.975	4.919	4.262	4.228
26	 0	7.785	7.681	6.637	6.500
26	 1	6.350	6.375	5.414	5.394
26	 2	5.424	5.409	4.625	4.577
26	 3	5.143	5.149	4.385	4.357
26	 4	4.833	4.862	4.120	4.114
26	 5	4.942	4.861	4.213	4.113
26	 6	4.736	4.747	4.038	4.017
26	 7	4.692	4.714	4.001	3.989
27	 0	8.591	8.275	7.289	7.002
27	 1	7.292	7.274	6.187	6.155
27	 2	6.175	6.116	5.239	5.174
27	 3	5.890	5.864	4.997	4.961
27	 4	5.861	5.838	4.972	4.939
27	 5	5.842	5.612	4.956	4.748
27	 6	5.707	5.641	4.842	4.773
27	 7	5.305	5.217	4.501	4.414
28	 0	8.073	8.053	6.962	6.905
28	 1	6.715	6.515	5.790	5.587
28	 2	5.866	5.856	5.059	5.022
28	 3	5.648	5.580	4.870	4.785
28	 4	5.380	5.267	4.639	4.517
28	 5	5.356	5.199	4.619	4.458
28	 6	5.169	5.153	4.457	4.419
28	 7	5.277	5.146	4.550	4.413
29	 0	7.938	7.690	6.908	6.696
29	 1	6.411	6.299	5.579	5.484
29	 2	5.682	5.650	4.944	4.919
29	 3	5.558	5.441	4.836	4.737
29	 4	5.331	5.218	4.639	4.543
29	 5	5.126	5.088	4.461	4.430
29	 6	5.170	5.164	4.499	4.496
29	 7	5.232	5.193	4.553	4.521
30	 0	7.805	7.616	6.654	6.533
30	 1	6.396	6.369	5.453	5.463
30	 2	5.591	5.512	4.767	4.728
30	 3	5.334	5.287	4.547	4.535
30	 4	5.198	5.086	4.432	4.363
30	 5	5.065	4.972	4.318	4.264
30	 6	5.097	5.076	4.346	4.353
30	 7	4.960	4.939	4.228	4.236
31	 0	11.997	11.392	10.137	9.543
31	 1	8.887	8.597	7.510	7.202
31	 2	7.507	7.474	6.343	6.261
31	 3	6.926	6.892	5.853	5.774
31	 4	6.500	6.430	5.493	5.387
31	 5	6.354	6.260	5.369	5.244
31	 6	6.225	6.091	5.260	5.103
31	 7	6.034	5.880	5.098	4.926
